"","EH_ID","dpi","label","delta","IFNy_CEWE","Eim_MC","total_oocysts","infection_history","weight_change","primary","challenge","OPG","Strain","EXP_type","Position","CD4","Treg","Div_Treg","Treg17","Th1","Div_Th1","Th17","Div_Th17","CD8","Act_CD8","Div_Act_CD8","IFNy_CD4","IFNy_CD8","weight","weight_dpi0","faeces_weight","batch","label.1","totalOocysts"
"40","LM_0357",8,"P4bXUM",-4.1202,179.401561539756,"pos",0,"E88:E88",89.0318054256314,NA,"E88",NA,"SWISS","CLS","Spleen",17.9,15.9,29.4,3.73,11.8,46.9,2.96,58.9,4.59,31.6,16.7,9.28,38.1,38.07,42.76,1.46,"b","P4bXUM",0
"41","LM_0359",8,"P4bYNV",-8.60266666666667,271.95186278651,"neg",0,"E88:UNI",97.7920227920228,NA,"UNI",NA,"SWISS","CLS","mLN",31.5,17.5,13.6,17.5,5.73,19.4,2.35,12.4,14.7,3.37,11.8,6.59,7.21,41.19,42.12,2.21,"b","P4bYNV",0
"42","LM_0359",8,"P4bYNV",-8.60266666666667,271.95186278651,"neg",0,"E88:UNI",97.7920227920228,NA,"UNI",NA,"SWISS","CLS","Spleen",18.2,16,20.2,4.45,14.3,13.8,1.53,9.69,9.24,13.4,7.65,15.6,18.2,41.19,42.12,2.21,"b","P4bYNV",0
"43","LM_0227",8,"E7aMNW",-5.79,54.4201292769137,"pos",42500,"E88:E64",99.79,"E88","E64",15567.7655677656,"BUSNA_STRA","WDS","mLN",44.9,6.385,16.205,13.52,6.78,71.2,0.89,46.875,14.39,11.5,49.52,4.915,21.74,NA,NA,NA,NA,NA,NA
"44","LM_0228",8,"E7aBGY",-5.91,84.9852124920339,"pos",90000,"E88:E64",110.69,"E88","E64",79646.0176991151,"STRA_BUSNA","WDS","mLN",46.145,7.005,21.365,11.565,10.92,75.115,1.075,42.39,13.84,13.205,59.09,9.085,27.535,NA,NA,NA,NA,NA,NA
"45","LM_0229",8,"E7aEMW",-7.12,11.9382981889895,"neg",0,"E88:E88",99.74,"E88","E88",0,"SCHUNT_SCHUNT","WDS","mLN",56.22,7.15,12.455,9.505,2.965,19.84,1.63,30.055,10.02,10.915,11.535,3.045,41.36,NA,NA,NA,NA,NA,NA
"46","LM_0231",8,"E7aCEK",-5.16,37.5056012557841,"pos",150000,"E88:E64",98.74,"E88","E64",53380.7829181495,"PWD_SCHUNT","WDS","mLN",40.59,6.45,23.76,12.78,9.25,81.21,1.705,78.305,25.305,11.105,55.935,9.085,38.165,NA,NA,NA,NA,NA,NA
"47","LM_0232",8,"E7aCUY",-6.22,21.8877741271661,"pos",0,"E88:E88",102.31,"E88","E88",0,"BUSNA_STRA","WDS","mLN",52.245,8.695,13.465,14.4,2.545,27.85,1.06,27.445,17.55,9.815,12.83,2.005,19.39,NA,NA,NA,NA,NA,NA
"48","LM_0233",8,"E7aSTU",-5.97,81.662990584743,"pos",0,"E88:E88",100.64,"E88","E88",0,"STRA_STRA","WDS","mLN",46.895,6.89,13.355,7.035,2.9,25.52,0.695,32.195,7.49,5.395,21.31,2.795,19.23,NA,NA,NA,NA,NA,NA
"49","LM_0234",8,"E7aBLW",-7.89,112.055644071278,"pos",67500,"E88:E64",99.63,"E88","E64",41411.0429447853,"STRA_STRA","WDS","mLN",49.47,6.065,24.795,13.95,6.87,76.515,1.11,65.735,9.065,8.9,55.69,8.455,34.31,NA,NA,NA,NA,NA,NA
