"","labels","experiment","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","oocyst_mean","dilution"
"285","E57aBIX","E5",NA,NA,NA,NA,NA,1
"286","E57aMOW","E5",NA,NA,NA,NA,NA,1
"287","E57aLOY","E5",NA,NA,NA,NA,NA,1
"288","E57aGSZ","E5",NA,NA,NA,NA,NA,1
"289","E57aDXY","E5",NA,NA,NA,NA,NA,1
"290","E57aGRV","E5",NA,NA,NA,NA,NA,1
"291","E57aRWY","E5",NA,NA,NA,NA,NA,1
"292","E57aCHP","E5",NA,NA,NA,NA,NA,1
"293","E57aCGR","E5",NA,NA,NA,NA,NA,1
"294","E57aKTZ","E5",NA,NA,NA,NA,NA,1
"295","E57aCRY","E5",NA,NA,NA,NA,NA,1
"296","E57aNRV","E5",NA,NA,NA,NA,NA,1
"297","E57aGHL","E5",NA,NA,NA,NA,NA,1
"298","E57aSUX","E5",NA,NA,NA,NA,NA,1
"299","E57aDQV","E5",NA,NA,NA,NA,NA,1
"300","E57aART","E5",NA,NA,NA,NA,NA,1
"301","E57aDOQ","E5",NA,NA,NA,NA,NA,1
"302","E57aCTX","E5",NA,NA,NA,NA,NA,1
"303","E57aGKN","E5",NA,NA,NA,NA,NA,1
"304","E57aISX","E5",NA,NA,NA,NA,NA,1
"305","E57aBTZ","E5",NA,NA,NA,NA,NA,1
"306","E57aDFM","E5",NA,NA,NA,NA,NA,1
"307","E57aDSZ","E5",NA,NA,NA,NA,NA,1
"308","E57aFOY","E5",NA,NA,NA,NA,NA,1
"309","E57aQTU","E5",NA,NA,NA,NA,NA,1
"310","E57aKQT","E5",NA,NA,NA,NA,NA,1
"311","E57aHKM","E5",NA,NA,NA,NA,NA,1
"312","E57aDMP","E5",NA,NA,NA,NA,NA,1
"313","E57aEUX","E5",NA,NA,NA,NA,NA,1
"314","E57aDEL","E5",NA,NA,NA,NA,NA,1
"315","E57aCOY","E5",NA,NA,NA,NA,NA,1
"316","E57aBJT","E5",NA,NA,NA,NA,NA,1
"317","E57aDGL","E5",NA,NA,NA,NA,NA,1
"318","E57aNQZ","E5",NA,NA,NA,NA,NA,1
"319","E57aOPX","E5",NA,NA,NA,NA,NA,1
"320","E57aDJO","E5",NA,NA,NA,NA,NA,1
"321","E57aEFQ","E5",NA,NA,NA,NA,NA,1
"322","E57aADU","E5",NA,NA,NA,NA,NA,1
"323","E57aMST","E5",NA,NA,NA,NA,NA,1
"324","E57aLNQ","E5",NA,NA,NA,NA,NA,1
"325","E57aPSZ","E5",NA,NA,NA,NA,NA,1
"326","E57aKPQ","E5",NA,NA,NA,NA,NA,1
"327","E57aELO","E5",NA,NA,NA,NA,NA,1
"328","E57aBIZ","E5",NA,NA,NA,NA,NA,1
"329","E57aGJK","E5",NA,NA,NA,NA,NA,1
"330","E57aKPR","E5",NA,NA,NA,NA,NA,1
"331","E57aLNS","E5",NA,NA,NA,NA,NA,1
"332","E57aHSY","E5",NA,NA,NA,NA,NA,1
"333","E57aLST","E5",NA,NA,NA,NA,NA,1
"334","E57aDHX","E5",NA,NA,NA,NA,NA,1
"335","E57aDEX","E5",NA,NA,NA,NA,NA,1
"336","E57aBEI","E5",NA,NA,NA,NA,NA,1
"337","E57aITY","E5",NA,NA,NA,NA,NA,1
"338","E57aDJR","E5",NA,NA,NA,NA,NA,1
"339","E57aBJW","E5",NA,NA,NA,NA,NA,1
"340","E57aJQX","E5",NA,NA,NA,NA,NA,1
"341","E57aCRT","E5",NA,NA,NA,NA,NA,1
"342","E57aDJS","E5",NA,NA,NA,NA,NA,1
"343","E57aGNW","E5",NA,NA,NA,NA,NA,1
"344","E57aJNQ","E5",NA,NA,NA,NA,NA,1
"345","E57aBIJ","E5",NA,NA,NA,NA,NA,1
"346","E57aHKT","E5",NA,NA,NA,NA,NA,1
"347","E57aCLZ","E5",NA,NA,NA,NA,NA,1
"348","E57aQTW","E5",NA,NA,NA,NA,NA,1
"349","E57aHIS","E5",NA,NA,NA,NA,NA,1
"350","E57aAVZ","E5",NA,NA,NA,NA,NA,1
"351","E57aLPU","E5",NA,NA,NA,NA,NA,1
"352","E57aIPT","E5",NA,NA,NA,NA,NA,1
"353","E57aFJQ","E5",NA,NA,NA,NA,NA,1
"354","E57aMNV","E5",NA,NA,NA,NA,NA,1
"355","E57aDRY","E5",NA,NA,NA,NA,NA,1
"356","E57aKSV","E5",NA,NA,NA,NA,NA,1
"357","E57aGQX","E5",NA,NA,NA,NA,NA,1
"358","E57aMRT","E5",NA,NA,NA,NA,NA,1
"359","E57aKNU","E5",NA,NA,NA,NA,NA,1
"360","E57aAEN","E5",NA,NA,NA,NA,NA,1
"361","E57aNQY","E5",NA,NA,NA,NA,NA,1
"362","E57aEGS","E5",NA,NA,NA,NA,NA,1
"363","E57aGHX","E5",NA,NA,NA,NA,NA,1
"364","E57aAFR","E5",NA,NA,NA,NA,NA,1
"365","E57aOVY","E5",NA,NA,NA,NA,NA,1
"366","E57aBPQ","E5",NA,NA,NA,NA,NA,1
"367","E57aILZ","E5",NA,NA,NA,NA,NA,1
"368","E57aGUV","E5",NA,NA,NA,NA,NA,1
"369","E57aGJT","E5",NA,NA,NA,NA,NA,1
"370","E57aQRV","E5",NA,NA,NA,NA,NA,1
"371","E57aHLV","E5",0,0,0,0,0,1
"372","E57aLOW","E5",0,0,0,0,0,1
"373","E57aANQ","E5",0,0,0,0,0,1
"374","E57aLOX","E5",0,0,0,0,0,1
"375","E57aHIM","E5",0,0,0,0,0,1
"376","E57aBKM","E5",0,0,0,0,0,1
"377","E57aGHI","E5",0,0,0,0,0,1
"378","E57aGKV","E5",0,0,0,0,0,1
"379","E57aDJW","E5",0,0,0,0,0,1
"380","E57aKPT","E5",0,0,0,0,0,1.5
"381","E57aDGQ","E5",0,0,0,0,0,1
"382","E57aJMW","E5",0,0,0,0,0,1
"383","E57aCDS","E5",0,0,0,0,0,1
"384","E57aCGX","E5",0,0,0,0,0,2
"385","E57aABG","E5",0,0,0,0,0,1
"386","E57aCIM","E5",0,0,0,0,0,2.5
"387","E57aAQR","E5",0,0,0,0,0,1
"388","E57aBIN","E5",0,0,0,0,0,1.5
"389","E57aAOU","E5",0,0,0,0,0,2
"390","E57aEGN","E5",0,0,0,0,0,1
"391","E57aGLO","E5",0,0,0,0,0,1
"392","E57aBLR","E5",0,0,0,0,0,1
"393","E57aACU","E5",NA,NA,NA,NA,NA,1
"394","E57aISW","E5",NA,NA,NA,NA,NA,1
"395","E57aHMU","E5",NA,NA,NA,NA,NA,1
"396","E57aWYZ","E5",NA,NA,NA,NA,NA,1
"397","E57aLQX","E5",NA,NA,NA,NA,NA,1
"398","E57aCSY","E5",NA,NA,NA,NA,NA,1
"399","E57aCMZ","E5",NA,NA,NA,NA,NA,1
"400","E57aQRS","E5",NA,NA,NA,NA,NA,1
"401","E57aEIM","E5",NA,NA,NA,NA,NA,1
"402","E57aDHR","E5",NA,NA,NA,NA,NA,1
"403","E57aHMY","E5",NA,NA,NA,NA,NA,1
"404","E57aDIS","E5",NA,NA,NA,NA,NA,1
"405","E57aHTZ","E5",NA,NA,NA,NA,NA,1
"406","E57aALU","E5",NA,NA,NA,NA,NA,1
"407","E57aHJZ","E5",NA,NA,NA,NA,NA,1
"408","E57aGJY","E5",NA,NA,NA,NA,NA,1
"409","E57aEMP","E5",NA,NA,NA,NA,NA,1
"410","E57aBFI","E5",NA,NA,NA,NA,NA,1
"411","E57aFTV","E5",NA,NA,NA,NA,NA,1
"412","E57aBLN","E5",NA,NA,NA,NA,NA,1
"413","E57aHLY","E5",NA,NA,NA,NA,NA,1
"414","E57aAUZ","E5",NA,NA,NA,NA,NA,1
"415","E57aKRZ","E5",NA,NA,NA,NA,NA,1
"416","E57aPVY","E5",NA,NA,NA,NA,NA,1
"417","E57aDIM","E5",NA,NA,NA,NA,NA,1
"418","E57aBHR","E5",NA,NA,NA,NA,NA,1
"419","E57aEUZ","E5",NA,NA,NA,NA,NA,1
"420","E57aFLV","E5",NA,NA,NA,NA,NA,1
"421","E57aJWY","E5",NA,NA,NA,NA,NA,1
"422","E57aFTY","E5",NA,NA,NA,NA,NA,1
"423","E57aDIN","E5",NA,NA,NA,NA,NA,1
"424","E57aCEF","E5",0,1,0,1,0.5,1.5
"425","E57aKMU","E5",0,0,0,0,0,1
"426","E57aENS","E5",0,0,1,1,0.5,1
"427","E57aIUV","E5",0,0,0,0,0,1
"428","E57aANV","E5",1,0,2,1,1,1
"429","E57aHSW","E5",0,0,0,0,0,1
"430","E57aFGM","E5",0,0,0,0,0,1
"431","E57aFTU","E5",0,0,0,0,0,1
"432","E57aPQS","E5",0,0,0,0,0,1
"433","E57aBPY","E5",0,2,1,2,1.25,1
"434","E57aFIV","E5",5,0,3,8,4,1
"435","E57aGTV","E5",3,2,1,4,2.5,1
"436","E57aAEI","E5",0,0,0,0,0,1
"437","E57aKYZ","E5",0,0,0,0,0,1
"438","E57aDKY","E5",0,0,0,0,0,1
"439","E57aFYZ","E5",0,0,0,0,0,1
"440","E57aRWX","E5",0,0,0,0,0,1
"441","E57aKUW","E5",0,0,0,0,0,1.5
"442","E57aFHS","E5",0,0,0,0,0,1
"443","E57aLPY","E5",0,0,0,0,0,1
"444","E57aEGJ","E5",0,0,0,0,0,2
"445","E57aBIU","E5",0,0,0,0,0,1
"446","E57aFLO","E5",0,0,0,0,0,1
"447","E57aJUY","E5",10,5,9,8,8,1
"448","E57aEQV","E5",0,0,0,0,0,2
"449","E57aJTY","E5",0,0,0,0,0,1
"450","E57aHKO","E5",0,0,2,1,0.75,1
"451","E57aGQV","E5",0,0,0,0,0,1
"452","E57aCDR","E5",0,0,0,0,0,1
"453","E57aDJL","E5",0,0,0,0,0,1.5
"454","E57aFRU","E5",0,0,1,1,0.5,1
"455","E57aISV","E5",0,0,0,0,0,1
"456","E57aJSX","E5",0,0,0,0,0,1
"457","E57aCLX","E5",0,0,0,0,0,1
"458","E57aTVW","E5",0,0,0,0,0,2
"459","E57aCVZ","E5",0,0,0,0,0,1
"460","E57aGSY","E5",2,0,1,0,0.75,1
"461","E57aELN","E5",0,0,0,0,0,1
"462","E57aGLV","E5",0,0,0,0,0,1
"463","E57aPSY","E5",0,0,0,0,0,1
"464","E57aABD","E5",0,0,0,0,0,1
"465","E57aDEO","E5",0,0,0,0,0,1
"466","E57aEHS","E5",0,0,0,0,0,1
"467","E57aBCE","E5",0,0,0,0,0,1
"468","E57aCEW","E5",0,0,0,0,0,1
"469","E57aEPU","E5",0,0,0,0,0,1
"470","E57aDNX","E5",0,0,0,0,0,1
"471","E57aAYZ","E5",0,0,0,0,0,1
"472","E57aVWX","E5",0,0,0,0,0,1
"473","E57aBHO","E5",0,0,0,0,0,1
"474","E57aEHN","E5",0,0,0,0,0,1
"475","E57aIVZ","E5",0,0,0,0,0,1
"476","E57aKNX","E5",0,0,0,0,0,1
"477","E57aJVY","E5",0,0,0,0,0,1
"478","E57aEMV","E5",0,0,0,0,0,1
"479","E57aBFO","E5",0,0,0,0,0,1
"480","E57aDEZ","E5",0,0,0,0,0,1
"481","E57aFOT","E5",0,0,0,0,0,1
"482","E57aCQV","E5",0,0,0,0,0,1
"483","E57aAUY","E5",0,0,0,0,0,1
"484","E57aDEN","E5",0,0,0,0,0,1
"485","E57aEGO","E5",0,0,0,0,0,1
"486","E57aKRW","E5",0,1,1,2,1,2
"487","E57aAIS","E5",0,0,0,0,0,1
"488","E57aJKO","E5",0,1,0,0,0.25,1
