"","challenge","CXCR3","delta","dpi","EH_ID","Eim_MC","faeces_weight","HybridStatus","IFNy_CEWE","IFNy_FEC","IL.12","infHistory","IRG6","labels","OPG","primary","Strain","weight","weight_dpi0","Wchange","EXP","currentInf"
"102","E88",NA,NA,7,"LM_0332",NA,2.9,NA,NA,NA,NA,"Eflab:E88",NA,"P3bCRA",32758.6206896552,"Eflab","SWISS",49.8,51.3,97.0760233918129,"P3","E88"
"103","E64",NA,NA,5,"LM_0333",NA,1.69,NA,NA,NA,NA,"Eflab:E64",NA,"P3bDGY",162721.893491124,"Eflab","SWISS",47.4,50,97,"P3","E64"
"104","UNI",NA,NA,5,"LM_0346",NA,1.04,NA,NA,NA,NA,"UNI:UNI",NA,"P3bEFI",19230.7692307692,"UNI","SWISS",52.1,53.2,98.3082706766917,"P3","UNI"
"105","UNI",NA,NA,7,"LM_0340",NA,1.67,NA,NA,NA,NA,"E64:UNI",NA,"P3bFPD",5988.02395209581,"E64","SWISS",50.9,53.6,94.9626865671642,"P3","UNI"
"106","E64",NA,NA,4,"LM_0345",NA,2.13,NA,NA,NA,NA,"UNI:E64",NA,"P3bHYO",23474.1784037559,"UNI","SWISS",56.7,59.2,97.8040540540541,"P3","E64"
"107","E64",NA,NA,4,"LM_0336",NA,2.12,NA,NA,NA,NA,"E88:E64",NA,"P3bINX",0,"E88","SWISS",49.9,52.3,91.9694072657744,"P3","E64"
"108","E64",NA,NA,3,"LM_0336",NA,1.81,NA,NA,NA,NA,"E88:E64",NA,"P3bIPY",0,"E88","SWISS",48.1,52.3,95.9847036328872,"P3","E64"
"109","E64",NA,NA,4,"LM_0342",NA,2.74,NA,NA,NA,NA,"E139:E64",NA,"P3bJAH",1824.81751824818,"E139","SWISS",52.2,55.6,92.0863309352518,"P3","E64"
"110","UNI",NA,NA,6,"LM_0343",NA,2.02,NA,NA,NA,NA,"E139:UNI",NA,"P3bJVY",0,"E139","SWISS",54.3,56.5,96.1061946902655,"P3","UNI"
"111","UNI",NA,NA,7,"LM_0343",NA,2.25,NA,NA,NA,NA,"E139:UNI",NA,"P3bLAV",0,"E139","SWISS",54,56.5,95.5752212389381,"P3","UNI"
"112","E64",NA,NA,6,"LM_0339",NA,0.88,NA,NA,NA,NA,"E64:E64",NA,"P3bLBS",198863.636363636,"E64","SWISS",44.1,48.5,90.9278350515464,"P3","E64"
"113","UNI",NA,NA,6,"LM_0340",NA,1.72,NA,NA,NA,NA,"E64:UNI",NA,"P3bLCA",0,"E64","SWISS",51.2,53.6,95.5223880597015,"P3","UNI"
"114","E64",NA,NA,6,"LM_0345",NA,1,NA,NA,NA,NA,"UNI:E64",NA,"P3bLFC",1130000,"UNI","SWISS",55.3,59.2,93.4121621621621,"P3","E64"
"115","UNI",NA,NA,5,"LM_0343",NA,1.8,NA,NA,NA,NA,"E139:UNI",NA,"P3bLOR",0,"E139","SWISS",54.6,56.5,97.5221238938053,"P3","UNI"
"116","E88",NA,NA,7,"LM_0347",NA,2.57,NA,NA,NA,NA,"E88:E88",NA,"P3bLSG",0,"E88","SWISS",63,69.1,91.1722141823444,"P3","E88"
"117","E64",NA,NA,6,"LM_0333",NA,0.97,NA,NA,NA,NA,"Eflab:E64",NA,"P3bMUY",690721.649484536,"Eflab","SWISS",46.3,50,92.6,"P3","E64"
"118","UNI",NA,NA,5,"LM_0337",NA,1.58,NA,NA,NA,NA,"E88:UNI",NA,"P3bNSX",0,"E88","SWISS",44.2,44.9,96.6592427616927,"P3","UNI"
"119","E64",NA,NA,6,"LM_0336",NA,0.78,NA,NA,NA,NA,"E88:E64",NA,"P3bNYU",160256.41025641,"E88","SWISS",44.4,52.3,84.8948374760994,"P3","E64"
"120","E64",NA,NA,5,"LM_0345",NA,2.02,NA,NA,NA,NA,"UNI:E64",NA,"P3bOKR",445544.554455446,"UNI","SWISS",57.9,59.2,95.777027027027,"P3","E64"
"121","UNI",NA,NA,7,"LM_0335",NA,2.44,NA,NA,NA,NA,"E88:UNI",NA,"P3bONI",0,"E88","SWISS",46,47,97.8723404255319,"P3","UNI"
"122","UNI",NA,NA,7,"LM_0334",NA,1.59,NA,NA,NA,NA,"Eflab:UNI",NA,"P3bOYV",NA,"Eflab","SWISS",46.2,47.3,97.6744186046512,"P3","UNI"
"123","E64",NA,NA,4,"LM_0333",NA,1.84,NA,NA,NA,NA,"Eflab:E64",NA,"P3bPFK",0,"Eflab","SWISS",48.5,50,98,"P3","E64"
"124","UNI",NA,NA,7,"LM_0337",NA,1.49,NA,NA,NA,NA,"E88:UNI",NA,"P3bQAP",10067.1140939597,"E88","SWISS",43.9,44.9,97.7728285077951,"P3","UNI"
"125","UNI",NA,NA,6,"LM_0334",NA,2.25,NA,NA,NA,NA,"Eflab:UNI",NA,"P3bQIT",0,"Eflab","SWISS",47,47.3,99.3657505285412,"P3","UNI"
"126","UNI",NA,NA,5,"LM_0340",NA,1.37,NA,NA,NA,NA,"E64:UNI",NA,"P3bQOV",0,"E64","SWISS",52.3,53.6,98.5074626865672,"P3","UNI"
"127","UNI",NA,NA,5,"LM_0334",NA,1.6,NA,NA,NA,NA,"Eflab:UNI",NA,"P3bQTR",3125,"Eflab","SWISS",46.9,47.3,98.3086680761099,"P3","UNI"
"128","UNI",NA,NA,6,"LM_0335",NA,1.51,NA,NA,NA,NA,"E88:UNI",NA,"P3bRMA",0,"E88","SWISS",46.3,47,98.5106382978723,"P3","UNI"
"129","E64",NA,NA,4,"LM_0339",NA,1.65,NA,NA,NA,NA,"E64:E64",NA,"P3bSNM",0,"E64","SWISS",46.2,48.5,95.4639175257732,"P3","E64"
"130","E64",NA,NA,3,"LM_0333",NA,3.18,NA,NA,NA,NA,"Eflab:E64",NA,"P3bTMN",0,"Eflab","SWISS",49,50,97.8,"P3","E64"
"131","E64",NA,NA,3,"LM_0339",NA,1.73,NA,NA,NA,NA,"E64:E64",NA,"P3bVEO",0,"E64","SWISS",46.3,48.5,97.7319587628866,"P3","E64"
"132","UNI",NA,NA,7,"LM_0346",NA,1.66,NA,NA,NA,NA,"UNI:UNI",NA,"P3bVLZ",0,"UNI","SWISS",51.2,53.2,96.2406015037594,"P3","UNI"
"133","E88",NA,NA,7,"LM_0338",NA,1.48,NA,NA,NA,NA,"E64:E88",NA,"P3bXMO",77702.7027027027,"E64","SWISS",49.5,50.2,98.605577689243,"P3","E88"
"134","E64",NA,NA,3,"LM_0345",NA,3.55,NA,NA,NA,NA,"UNI:E64",NA,"P3bXXV",0,"UNI","SWISS",57.9,59.2,95.4391891891892,"P3","E64"
"135","UNI",NA,NA,6,"LM_0346",NA,1.08,NA,NA,NA,NA,"UNI:UNI",NA,"P3bXYA",0,"UNI","SWISS",51.2,53.2,96.2406015037594,"P3","UNI"
