labels,experiment,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,oocyst_mean,OPG,dilution
P3bRYZ,P3,NA,NA,NA,NA,NA,NA,NA
P3bSNM,P3,0,0,0,0,0,0,1
P3bSWG,P3,NA,NA,NA,NA,NA,NA,NA
P3bTBI,P3,0,0,0,0,0,0,1
P3bTIQ,P3,NA,NA,NA,NA,NA,NA,NA
P3bTMN,P3,0,0,0,0,0,0,1
P3bTPK,P3,NA,NA,NA,NA,NA,NA,NA
P3bTTE,P3,NA,NA,NA,NA,NA,NA,NA
P3bTTH,P3,NA,NA,NA,NA,NA,NA,NA
P3bUBY,P3,NA,NA,NA,NA,NA,NA,NA
P3bUDX,P3,NA,NA,NA,NA,NA,NA,NA
P3bUFY,P3,NA,NA,NA,NA,NA,NA,NA
P3bUHH,P3,6,7,7,10,7.5,135135.135135135,1
P3bUQN,P3,NA,NA,NA,NA,NA,NA,NA
P3bUUP,P3,NA,NA,NA,NA,NA,NA,NA
P3bUYT,P3,NA,NA,NA,NA,NA,NA,NA
P3bVAA,P3,NA,NA,NA,NA,NA,NA,NA
P3bVEO,P3,0,0,0,0,0,0,1
P3bVIZ,P3,NA,NA,NA,NA,NA,NA,NA
P3bVJA,P3,0,0,0,0,0,0,1
P3bVLZ,P3,0,0,0,0,0,0,1
P3bVUV,P3,NA,NA,NA,NA,NA,NA,NA
P3bVVN,P3,NA,NA,NA,NA,NA,NA,NA
P3bVWN,P3,NA,NA,NA,NA,NA,NA,NA
P3bWAC,P3,NA,NA,NA,NA,NA,NA,NA
P3bWVR,P3,NA,NA,NA,NA,NA,NA,NA
P3bWYF,P3,NA,NA,NA,NA,NA,NA,NA
P3bXAK,P3,NA,NA,NA,NA,NA,NA,NA
P3bXFC,P3,3,1,2,3,2.25,39473.6842105263,1
P3bXFQ,P3,NA,NA,NA,NA,NA,NA,NA
P3bXMO,P3,2,4,8,9,5.75,77702.7027027027,1
P3bXXI,P3,NA,NA,NA,NA,NA,NA,NA
P3bXXV,P3,0,0,0,0,0,0,1
P3bXYA,P3,0,0,0,0,0,0,1
P3bYAO,P3,NA,NA,NA,NA,NA,NA,NA
P3bYNS,P3,NA,NA,NA,NA,NA,NA,NA
P3bYNT,P3,NA,NA,NA,NA,NA,NA,NA
P3bYVL,P3,9,9,11,7,9,148760.330578512,1
P3bZBW,P3,16,24,28,27,23.75,250000,1
P3bZDE,P3,NA,NA,NA,NA,NA,NA,NA
P3bZGF,P3,0,0,0,0,0,0,1
P3bZIB,P3,NA,NA,NA,NA,NA,NA,NA
P3bZJZ,P3,NA,NA,NA,NA,NA,NA,NA
