"","dpi.diss","inf.strain","EH_ID","dpi_of_perc","perc_of_dpi1"
"LM0043.Day7_.p","7dip","EI64","LM0043",7,NA
"LM0065.Day7_.p","7dip","Uninf","LM0065",7,NA
"LM0033.Day7_.p","9dpi","Eflab","LM0033",7,95
"LM0045.Day7_.p","9dpi","Efwild","LM0045",7,96
"LM0056.Day7_.p","9dpi","EI64","LM0056",7,96.8674698795181
"LM0091.Day7_.p","9dpi","Uninf","LM0091",7,102.816901408451
"LM0073.Day7_.p","9dpi","Eflab","LM0073",7,94.4805194805195
"LM0028.Day7_.p","9dpi","Efwild","LM0028",7,98.314606741573
"LM0035.Day7_.p","9dpi","EI64","LM0035",7,94.1176470588235
"LM0023.Day7_.p","9dpi","Uninf","LM0023",7,106.603773584906
"LM0080.Day7_.p","9dpi","Eflab","LM0080",7,93.0946291560102
"LM0030.Day7_.p","9dpi","Efwild","LM0030",7,98.3695652173913
"LM0066.Day7_.p","9dpi","EI64","LM0066",7,98.2142857142857
"LM0089.Day7_.p","9dpi","Uninf","LM0089",7,87.5
"LM0021.Day7_.p","11dpi","Eflab","LM0021",7,88.8888888888889
"LM0048.Day7_.p","11dpi","Efwild","LM0048",7,98.0225988700565
"LM0072.Day7_.p","11dpi","EI64","LM0072",7,94.6107784431138
"LM0032.Day7_.p","11dpi","Uninf","LM0032",7,100
"LM0025.Day7_.p","11dpi","Eflab","LM0025",7,93.8095238095238
"LM0027.Day7_.p","11dpi","Efwild","LM0027",7,99.2753623188406
"LM0078.Day7_.p","11dpi","EI64","LM0078",7,98.5549132947977
"LM0049.Day7_.p","11dpi","Uninf","LM0049",7,100
"LM0031.Day7_.p","11dpi","Eflab","LM0031",7,96.0244648318043
"LM0054.Day7_.p","11dpi","Efwild","LM0054",7,96.7741935483871
"LM0071.Day7_.p","11dpi","EI64","LM0071",7,96.25
"LM0053.Day7_.p","11dpi","Uninf","LM0053",7,107.142857142857
"LM0075.Day8_.p","7dip","Eflab","LM0075",8,NA
"LM0094.Day8_.p","7dip","Efwild","LM0094",8,NA
