"","EH_ID","dpi","label","delta","IFNy_CEWE","Eim_MC","total_oocysts","infection_history","weight_change","primary","challenge","Strain","EXP_type","OPG","weight","weight_dpi0","faeces_weight","batch","Position","CD4","Treg","Div_Treg","Treg17","Th1","Div_Th1","Th17","Div_Th17","CD8","Act_CD8","Div_Act_CD8","IFNy_CD4","IFNy_CD8","label.1","totalOocysts"
"31","LM_0231",2,"E7aANS",NA,NA,NA,0,"E88:E64",109.09,"E88","E64","PWD_SCHUNT","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","LM_0231",3,"E7aBMW",NA,NA,NA,0,"E88:E64",106.33,"E88","E64","PWD_SCHUNT","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","LM_0231",4,"E7aBCE",NA,NA,NA,35000,"E88:E64",103.67,"E88","E64","PWD_SCHUNT","WDS",14644.3514644351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","LM_0231",5,"E7aCOV",NA,NA,NA,1257500,"E88:E64",101.26,"E88","E64","PWD_SCHUNT","WDS",821895.424836601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","LM_0231",6,"E7aGJT",NA,NA,NA,197500,"E88:E64",99.18,"E88","E64","PWD_SCHUNT","WDS",207894.736842105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","LM_0231",7,"E7aJRZ",NA,NA,NA,1005000,"E88:E64",99.86,"E88","E64","PWD_SCHUNT","WDS",656862.745098039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","LM_0231",8,"E7aCEK",-5.16,37.5056012557841,"pos",150000,"E88:E64",98.74,"E88","E64","PWD_SCHUNT","WDS",53380.7829181495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","LM_0232",0,"E7aDIW",NA,NA,NA,0,"E88:E88",100,"E88","E88","BUSNA_STRA","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","LM_0232",1,"E7aHNS",NA,NA,NA,0,"E88:E88",102.73,"E88","E88","BUSNA_STRA","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","LM_0232",2,"E7aAGP",NA,NA,NA,0,"E88:E88",103.6,"E88","E88","BUSNA_STRA","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","LM_0232",3,"E7aGIU",NA,NA,NA,0,"E88:E88",102.39,"E88","E88","BUSNA_STRA","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","LM_0232",4,"E7aBFJ",NA,NA,NA,0,"E88:E88",101.06,"E88","E88","BUSNA_STRA","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","LM_0232",5,"E7aGHN",NA,NA,NA,0,"E88:E88",103.38,"E88","E88","BUSNA_STRA","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","LM_0232",6,"E7aNPW",NA,NA,NA,0,"E88:E88",100.72,"E88","E88","BUSNA_STRA","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","LM_0232",7,"E7aFGH",NA,NA,NA,0,"E88:E88",102.46,"E88","E88","BUSNA_STRA","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","LM_0232",8,"E7aCUY",-6.22,21.8877741271661,"pos",0,"E88:E88",102.31,"E88","E88","BUSNA_STRA","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","LM_0233",0,"E7aDUZ",NA,NA,NA,0,"E88:E88",100,"E88","E88","STRA_STRA","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","LM_0233",1,"E7aFKW",NA,NA,NA,0,"E88:E88",99.93,"E88","E88","STRA_STRA","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","LM_0233",2,"E7aDQW",NA,NA,NA,0,"E88:E88",103.33,"E88","E88","STRA_STRA","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","LM_0233",3,"E7aERY",NA,NA,NA,0,"E88:E88",103.16,"E88","E88","STRA_STRA","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","LM_0233",4,"E7aIMR",NA,NA,NA,0,"E88:E88",104.2,"E88","E88","STRA_STRA","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","LM_0233",5,"E7aFPQ",NA,NA,NA,0,"E88:E88",105.88,"E88","E88","STRA_STRA","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","LM_0233",6,"E7aGSV",NA,NA,NA,0,"E88:E88",102.82,"E88","E88","STRA_STRA","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
