"","labels","experiment","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","oocyst_mean","dilution"
"365","OVY","E5",NA,NA,NA,NA,NA,"1"
"366","BPQ","E5",NA,NA,NA,NA,NA,"1"
"367","ILZ","E5",NA,NA,NA,NA,NA,"1"
"368","GUV","E5",NA,NA,NA,NA,NA,"1"
"369","GJT","E5",NA,NA,NA,NA,NA,"1"
"370","QRV","E5",NA,NA,NA,NA,NA,"1"
"371","HLV","E5",0,0,0,0,0,"1"
"372","LOW","E5",0,0,0,0,0,"1"
"373","ANQ","E5",0,0,0,0,0,"1"
"374","LOX","E5",0,0,0,0,0,"1"
"375","HIM","E5",0,0,0,0,0,"1"
"376","BKM","E5",0,0,0,0,0,"1"
"377","GHI","E5",0,0,0,0,0,"1"
"378","GKV","E5",0,0,0,0,0,"1"
"379","DJW","E5",0,0,0,0,0,"1"
"380","KPT","E5",0,0,0,0,0,"1,5"
"381","DGQ","E5",0,0,0,0,0,"1"
"382","JMW","E5",0,0,0,0,0,"1"
"383","CDS","E5",0,0,0,0,0,"1"
"384","CGX","E5",0,0,0,0,0,"2"
"385","ABG","E5",0,0,0,0,0,"1"
"386","CIM","E5",0,0,0,0,0,"2,5"
"387","AQR","E5",0,0,0,0,0,"1"
"388","BIN","E5",0,0,0,0,0,"1,5"
"389","AOU","E5",0,0,0,0,0,"2"
"390","EGN","E5",0,0,0,0,0,"1"
"391","GLO","E5",0,0,0,0,0,"1"
"392","BLR","E5",0,0,0,0,0,"1"
"393","ACU","E5",NA,NA,NA,NA,NA,"1"
"394","ISW","E5",NA,NA,NA,NA,NA,"1"
"395","HMU","E5",NA,NA,NA,NA,NA,"1"
"396","WYZ","E5",NA,NA,NA,NA,NA,"1"
"397","LQX","E5",NA,NA,NA,NA,NA,"1"
"398","CSY","E5",NA,NA,NA,NA,NA,"1"
"399","CMZ","E5",NA,NA,NA,NA,NA,"1"
"400","QRS","E5",NA,NA,NA,NA,NA,"1"
"401","EIM","E5",NA,NA,NA,NA,NA,"1"
"402","DHR","E5",NA,NA,NA,NA,NA,"1"
"403","HMY","E5",NA,NA,NA,NA,NA,"1"
"404","DIS","E5",NA,NA,NA,NA,NA,"1"
"405","HTZ","E5",NA,NA,NA,NA,NA,"1"
"406","ALU","E5",NA,NA,NA,NA,NA,"1"
"407","HJZ","E5",NA,NA,NA,NA,NA,"1"
"408","GJY","E5",NA,NA,NA,NA,NA,"1"
"409","EMP","E5",NA,NA,NA,NA,NA,"1"
"410","BFI","E5",NA,NA,NA,NA,NA,"1"
"411","FTV","E5",NA,NA,NA,NA,NA,"1"
"412","BLN","E5",NA,NA,NA,NA,NA,"1"
"413","HLY","E5",NA,NA,NA,NA,NA,"1"
"414","AUZ","E5",NA,NA,NA,NA,NA,"1"
"415","KRZ","E5",NA,NA,NA,NA,NA,"1"
"416","PVY","E5",NA,NA,NA,NA,NA,"1"
"417","DIM","E5",NA,NA,NA,NA,NA,"1"
"418","BHR","E5",NA,NA,NA,NA,NA,"1"
"419","EUZ","E5",NA,NA,NA,NA,NA,"1"
"420","FLV","E5",NA,NA,NA,NA,NA,"1"
"421","JWY","E5",NA,NA,NA,NA,NA,"1"
"422","FTY","E5",NA,NA,NA,NA,NA,"1"
"423","DIN","E5",NA,NA,NA,NA,NA,"1"
"424","CEF","E5",0,1,0,1,0.5,"1,5"
"425","KMU","E5",0,0,0,0,0,"1"
"426","ENS","E5",0,0,1,1,0.5,"1"
"427","IUV","E5",0,0,0,0,0,"1"
"428","ANV","E5",1,0,2,1,1,"1"
"429","HSW","E5",0,0,0,0,0,"1"
