,EH_ID,dpi,labels,batch,experiment,relative_weight,OPG,primary_infection,challenge_infection,mouse_strain,delta,IFNy_CEWE,Eim_MC,infection_history,EXP_type,IFNy_MES,Position,CD4,Treg,Div_Treg,Treg17,Th1,Div_Th1,Th17,Div_Th17,CD8,Act_CD8,Div_Act_CD8,IFNy_CD4,IFNy_CD8
476,LM_0352,4,P4aJGW,a,P4,92.6108374384237,12820.5128205128,E64,NA,SWISS,NA,NA,NA,E64:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
477,LM_0352,4,P4bSMO,b,P4,95.3228869895537,0,NA,E88,SWISS,NA,NA,NA,E64:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
500,LM_0353,4,P4aFFO,a,P4,90.1773835920177,0,E64,NA,SWISS,NA,NA,NA,E64:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
501,LM_0353,4,P4bJZP,b,P4,98.609211126311,0,NA,E88,SWISS,NA,NA,NA,E64:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
524,LM_0354,4,P4aHIS,a,P4,92.3333333333333,8720.93023255814,E64,NA,SWISS,NA,NA,NA,E64:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
525,LM_0354,4,P4bGEE,b,P4,95.2220888355342,9868.42105263158,NA,E64,SWISS,NA,NA,NA,E64:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
548,LM_0355,4,P4aXLA,a,P4,91.9817767653759,0,E64,NA,SWISS,NA,NA,NA,E64:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
549,LM_0355,4,P4bQNF,b,P4,101.090512540894,0,NA,UNI,SWISS,NA,NA,NA,E64:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
572,LM_0356,4,P4aSBT,a,P4,99.3611793611793,0,E88,NA,SWISS,NA,NA,NA,E88:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
573,LM_0356,4,P4bCES,b,P4,100.175262894342,0,NA,E88,SWISS,NA,NA,NA,E88:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
596,LM_0357,4,P4aOUM,a,P4,97.1495327102804,0,E88,NA,SWISS,NA,NA,NA,E88:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
597,LM_0357,4,P4bRIY,b,P4,95.4396632366698,0,NA,E88,SWISS,NA,NA,NA,E88:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
620,LM_0358,4,P4aNDF,a,P4,92.9090909090909,0,E88,NA,SWISS,NA,NA,NA,E88:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
621,LM_0358,4,P4bJWS,b,P4,94.6078431372549,5780.34682080925,NA,E64,SWISS,NA,NA,NA,E88:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
644,LM_0359,4,P4aGTB,a,P4,90.6852248394004,0,E88,NA,SWISS,NA,NA,NA,E88:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
645,LM_0359,4,P4bBUU,b,P4,97.8632478632479,0,NA,UNI,SWISS,NA,NA,NA,E88:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
668,LM_0360,4,P4aVPK,a,P4,98.8836104513064,0,Eflab,NA,SWISS,NA,NA,NA,Eflab:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
669,LM_0360,4,P4bFPJ,b,P4,NA,NA,NA,E88,SWISS,NA,NA,NA,Eflab:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
689,LM_0361,4,P4aJQX,a,P4,88.4815618221258,0,Eflab,NA,SWISS,NA,NA,NA,Eflab:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
690,LM_0361,4,P4bTXK,b,P4,96.6829041985618,0,NA,E88,SWISS,NA,NA,NA,Eflab:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714,LM_0362,4,P4aCLL,a,P4,91.2915851272016,0,Eflab,NA,SWISS,NA,NA,NA,Eflab:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
715,LM_0362,4,P4bISV,b,P4,NA,NA,NA,E64,SWISS,NA,NA,NA,Eflab:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
735,LM_0363,4,P4aOEA,a,P4,92.3126338329764,0,Eflab,NA,SWISS,NA,NA,NA,Eflab:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
736,LM_0363,4,P4bLHZ,b,P4,97.6803525864069,0,NA,UNI,SWISS,NA,NA,NA,Eflab:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
759,LM_0364,4,P4aAKA,a,P4,101.514423076923,0,UNI,NA,SWISS,NA,NA,NA,UNI:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
760,LM_0364,4,P4bVDY,b,P4,95.1730029901752,0,NA,E88,SWISS,NA,NA,NA,UNI:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
783,LM_0365,4,P4aSRU,a,P4,97.1790540540541,0,UNI,NA,SWISS,NA,NA,NA,UNI:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
784,LM_0365,4,P4bOSQ,b,P4,93.5575063234638,0,NA,E88,SWISS,NA,NA,NA,UNI:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
807,LM_0366,4,P4aNGR,a,P4,96.4449064449064,0,UNI,NA,SWISS,NA,NA,NA,UNI:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
808,LM_0366,4,P4bSTL,b,P4,89.1982415742097,8849.55752212389,NA,E64,SWISS,NA,NA,NA,UNI:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
828,LM_0367,4,P4aCFB,a,P4,95.2822580645161,0,UNI,NA,SWISS,NA,NA,NA,UNI:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
829,LM_0367,4,P4bICV,b,P4,97.5901132852729,0,NA,UNI,SWISS,NA,NA,NA,UNI:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,LM_0332,5,P3aLRK,a,P3,95.9150326797386,NA,Eflab,E88,SWISS,NA,NA,NA,Eflab:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,LM_0332,5,P3bAOV,b,P3,97.8557504873294,NA,Eflab,E88,SWISS,NA,NA,NA,Eflab:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,LM_0333,5,P3aIAK,a,P3,97.7229601518027,NA,Eflab,E64,SWISS,NA,NA,NA,Eflab:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,LM_0333,5,P3bDGY,b,P3,97,162721.893491124,Eflab,E64,SWISS,NA,NA,NA,Eflab:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,LM_0334,5,P3aXBC,a,P3,95.6607495069034,NA,Eflab,UNI,SWISS,NA,NA,NA,Eflab:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,LM_0334,5,P3bQTR,b,P3,98.3086680761099,3125,Eflab,UNI,SWISS,NA,NA,NA,Eflab:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,LM_0335,5,P3aVQF,a,P3,96.9635627530364,NA,E88,UNI,SWISS,NA,NA,NA,E88:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,LM_0335,5,P3bZGF,b,P3,98.5106382978723,0,E88,UNI,SWISS,NA,NA,NA,E88:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,LM_0336,5,P3aNGT,a,P3,97.8805394990366,NA,E88,E64,SWISS,NA,NA,NA,E88:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,LM_0336,5,P3bAGV,b,P3,95.4110898661568,649253.731343284,E88,E64,SWISS,NA,NA,NA,E88:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,LM_0337,5,P3aGTO,a,P3,99.5525727069351,NA,E88,UNI,SWISS,NA,NA,NA,E88:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,LM_0337,5,P3bNSX,b,P3,96.6592427616927,0,E88,UNI,SWISS,NA,NA,NA,E88:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,LM_0338,5,P3aEEZ,a,P3,90.448343079922,275773.195876289,E64,E88,SWISS,NA,NA,NA,E64:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,LM_0338,5,P3bRPF,b,P3,96.8127490039841,NA,E64,E88,SWISS,NA,NA,NA,E64:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,LM_0339,5,P3aNLI,a,P3,89.1129032258064,186781.609195402,E64,E64,SWISS,NA,NA,NA,E64:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159,LM_0339,5,P3bBUX,b,P3,95.2577319587629,445945.945945946,E64,E64,SWISS,NA,NA,NA,E64:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
179,LM_0340,5,P3aSRE,a,P3,89.5412844036697,637931.034482759,E64,UNI,SWISS,NA,NA,NA,E64:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
180,LM_0340,5,P3bQOV,b,P3,98.5074626865672,0,E64,UNI,SWISS,NA,NA,NA,E64:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,LM_0341,5,P3aJJH,a,P3,86.6328257191202,194871.794871795,E139,E88,SWISS,NA,NA,NA,E139:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,LM_0341,5,P3bLZC,b,P3,93.1153184165232,NA,E139,E88,SWISS,NA,NA,NA,E139:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
221,LM_0342,5,P3aMNQ,a,P3,93.1578947368421,212162.162162162,E139,E64,SWISS,NA,NA,NA,E139:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,LM_0342,5,P3bZBW,b,P3,93.8848920863309,250000,E139,E64,SWISS,NA,NA,NA,E139:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,LM_0343,5,P3aWMM,a,P3,89.1304347826087,227777.777777778,E139,UNI,SWISS,NA,NA,NA,E139:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
243,LM_0343,5,P3bLOR,b,P3,97.5221238938053,0,E139,UNI,SWISS,NA,NA,NA,E139:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
264,LM_0344,5,P3aDAL,a,P3,98.6381322957199,0,UNI,E88,SWISS,NA,NA,NA,UNI:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
265,LM_0344,5,P3bZIB,b,P3,96.0905349794239,NA,UNI,E88,SWISS,NA,NA,NA,UNI:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300,LM_0345,5,P3aNMF,a,P3,94.3986820428336,0,UNI,E64,SWISS,NA,NA,NA,UNI:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
301,LM_0345,5,P3bOKR,b,P3,95.777027027027,445544.554455446,UNI,E64,SWISS,NA,NA,NA,UNI:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
337,LM_0346,5,P3aSWK,a,P3,97.0315398886828,0,UNI,UNI,SWISS,NA,NA,NA,UNI:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
338,LM_0346,5,P3bEFI,b,P3,98.3082706766917,19230.7692307692,UNI,UNI,SWISS,NA,NA,NA,UNI:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
373,LM_0347,5,P3aJGW,a,P3,93.7062937062937,NA,E88,E88,SWISS,NA,NA,NA,E88:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
374,LM_0347,5,P3bICF,b,P3,93.1982633863965,NA,E88,E88,SWISS,NA,NA,NA,E88:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
394,LM_0348,5,P4aIUD,a,P4,84.6846846846847,148936.170212766,E139,NA,SWISS,NA,NA,NA,E139:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
395,LM_0348,5,P4bGBX,b,P4,NA,NA,NA,E88,SWISS,NA,NA,NA,E139:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
415,LM_0349,5,P4aCNZ,a,P4,85.8415841584158,180952.380952381,E139,NA,SWISS,NA,NA,NA,E139:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
416,LM_0349,5,P4bHXN,b,P4,NA,NA,NA,E88,SWISS,NA,NA,NA,E139:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
436,LM_0350,5,P4aMDE,a,P4,84.4036697247707,1142857.14285714,E139,NA,SWISS,NA,NA,NA,E139:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
437,LM_0350,5,P4bCUJ,b,P4,NA,NA,NA,E64,SWISS,NA,NA,NA,E139:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
457,LM_0351,5,P4aSWD,a,P4,87.0412844036697,642857.142857143,E139,NA,SWISS,NA,NA,NA,E139:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
458,LM_0351,5,P4bISP,b,P4,NA,NA,NA,UNI,SWISS,NA,NA,NA,E139:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
478,LM_0352,5,P4aJTL,a,P4,90.4433497536946,1907894.73684211,E64,NA,SWISS,NA,NA,NA,E64:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
479,LM_0352,5,P4bVYO,b,P4,95.5365622032289,510775.862068966,NA,E88,SWISS,NA,NA,NA,E64:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
502,LM_0353,5,P4aBIO,a,P4,81.5077605321508,634615.384615385,E64,NA,SWISS,NA,NA,NA,E64:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
503,LM_0353,5,P4bLUN,b,P4,96.9448244414045,117777.777777778,NA,E88,SWISS,NA,NA,NA,E64:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
526,LM_0354,5,P4aBRM,a,P4,88.2444444444445,1192000,E64,NA,SWISS,NA,NA,NA,E64:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
527,LM_0354,5,P4bUMZ,b,P4,95.5822328931573,1204188.48167539,NA,E64,SWISS,NA,NA,NA,E64:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
550,LM_0355,5,P4aLBB,a,P4,90.8883826879271,505000,E64,NA,SWISS,NA,NA,NA,E64:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
551,LM_0355,5,P4bYFR,b,P4,101.43947655398,0,NA,UNI,SWISS,NA,NA,NA,E64:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
574,LM_0356,5,P4aHQE,a,P4,95.8230958230958,471751.412429379,E88,NA,SWISS,NA,NA,NA,E88:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
575,LM_0356,5,P4bUNW,b,P4,98.2974461692539,282110.091743119,NA,E88,SWISS,NA,NA,NA,E88:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
598,LM_0357,5,P4aRKJ,a,P4,94.0420560747664,323170.731707317,E88,NA,SWISS,NA,NA,NA,E88:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
599,LM_0357,5,P4bEWJ,b,P4,92.5631431244153,113756.613756614,NA,E88,SWISS,NA,NA,NA,E88:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
622,LM_0358,5,P4aMDM,a,P4,88.6868686868687,23364.4859813084,E88,NA,SWISS,NA,NA,NA,E88:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
623,LM_0358,5,P4bDGJ,b,P4,90.153452685422,933333.333333333,NA,E64,SWISS,NA,NA,NA,E88:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
646,LM_0359,5,P4aBID,a,P4,89.1006423982869,6250,E88,NA,SWISS,NA,NA,NA,E88:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
647,LM_0359,5,P4bWAH,b,P4,98.7179487179487,0,NA,UNI,SWISS,NA,NA,NA,E88:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
670,LM_0360,5,P4aCUI,a,P4,89.3111638954869,357142.857142857,Eflab,NA,SWISS,NA,NA,NA,Eflab:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
671,LM_0360,5,P4bOQR,b,P4,NA,NA,NA,E88,SWISS,NA,NA,NA,Eflab:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
691,LM_0361,5,P4aZBG,a,P4,84.4034707158351,81395.3488372093,Eflab,NA,SWISS,NA,NA,NA,Eflab:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
692,LM_0361,5,P4bIOZ,b,P4,92.6235212247738,174672.489082969,NA,E88,SWISS,NA,NA,NA,Eflab:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716,LM_0362,5,P4aUAQ,a,P4,87.9256360078278,68750,Eflab,NA,SWISS,NA,NA,NA,Eflab:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717,LM_0362,5,P4bQNU,b,P4,NA,NA,NA,E64,SWISS,NA,NA,NA,Eflab:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
737,LM_0363,5,P4aFCS,a,P4,90.2141327623126,126262.626262626,Eflab,NA,SWISS,NA,NA,NA,Eflab:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
738,LM_0363,5,P4bIYG,b,P4,98.306657388077,0,NA,UNI,SWISS,NA,NA,NA,Eflab:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
761,LM_0364,5,P4aBBE,a,P4,104.495192307692,0,UNI,NA,SWISS,NA,NA,NA,UNI:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
762,LM_0364,5,P4bEES,b,P4,92.930371636053,863333.333333333,NA,E88,SWISS,NA,NA,NA,UNI:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
785,LM_0365,5,P4aLDK,a,P4,98.0405405405405,0,UNI,NA,SWISS,NA,NA,NA,UNI:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
786,LM_0365,5,P4bZCF,b,P4,90.8346972176759,128521.126760563,NA,E88,SWISS,NA,NA,NA,UNI:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
809,LM_0366,5,P4aIYI,a,P4,94.1787941787942,0,UNI,NA,SWISS,NA,NA,NA,UNI:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
810,LM_0366,5,P4bPBN,b,P4,84.2160351685158,1617021.27659574,NA,E64,SWISS,NA,NA,NA,UNI:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
830,LM_0367,5,P4aARF,a,P4,94.0927419354839,0,UNI,NA,SWISS,NA,NA,NA,UNI:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
831,LM_0367,5,P4bKDS,b,P4,97.5695159629248,0,NA,UNI,SWISS,NA,NA,NA,UNI:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,LM_0332,6,P3aKIQ,a,P3,96.078431372549,NA,Eflab,E88,SWISS,NA,NA,NA,Eflab:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,LM_0332,6,P3bUBY,b,P3,96.4912280701754,NA,Eflab,E88,SWISS,NA,NA,NA,Eflab:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,LM_0333,6,P3aSNB,a,P3,98.6717267552182,NA,Eflab,E64,SWISS,NA,NA,NA,Eflab:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,LM_0333,6,P3bMUY,b,P3,92.6,690721.649484536,Eflab,E64,SWISS,NA,NA,NA,Eflab:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,LM_0334,6,P3aWRE,a,P3,96.2524654832347,NA,Eflab,UNI,SWISS,NA,NA,NA,Eflab:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,LM_0334,6,P3bQIT,b,P3,99.3657505285412,0,Eflab,UNI,SWISS,NA,NA,NA,Eflab:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,LM_0335,6,P3aCHZ,a,P3,96.1538461538462,NA,E88,UNI,SWISS,NA,NA,NA,E88:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,LM_0335,6,P3bRMA,b,P3,98.5106382978723,0,E88,UNI,SWISS,NA,NA,NA,E88:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,LM_0336,6,P3aDHR,a,P3,95.5684007707129,NA,E88,E64,SWISS,NA,NA,NA,E88:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,LM_0336,6,P3bNYU,b,P3,84.8948374760994,160256.41025641,E88,E64,SWISS,NA,NA,NA,E88:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,LM_0337,6,P3aDQQ,a,P3,100.671140939597,NA,E88,UNI,SWISS,NA,NA,NA,E88:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,LM_0337,6,P3bAHV,b,P3,98.8864142538975,0,E88,UNI,SWISS,NA,NA,NA,E88:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,LM_0338,6,P3aZTI,a,P3,88.3040935672515,514285.714285714,E64,E88,SWISS,NA,NA,NA,E64:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,LM_0338,6,P3bQSG,b,P3,98.605577689243,NA,E64,E88,SWISS,NA,NA,NA,E64:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,LM_0339,6,P3aSQC,a,P3,89.1129032258064,1623931.62393162,E64,E64,SWISS,NA,NA,NA,E64:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,LM_0339,6,P3bLBS,b,P3,90.9278350515464,198863.636363636,E64,E64,SWISS,NA,NA,NA,E64:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
181,LM_0340,6,P3aREI,a,P3,89.908256880734,258771.929824561,E64,UNI,SWISS,NA,NA,NA,E64:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
182,LM_0340,6,P3bLCA,b,P3,95.5223880597015,0,E64,UNI,SWISS,NA,NA,NA,E64:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,LM_0341,6,P3aNYG,a,P3,85.1099830795262,1038461.53846154,E139,E88,SWISS,NA,NA,NA,E139:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
203,LM_0341,6,P3bEWH,b,P3,94.1480206540448,NA,E139,E88,SWISS,NA,NA,NA,E139:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,LM_0342,6,P3aYNS,a,P3,92.4561403508772,627551.020408163,E139,E64,SWISS,NA,NA,NA,E139:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
