,EH_ID,dpi,labels,batch,experiment,relative_weight,OPG,primary_infection,challenge_infection,mouse_strain,delta,IFNy_CEWE,Eim_MC,infection_history,EXP_type,IFNy_MES,Position,CD4,Treg,Div_Treg,Treg17,Th1,Div_Th1,Th17,Div_Th17,CD8,Act_CD8,Div_Act_CD8,IFNy_CD4,IFNy_CD8
25,LM_0333,1,P3bORK,b,P3,98.4,NA,Eflab,E64,SWISS,NA,NA,NA,Eflab:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,LM_0334,1,P3aZXF,a,P3,117.357001972387,NA,Eflab,UNI,SWISS,NA,NA,NA,Eflab:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,LM_0334,1,P3bTPK,b,P3,98.9429175475687,NA,Eflab,UNI,SWISS,NA,NA,NA,Eflab:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,LM_0335,1,P3aSRB,a,P3,97.5708502024292,NA,E88,UNI,SWISS,NA,NA,NA,E88:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,LM_0335,1,P3bVUV,b,P3,98.5106382978723,NA,E88,UNI,SWISS,NA,NA,NA,E88:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,LM_0336,1,P3aDGB,a,P3,89.7880539499037,NA,E88,E64,SWISS,NA,NA,NA,E88:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,LM_0336,1,P3bRDY,b,P3,97.5143403441683,NA,E88,E64,SWISS,NA,NA,NA,E88:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,LM_0337,1,P3aJLL,a,P3,98.8814317673378,NA,E88,UNI,SWISS,NA,NA,NA,E88:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,LM_0337,1,P3bFUT,b,P3,96.4365256124722,NA,E88,UNI,SWISS,NA,NA,NA,E88:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,LM_0338,1,P3aTCS,a,P3,98.2456140350877,NA,E64,E88,SWISS,NA,NA,NA,E64:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
