EH_ID,labels,weight,weight_dpi0,relative_weight,feces_weight,experiment
LM_0288,E7bJOZ,20.33,19.74,102.9888551,0.94,E7
LM_0288,E7bCIW,19.97,19.74,101.1651469,1.37,E7
LM_0288,E7bBCF,18.99,19.74,96.2006079,1.45,E7
LM_0288,E7bCOP,19.74,19.74,100,2.29,E7
LM_0288,E7bLPW,19.7,19.74,99.79736575,1.9,E7
LM_0289,E7bCER,22.66,23.93,94.69285416,2.22,E7
LM_0289,E7bAGL,21.73,23.93,90.80651901,2.85,E7
LM_0289,E7bKQZ,22.84,23.93,95.44504806,1.81,E7
LM_0289,E7bNUW,22.62,23.93,94.52569996,1.8,E7
LM_0289,E7bPSV,21.93,23.93,91.64229001,2.23,E7
LM_0289,E7bDIP,23.93,23.93,100,1.61,E7
LM_0289,E7bIRU,22.44,23.93,93.77350606,2.03,E7
LM_0289,E7bAKL,23.6,23.93,98.62097785,1.75,E7
LM_0289,E7bFNS,21.57,23.93,90.13790221,1.93,E7
LM_0291,E7bPVX,24.24,24.85,97.54527163,1.66,E7
LM_0291,E7bGIR,24.85,24.85,100,1.76,E7
LM_0291,E7bHLV,26.09,24.85,104.9899396,1.45,E7
LM_0291,E7bBQY,NA,24.85,NA,1.04,E7
LM_0291,E7bDMZ,24.71,24.85,99.43661972,2.3,E7
LM_0291,E7bCPW,24.16,24.85,97.22334004,1.95,E7
LM_0291,E7bPXY,24.8,24.85,99.79879276,2.38,E7
LM_0291,E7bEMP,24.8,24.85,99.79879276,1.69,E7
LM_0291,E7bFXZ,25.96,24.85,104.4668008,1.03,E7
LM_0292,E7bSXY,22.3,22.15,100.6772009,1.14,E7
LM_0292,E7bBLW,21.89,22.15,98.8261851,1.26,E7
LM_0292,E7bEGK,22.15,22.15,100,1.24,E7
LM_0292,E7bEJO,22.1,22.15,99.77426637,1.24,E7
LM_0292,E7bSYZ,22.06,22.15,99.59367946,1.12,E7
LM_0292,E7bMOR,22.46,22.15,101.3995485,1.29,E7
LM_0292,E7bGHL,22.04,22.15,99.503386,1.67,E7
LM_0292,E7bBTV,20.95,22.15,94.58239278,1.41,E7
LM_0292,E7bEHI,21.63,22.15,97.6523702,2.58,E7
LM_0293,E7bAHT,20.74,20.74,100,1.35,E7
LM_0293,E7bILQ,20.74,20.74,100,1.38,E7
LM_0293,E7bBNW,20.76,20.74,100.096432,0.81,E7
LM_0293,E7bAIZ,19.76,20.74,95.27483124,1.18,E7
LM_0293,E7bJNY,19.98,20.74,96.33558341,1.39,E7
LM_0293,E7bJQU,19.86,20.74,95.75699132,1.24,E7
LM_0293,E7bCFU,20.57,20.74,99.18032787,1.47,E7
LM_0293,E7bATW,13.85,20.74,66.77917068,1.39,E7
LM_0293,E7bHVX,20.48,20.74,98.7463838,1.34,E7
LM_0294,E7bPQZ,16.65,17.02,97.82608696,1.97,E7
LM_0294,E7bLPQ,17.14,17.02,100.7050529,0.54,E7
LM_0294,E7bHKX,16.72,17.02,98.2373678,1,E7
LM_0294,E7bNOQ,16.81,17.02,98.76615746,0.84,E7
LM_0294,E7bKTZ,16.75,17.02,98.41363102,0.95,E7
LM_0294,E7bFLN,16.67,17.02,97.94359577,1,E7
LM_0294,E7bCHL,17.02,17.02,100,0.92,E7
LM_0294,E7bRSW,17.06,17.02,100.2350176,1,E7
LM_0294,E7bBGP,17.09,17.02,100.4112808,0.82,E7
LM_0295,E7bDEK,21.31,21.31,100,1.14,E7
LM_0295,E7bDRT,20.2,21.31,94.79117785,1.07,E7
LM_0295,E7bFGH,20.4,21.31,95.72970436,1.43,E7
LM_0295,E7bCGI,20.51,21.31,96.24589395,2.07,E7
LM_0295,E7bADF,20.37,21.31,95.58892539,1.47,E7
LM_0295,E7bANY,20.33,21.31,95.40122008,2.98,E7
LM_0295,E7bNUY,20.06,21.31,94.13420929,3.19,E7
LM_0295,E7bDMR,20.29,21.31,95.21351478,1.82,E7
LM_0295,E7bCOW,NA,21.31,NA,1.87,E7
