"","EH_ID","labels","experiment","weight","weight_dpi0","relative_weight","feces_weight","dpi","infection"
"135","LM0198","E57aCQT","E5",17.53,17.65,"99.3201133144476",0.4,1,"primary"
"136","LM0199","E57aGHU","E5",26.62,26.85,"99.1433891992551",0.93,1,"primary"
"137","LM0200","E57aGNQ","E5",22.8,22.32,"102.150537634409",0.74,1,"primary"
"138","LM0201","E57aTVX","E5",21.72,21.75,"99.8620689655172",0,1,"primary"
"139","LM0202","E57aCJK","E5",18.57,17.68,"105.033936651584",0.83,1,"primary"
"140","LM0203","E57aGOP","E5",20.11,20.26,"99.2596248766041",0.42,1,"primary"
"141","LM0204","E57aILQ","E5",19.08,19.26,"99.0654205607476",1.15,1,"primary"
"142","LM0206","E57aERU","E5",17.39,16.97,"102.474955804361",0.43,1,"primary"
"143","LM0207","E57aFNU","E5",17.8,17.27,"103.068905616676",0,1,"primary"
"144","LM0208","E57aDIT","E5",23.15,22.82,"101.446099912358",0.31,1,"primary"
"145","LM0209","E57aFOZ","E5",21.96,22.09,"99.4114984155727",0.75,1,"primary"
"146","LM0210","E57aBTY","E5",15.95,15.65,"101.916932907348",1.17,1,"primary"
"147","LM0211","E57aFPY","E5",17.7,17.42,"101.607347876005",0,1,"primary"
"148","LM0212","E57aGHT","E5",21.55,21.58,"99.8609823911029",0,1,"primary"
"149","LM0213","E57aORX","E5",15.33,15.39,"99.6101364522417",0.54,1,"primary"
"150","LM0214","E57aFLM","E5",27.03,27.43,"98.541742617572",0.58,1,"primary"
"151","LM0215","E57aGMN","E5",23.94,23.9,"100.167364016736",1.17,1,"primary"
"152","LM0216","E57aSVY","E5",17.12,18.37,"93.1954273271639",0.77,1,"primary"
"153","LM0217","E57aOTY","E5",17.54,17.74,"98.8726042841037",1.59,1,"primary"
"154","LM0218","E57aEFV","E5",20.44,20.36,"100.392927308448",0.37,1,"primary"
"155","LM0219","E57aALS","E5",20.11,19,"105.842105263158",0.94,1,"primary"
"156","LM0220","E57aDGN","E5",19.99,19.72,"101.369168356998",0,1,"primary"
"157","LM0221","E57aOTW","E5",19.58,19.73,"99.2397364419665",0.85,1,"primary"
"158","LM0222","E57aPQV","E5",23.86,23.99,"99.4581075448103",0,1,"primary"
"159","LM0223","E57aKOQ","E5",21.41,20.73,"103.280270139894",0,1,"primary"
"160","LM0224","E57aEMQ","E5",19.96,19.21,"103.904216553878",1.08,1,"primary"
