"","labels","experiment","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","oocyst_mean","OPG","dilution"
"397","E10bCBO","E10",76,104,118,145,110.75,659226.190476191,1
"398","E10bCNW","E10",96,96,59,97,87,591836.734693878,1
"399","E10bCQA","E10",0,0,0,0,0,0,1
"400","E10bCQF","E10",0,0,0,0,0,0,1
"401","E10bCTL","E10",0,0,0,0,0,0,1
"402","E10bCWZ","E10",0,0,0,0,0,0,1
"403","E10bCYC","E10",0,0,0,0,0,0,1
"404","E10bCZQ","E10",0,0,0,0,0,0,1
"405","E10bDBR","E10",0,0,0,0,0,0,1
"406","E10bDEM","E10",0,0,0,0,0,0,1
"407","E10bDFU","E10",0,0,0,0,0,0,1
"408","E10bDFW","E10",1,4,3,1,2.25,18000,1
"409","E10bDGV","E10",0,0,0,0,0,0,1
"410","E10bDMH","E10",0,0,0,0,0,0,1
"411","E10bDWZ","E10",0,0,0,0,0,0,1
"412","E10bEDH","E10",0,0,0,0,0,0,1
"413","E10bEEB","E10",0,0,0,0,0,0,1
"414","E10bEJZ","E10",2,3,5,4,3.5,269230.769230769,1
"415","E10bERA","E10",0,0,0,0,0,0,1
"416","E10bERX","E10",0,0,0,0,0,0,1
"417","E10bESZ","E10",0,0,0,0,0,0,1
"418","E10bETD","E10",0,0,0,0,0,0,1
"419","E10bEVY","E10",0,0,0,0,0,0,1
"420","E10bFDU","E10",0,0,0,0,0,0,1
"421","E10bFHY","E10",0,0,0,0,0,0,1
"422","E10bFPM","E10",0,0,0,0,0,0,1
"423","E10bFTF","E10",13,16,13,14,14,194444.444444444,1
"424","E10bFZA","E10",44,31,43,54,43,380530.973451327,1
"425","E10bGBB","E10",0,0,0,0,0,0,1
"426","E10bGCI","E10",0,0,0,0,0,0,1
"427","E10bGDN","E10",0,0,0,0,0,0,1
"428","E10bGFV","E10",0,0,0,0,0,0,1
"429","E10bGMH","E10",0,0,0,0,0,0,1
"430","E10bGSN","E10",75,80,83,56,73.5,644736.842105263,1
"431","E10bGTL","E10",0,0,0,0,0,0,1
"432","E10bGYP","E10",67,73,53,45,59.5,743750,1
"433","E10bIFF","E10",29,15,20,18,20.5,184684.684684685,1
"434","E10bIMN","E10",1,2,3,1,1.75,62500,1
"435","E10bIVO","E10",0,0,0,0,0,0,1
"436","E10bIXJ","E10",28,23,30,26,26.75,477678.571428571,1
"437","E10bJFX","E10",0,0,0,0,0,0,1
"438","E10bJLF","E10",0,0,0,0,0,0,1
"439","E10bJNY","E10",0,0,0,0,0,0,1
"440","E10bJTJ","E10",0,0,0,0,0,0,1
