"","EH_ID","dpi","batch","labels","experiment","weight","weight_dpi0","feces_weight","relative_weight","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","oocyst_mean","OPG","dilution","primary_infection","challenge_infection","mouse_strain","delta","IFNy_CEWE","Eim_MC"
"87","LM_0336",1,"a","P3aDGB","P3",46.6,51.9,NA,89.7880539499037,NA,NA,NA,NA,NA,NA,NA,"E88","E64","NMRI",NA,NA,NA
"88","LM_0336",1,"b","P3bRDY","P3",51,52.3,NA,97.5143403441683,NA,NA,NA,NA,NA,NA,NA,"E88","E64","NMRI",NA,NA,NA
"89","LM_0336",2,"a","P3aYLP","P3",50.1,51.9,NA,96.5317919075144,NA,NA,NA,NA,NA,NA,NA,"E88","E64","NMRI",NA,NA,NA
"90","LM_0336",2,"b","P3bTEMP5","P3",50.2,52.3,NA,95.9847036328872,NA,NA,NA,NA,NA,NA,NA,"E88","E64","NMRI",NA,NA,NA
"91","LM_0336",3,"a","P3aVAC","P3",50.5,51.9,NA,97.3025048169557,NA,NA,NA,NA,NA,NA,NA,"E88","E64","NMRI",NA,NA,NA
"92","LM_0336",3,"b","P3bIPY","P3",48.1,52.3,1.81,95.9847036328872,0,0,0,0,0,0,1,"E88","E64","NMRI",NA,NA,NA
"93","LM_0336",4,"a","P3aBOM","P3",51,51.9,NA,98.2658959537572,NA,NA,NA,NA,NA,NA,NA,"E88","E64","NMRI",NA,NA,NA
"94","LM_0336",4,"b","P3bINX","P3",49.9,52.3,2.12,91.9694072657744,0,0,0,0,0,0,1,"E88","E64","NMRI",NA,NA,NA
"95","LM_0336",5,"a","P3aNGT","P3",50.8,51.9,NA,97.8805394990366,NA,NA,NA,NA,NA,NA,NA,"E88","E64","NMRI",NA,NA,NA
"96","LM_0336",5,"b","P3bAGV","P3",46,52.3,0.67,95.4110898661568,23,16,21,27,21.75,649253.731343284,1,"E88","E64","NMRI",NA,NA,NA
"97","LM_0336",6,"a","P3aDHR","P3",49.6,51.9,NA,95.5684007707129,NA,NA,NA,NA,NA,NA,NA,"E88","E64","NMRI",NA,NA,NA
"98","LM_0336",6,"b","P3bNYU","P3",44.4,52.3,0.78,84.8948374760994,8,8,4,5,6.25,160256.41025641,1,"E88","E64","NMRI",NA,NA,NA
"99","LM_0336",7,"a","P3aWTG","P3",49.7,51.9,3.37,95.7610789980732,31,31,41,55,39.5,234421.364985163,1,"E88","E64","NMRI",NA,NA,NA
"100","LM_0336",7,"b","P3bBWS","P3",43.8,52.3,0.88,83.7476099426386,18,22,19,20,19.75,448863.636363636,1,"E88","E64","NMRI",NA,123.779469601635,NA
"101","LM_0336",8,"a","P3aUXG","P3",47.9,51.9,2.75,92.2928709055877,30,35,34,38,34.25,249090.909090909,1,"E88","E64","NMRI",NA,NA,NA
"102","LM_0336",8,"b","P3bXFQ","P3",45.4,52.3,NA,86.8068833652008,NA,NA,NA,NA,NA,NA,NA,"E88","E64","NMRI",-4.02,NA,"pos"
"103","LM_0336",9,"a","P3aAZR","P3",43.7,51.9,1.02,84.2003853564547,27,20,18,30,23.75,465686.274509804,1,"E88","E64","NMRI",NA,NA,NA
"104","LM_0336",10,"a","P3aSVD","P3",43.6,51.9,0.81,84.0077071290944,5,2,2,2,2.75,67901.2345679012,1,"E88","E64","NMRI",NA,NA,NA
"105","LM_0336",11,"a","P3aSMX","P3",44.6,51.9,2.91,85.9344894026975,1,2,0,1,1,6872.85223367698,1,"E88","E64","NMRI",NA,NA,NA
"106","LM_0337",0,"a","P3aCNX","P3",44.7,44.7,NA,100,NA,NA,NA,NA,NA,NA,NA,"E88","UNI","NMRI",NA,NA,NA
"107","LM_0337",0,"b","P3bUDX","P3",44.9,44.9,NA,100,NA,NA,NA,NA,NA,NA,NA,"E88","UNI","NMRI",NA,NA,NA
"108","LM_0337",1,"a","P3aJLL","P3",44.2,44.7,NA,98.8814317673378,NA,NA,NA,NA,NA,NA,NA,"E88","UNI","NMRI",NA,NA,NA
"109","LM_0337",1,"b","P3bFUT","P3",43.3,44.9,NA,96.4365256124722,NA,NA,NA,NA,NA,NA,NA,"E88","UNI","NMRI",NA,NA,NA
"110","LM_0337",2,"a","P3aREY","P3",44.3,44.7,NA,99.1051454138702,NA,NA,NA,NA,NA,NA,NA,"E88","UNI","NMRI",NA,NA,NA
"111","LM_0337",2,"b","P3bTEMP6","P3",43.8,44.9,NA,97.5501113585746,NA,NA,NA,NA,NA,NA,NA,"E88","UNI","NMRI",NA,NA,NA
"112","LM_0337",3,"a","P3aKIB","P3",44.4,44.7,NA,99.3288590604027,NA,NA,NA,NA,NA,NA,NA,"E88","UNI","NMRI",NA,NA,NA
"113","LM_0337",3,"b","P3bUQN","P3",44.4,44.9,NA,97.5501113585746,NA,NA,NA,NA,NA,NA,NA,"E88","UNI","NMRI",NA,NA,NA
"114","LM_0337",4,"a","P3aBUF","P3",44.8,44.7,NA,100.223713646532,NA,NA,NA,NA,NA,NA,NA,"E88","UNI","NMRI",NA,NA,NA
"115","LM_0337",4,"b","P3bOCL","P3",43.4,44.9,NA,98.8864142538975,NA,NA,NA,NA,NA,NA,NA,"E88","UNI","NMRI",NA,NA,NA
"116","LM_0337",5,"a","P3aGTO","P3",44.5,44.7,NA,99.5525727069351,NA,NA,NA,NA,NA,NA,NA,"E88","UNI","NMRI",NA,NA,NA
"117","LM_0337",5,"b","P3bNSX","P3",44.2,44.9,1.58,96.6592427616927,0,0,0,0,0,0,1,"E88","UNI","NMRI",NA,NA,NA
"118","LM_0337",6,"a","P3aDQQ","P3",45,44.7,NA,100.671140939597,NA,NA,NA,NA,NA,NA,NA,"E88","UNI","NMRI",NA,NA,NA
"119","LM_0337",6,"b","P3bAHV","P3",44.4,44.9,1.59,98.8864142538975,0,0,0,0,0,0,1,"E88","UNI","NMRI",NA,NA,NA
"120","LM_0337",7,"a","P3aETL","P3",44.7,44.7,3.44,100,14,12,14,12,13,75581.3953488372,1,"E88","UNI","NMRI",NA,NA,NA
"121","LM_0337",7,"b","P3bQAP","P3",43.9,44.9,1.49,97.7728285077951,1,1,0,1,0.75,10067.1140939597,1,"E88","UNI","NMRI",NA,NA,NA
"122","LM_0337",8,"a","P3aTQK","P3",42.3,44.7,2.76,94.6308724832215,102,63,87,81,83.25,603260.869565217,1,"E88","UNI","NMRI",NA,NA,NA
"123","LM_0337",8,"b","P3bKMJ","P3",43.2,44.9,1.43,96.2138084632517,1,0,0,0,0.25,3496.5034965035,1,"E88","UNI","NMRI",-7.09,33.1153542171992,"pos"
"124","LM_0337",9,"a","P3aVKX","P3",39.7,44.7,1.4,88.8143176733781,46,41,37,39,40.75,582142.857142857,1,"E88","UNI","NMRI",NA,NA,NA
"125","LM_0337",10,"a","P3aQEC","P3",39.3,44.7,1.81,87.9194630872483,1,0,2,1,1,11049.7237569061,1,"E88","UNI","NMRI",NA,NA,NA
"126","LM_0337",11,"a","P3aBSJ","P3",40.8,44.7,2.49,91.2751677852349,0,2,1,3,1.5,12048.1927710843,1,"E88","UNI","NMRI",NA,NA,NA
"127","LM_0338",0,"a","P3aMCD","P3",51.3,51.3,NA,100,NA,NA,NA,NA,NA,NA,NA,"E64","E88","NMRI",NA,NA,NA
