,labels,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,oocyst_mean
245,E10aHZR,4,4,17,21,#DIV/0!
246,E10aVXW,12,18,12,16,#DIV/0!
247,E10aPMC,5,2,2,0,#DIV/0!
248,E10aKZW,3,0,3,4,#DIV/0!
249,E10aYZU,0,0,0,0,#DIV/0!
250,E10aOET,0,0,0,0,#DIV/0!
251,E10aXCZ,0,0,0,0,#DIV/0!
252,E10aPON,0,0,0,0,#DIV/0!
253,E10aLCS,0,0,0,0,#DIV/0!
254,E10aIFF,0,0,0,0,#DIV/0!
255,E10aQSC.1,0,0,0,0,#DIV/0!
256,E10aPSW,0,0,0,0,#DIV/0!
257,E10aPMN,0,0,0,0,#DIV/0!
258,E10aYKG,0,0,0,0,#DIV/0!
259,E10aWQA,3,3,1,3,#DIV/0!
260,E10aOTB,NA,NA,NA,NA,#DIV/0!
261,E10aCGR,0,0,0,0,0
262,E10aIMD,0,0,0,0,0
263,E10aFZY,NA,NA,NA,NA,#DIV/0!
264,E10aGMG,0,2,1,0,#DIV/0!
265,E10aOMR,0,0,0,0,#DIV/0!
266,E10aSTP.1,0,0,2,0,#DIV/0!
267,E10aHEX,NA,NA,NA,NA,#DIV/0!
268,E10aHRS,1,1,2,4,#DIV/0!
269,E10aNIC,242,207,258,220,#DIV/0!
270,E10aFIJ,NA,NA,NA,NA,#DIV/0!
271,E10aWOX,32,29,15,26,#DIV/0!
272,E10aAEX,NA,NA,NA,NA,#DIV/0!
273,E10aMGW,119,65,124,87,#DIV/0!
274,E10aOEW,6,12,17,6,#DIV/0!
275,E10aXIP,NA,NA,NA,NA,#DIV/0!
276,E10aOJA,NA,NA,NA,NA,#DIV/0!
277,E10aCSK,47,52,40,43,#DIV/0!
278,E10aUMB,4,8,4,6,#DIV/0!
279,E10aQYJ,NA,NA,NA,NA,#DIV/0!
280,E10aHXV,NA,NA,NA,NA,#DIV/0!
281,E10aXVU,0,0,0,0,#DIV/0!
282,E10aSQR,0,0,0,0,#DIV/0!
283,E10aMJU,0,0,0,0,#DIV/0!
284,E10aPHT,0,0,0,0,#DIV/0!
285,E10aCWA,0,0,0,0,#DIV/0!
286,E10aIKG,0,0,0,0,#DIV/0!
287,E10aIAU,0,0,0,0,#DIV/0!
288,E10aXCN,0,0,0,0,#DIV/0!
289,E10aJXJ,0,0,0,0,#DIV/0!
290,E10aDQH,0,0,0,0,#DIV/0!
291,E10aBRU,0,1,0,0,#DIV/0!
292,E10aYFE.1,NA,NA,NA,NA,#DIV/0!
293,E10aAAX,0,0,0,0,#DIV/0!
294,E10aWQO.1,0,0,0,0,#DIV/0!
295,E10aGAW,NA,NA,NA,NA,#DIV/0!
296,E10aCLD,0,0,0,0,#DIV/0!
297,E10aKOV,0,0,0,0,#DIV/0!
298,E10aCYL,0,0,0,0,#DIV/0!
299,E10aIKD,NA,NA,NA,NA,#DIV/0!
300,E10aTCS,34,24,31,33,#DIV/0!
301,E10aVIS,3,5,4,8,#DIV/0!
