"","labels","EH_ID","dpi","weight","weight_dpi0","faeces_weight","wloss","primary","challenge","infHistory","OPG"
"252","P3bNPG","LM_0346",3,51.4,53.2,NA,97.1804511278195,"UNI","UNI","UNI:UNI",NA
"253","P3bNQG","LM_0341",8,52.5,58.1,0.79,90.3614457831325,"E139","E88","E139:E88",6329.11392405063
"254","P3bNSX","LM_0337",5,44.2,44.9,1.58,96.6592427616927,"E88","UNI","E88:UNI",0
"255","P3bNYU","LM_0336",6,44.4,52.3,0.78,84.8948374760994,"E88","E64","E88:E64",40064.1025641026
"256","P3bNZA","LM_0344",1,47.8,48.6,NA,98.3539094650206,"UNI","E88","UNI:E88",NA
"257","P3bOAH","LM_0341",0,58.1,58.1,NA,100,"E139","E88","E139:E88",NA
"258","P3bOCL","LM_0337",4,43.4,44.9,NA,98.8864142538975,"E88","UNI","E88:UNI",NA
"259","P3bOGG","LM_0342",0,55.6,55.6,NA,100,"E139","E64","E139:E64",NA
"260","P3bOKQ","LM_0332",1,51,51.3,NA,99.4152046783626,"Eflab","E88","Eflab:E88",NA
"261","P3bOKR","LM_0345",5,57.9,59.2,2.02,95.777027027027,"UNI","E64","UNI:E64",111386.138613861
"262","P3bONI","LM_0335",7,46,47,2.44,97.8723404255319,"E88","UNI","E88:UNI",0
"263","P3bORK","LM_0333",1,49.2,50,NA,98.4,"Eflab","E64","Eflab:E64",NA
"264","P3bOYV","LM_0334",7,46.2,47.3,1.59,97.6744186046512,"Eflab","UNI","Eflab:UNI",NA
"265","P3bPBP","LM_0344",4,NA,48.6,NA,NA,"UNI","E88","UNI:E88",NA
"266","P3bPFK","LM_0333",4,48.5,50,1.84,98,"Eflab","E64","Eflab:E64",0
"267","P3bQAP","LM_0337",7,43.9,44.9,1.49,97.7728285077951,"E88","UNI","E88:UNI",2516.77852348993
"268","P3bQIT","LM_0334",6,47,47.3,2.25,99.3657505285412,"Eflab","UNI","Eflab:UNI",0
"269","P3bQJG","LM_0343",1,55.2,56.5,NA,97.6991150442478,"E139","UNI","E139:UNI",NA
"270","P3bQKK","LM_0340",4,52.8,53.6,NA,95.7089552238806,"E64","UNI","E64:UNI",NA
"271","P3bQOV","LM_0340",5,52.3,53.6,1.37,98.5074626865672,"E64","UNI","E64:UNI",0
"272","P3bQSG","LM_0338",6,49.5,50.2,NA,98.605577689243,"E64","E88","E64:E88",NA
"273","P3bQTR","LM_0334",5,46.9,47.3,1.6,98.3086680761099,"Eflab","UNI","Eflab:UNI",781.25
"274","P3bRDY","LM_0336",1,51,52.3,NA,97.5143403441683,"E88","E64","E88:E64",NA
"275","P3bRLW","LM_0334",8,45.1,47.3,2.15,95.3488372093024,"Eflab","UNI","Eflab:UNI",0
"276","P3bRMA","LM_0335",6,46.3,47,1.51,98.5106382978723,"E88","UNI","E88:UNI",0
"277","P3bRPF","LM_0338",5,50,50.2,NA,96.8127490039841,"E64","E88","E64:E88",NA
"278","P3bRYZ","LM_0338",1,49,50.2,NA,97.6095617529881,"E64","E88","E64:E88",NA
"279","P3bSNM","LM_0339",4,46.2,48.5,1.65,95.4639175257732,"E64","E64","E64:E64",0
"280","P3bSWG","LM_0341",4,54.1,58.1,NA,94.4922547332186,"E139","E88","E139:E88",NA
"281","P3bTBI","LM_0332",8,50.6,51.3,2.4,98.635477582846,"Eflab","E88","Eflab:E88",0
"282","P3bTIQ","LM_0344",0,48.6,48.6,NA,100,"UNI","E88","UNI:E88",NA
"283","P3bTMN","LM_0333",3,49,50,3.18,97.8,"Eflab","E64","Eflab:E64",0
"284","P3bTPK","LM_0334",1,46.8,47.3,NA,98.9429175475687,"Eflab","UNI","Eflab:UNI",NA
"285","P3bTTE","LM_0339",1,47.3,48.5,NA,97.5257731958763,"E64","E64","E64:E64",NA
"286","P3bTTH","LM_0335",0,47,47,NA,100,"E88","UNI","E88:UNI",NA
"287","P3bUBY","LM_0332",6,49.5,51.3,NA,96.4912280701754,"Eflab","E88","Eflab:E88",NA
"288","P3bUDX","LM_0337",0,44.9,44.9,NA,100,"E88","UNI","E88:UNI",NA
"289","P3bUFY","LM_0347",6,62.6,69.1,2.9,90.5933429811867,"E88","E88","E88:E88",NA
"290","P3bUHH","LM_0339",7,42,48.5,1.11,86.5979381443299,"E64","E64","E64:E64",33783.7837837838
"291","P3bUQN","LM_0337",3,44.4,44.9,NA,97.5501113585746,"E88","UNI","E88:UNI",NA
"292","P3bUUP","LM_0339",0,48.5,48.5,NA,100,"E64","E64","E64:E64",NA
"293","P3bUYT","LM_0346",1,52.7,53.2,NA,99.0601503759399,"UNI","UNI","UNI:UNI",NA
"294","P3bVAA","LM_0343",0,56.5,56.5,NA,100,"E139","UNI","E139:UNI",NA
"295","P3bVEO","LM_0339",3,46.3,48.5,1.73,97.7319587628866,"E64","E64","E64:E64",0
"296","P3bVIZ","LM_0347",4,64.4,69.1,NA,92.3299565846599,"E88","E88","E88:E88",NA
"297","P3bVJA","LM_0346",8,49.4,53.2,1.87,92.8571428571429,"UNI","UNI","UNI:UNI",0
"298","P3bVLZ","LM_0346",7,51.2,53.2,1.66,96.2406015037594,"UNI","UNI","UNI:UNI",0
"299","P3bVUV","LM_0335",1,46.3,47,NA,98.5106382978723,"E88","UNI","E88:UNI",NA
"300","P3bVVN","LM_0347",1,65.6,69.1,NA,94.9348769898698,"E88","E88","E88:E88",NA
"301","P3bVWN","LM_0335",4,46.3,47,NA,98.2978723404255,"E88","UNI","E88:UNI",NA
"302","P3bWAC","LM_0347",3,63.8,69.1,NA,92.6193921852388,"E88","E88","E88:E88",NA
"303","P3bWVR","LM_0340",3,51.3,53.6,NA,97.0149253731343,"E64","UNI","E64:UNI",NA
"304","P3bWYF","LM_0344",8,NA,48.6,NA,NA,"UNI","E88","UNI:E88",NA
"305","P3bXAK","LM_0344",3,NA,48.6,NA,NA,"UNI","E88","UNI:E88",NA
"306","P3bXFC","LM_0342",7,46.5,55.6,1.14,83.6330935251799,"E139","E64","E139:E64",9868.42105263158
"307","P3bXFQ","LM_0336",8,45.4,52.3,NA,86.8068833652008,"E88","E64","E88:E64",NA
"308","P3bXMO","LM_0338",7,49.5,50.2,1.48,98.605577689243,"E64","E88","E64:E88",19425.6756756757
"309","P3bXXI","LM_0338",0,50.2,50.2,NA,100,"E64","E88","E64:E88",NA
"310","P3bXXV","LM_0345",3,57.9,59.2,3.55,95.4391891891892,"UNI","E64","UNI:E64",0
"311","P3bXYA","LM_0346",6,51.2,53.2,1.08,96.2406015037594,"UNI","UNI","UNI:UNI",0
"312","P3bYAO","LM_0333",0,50,50,NA,100,"Eflab","E64","Eflab:E64",NA
"313","P3bYNS","LM_0341",1,55,58.1,NA,94.6643717728055,"E139","E88","E139:E88",NA
"314","P3bYNT","LM_0334",3,46.3,47.3,NA,98.0972515856237,"Eflab","UNI","Eflab:UNI",NA
"315","P3bYVL","LM_0342",6,48.5,55.6,1.21,87.2302158273381,"E139","E64","E139:E64",37190.0826446281
"316","P3bZBW","LM_0342",5,50.1,55.6,1.9,93.8848920863309,"E139","E64","E139:E64",62500
"317","P3bZDE","LM_0335",3,46.2,47,NA,100,"E88","UNI","E88:UNI",NA
"318","P3bZGF","LM_0335",5,46.4,47,1.49,98.5106382978723,"E88","UNI","E88:UNI",0
"319","P3bZIB","LM_0344",5,NA,48.6,NA,96.0905349794239,"UNI","E88","UNI:E88",NA
"320","P3bZJZ","LM_0340",1,52.8,53.6,NA,98.5074626865672,"E64","UNI","E64:UNI",NA
"321",NA,"LM_0334",2,46.4,47.3,NA,98.0972515856237,"Eflab","UNI","Eflab:UNI",NA
"322",NA,"LM_0332",2,50.7,51.3,NA,98.8304093567252,"Eflab","E88","Eflab:E88",NA
"323",NA,"LM_0339",2,47.4,48.5,NA,97.7319587628866,"E64","E64","E64:E64",NA
"324",NA,"LM_0336",2,50.2,52.3,NA,95.9847036328872,"E88","E64","E88:E64",NA
"325",NA,"LM_0333",2,48.9,50,NA,97.8,"Eflab","E64","Eflab:E64",NA
"326",NA,"LM_0344",2,46.7,48.6,NA,NA,"UNI","E88","UNI:E88",NA
"327",NA,"LM_0341",2,54.8,58.1,NA,94.3201376936317,"E139","E88","E139:E88",NA
"328",NA,"LM_0335",2,47,47,NA,100,"E88","UNI","E88:UNI",NA
"329",NA,"LM_0337",2,43.8,44.9,NA,97.5501113585746,"E88","UNI","E88:UNI",NA
"330",NA,"LM_0342",2,52.4,55.6,NA,94.2446043165468,"E139","E64","E139:E64",NA
"331",NA,"LM_0340",2,52,53.6,NA,97.0149253731343,"E64","UNI","E64:UNI",NA
"332",NA,"LM_0338",2,49.9,50.2,NA,99.402390438247,"E64","E88","E64:E88",NA
"333",NA,"LM_0346",2,51.7,53.2,NA,97.1804511278195,"UNI","UNI","UNI:UNI",NA
"334",NA,"LM_0347",2,64,69.1,NA,92.6193921852388,"E88","E88","E88:E88",NA
"335",NA,"LM_0345",2,56.5,59.2,NA,95.4391891891892,"UNI","E64","UNI:E64",NA
"336",NA,"LM_0343",2,55.1,56.5,NA,97.5221238938053,"E139","UNI","E139:UNI",NA
