,labels,EH_ID,dpi,infHistory,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,oocyst_mean,weight,weight_dpi0,feces_weight,relative_weight,day_change,batch,primary,challenge,Eim_MC,delta,Position,CD4,Treg,Div_Treg,Treg17,Th1,Div_Th1,Th17,Div_Th17,CD8,Act_CD8,Div_Act_CD8,IFNy_CD4,IFNy_CD8,label,IFNy_MES,IFNy_CEWE,total_oocysts,OPG,experiment,dilution
3,P4aAKJ,LM_0350,7,E139:E64,NA,NA,NA,NA,NA,0,54.5,0,0,-82.1834862385321,a,E139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
9,P4aBDZ,LM_0350,11,E139:E64,NA,NA,NA,NA,NA,NA,54.5,NA,NA,NA,a,E139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
33,P4aDFW,LM_0350,0,E139:E64,NA,NA,NA,NA,NA,54.5,54.5,NA,100,NA,a,E139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
37,P4aDUE,LM_0350,9,E139:E64,NA,NA,NA,NA,NA,NA,54.5,NA,NA,NA,a,E139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
79,P4aGUJ,LM_0350,8,E139:E64,NA,NA,NA,NA,NA,NA,54.5,NA,NA,NA,a,E139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
80,P4aGWH,LM_0350,10,E139:E64,NA,NA,NA,NA,NA,NA,54.5,NA,NA,NA,a,E139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
107,P4aJKL,LM_0350,6,E139:E64,NA,NA,NA,NA,NA,44.79,54.5,0,82.1834862385321,-2.22018348623854,a,E139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
129,P4aMDE,LM_0350,5,E139:E64,6,4,3,3,4,46,54.5,0.07,84.4036697247707,-6.25688073394494,a,E139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80000,1142857.14285714,P4,1
150,P4aNZF,LM_0350,4,E139:E64,1,1,0,0,0.5,49.41,54.5,1.33,90.6605504587156,-5.66972477064221,a,E139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000,7518.7969924812,P4,1
165,P4aPPC,LM_0350,3,E139:E64,1,0,2,0,0.75,52.5,54.5,1.91,96.3302752293578,1.28440366972477,a,E139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15000,7853.40314136126,P4,1
196,P4aTDW,LM_0350,2,E139:E64,1,0,1,0,0.5,51.8,54.5,1.75,95.045871559633,-1.28440366972477,a,E139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000,5714.28571428571,P4,1
202,P4aUCA,LM_0350,1,E139:E64,0,0,0,0,0,52.5,54.5,1.75,96.3302752293578,-3.6697247706422,a,E139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,P4,1
242,P4bBAT,LM_0350,6,E139:E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,b,NA,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
250,P4bBTZ,LM_0350,2,E139:E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,b,NA,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
257,P4bCUJ,LM_0350,5,E139:E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,b,NA,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
278,P4bGIQ,LM_0350,1,E139:E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,b,NA,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
371,P4bSJG,LM_0350,7,E139:E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,b,NA,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
396,P4bVMP,LM_0350,0,E139:E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,b,NA,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
417,P4bXUZ,LM_0350,8,E139:E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,b,NA,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
427,P4bYVL,LM_0350,3,E139:E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,b,NA,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
434,P4bZPL,LM_0350,4,E139:E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,b,NA,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
30,P4aCZD,LM_0351,7,E139:UNI,8,7,5,4,6,33.71,43.6,0.39,77.3165137614679,-6.78899082568807,a,E139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120000,307692.307692308,P4,1
58,P4aEZC,LM_0351,0,E139:UNI,NA,NA,NA,NA,NA,43.6,43.6,NA,100,NA,a,E139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
83,P4aHDF,LM_0351,10,E139:UNI,NA,NA,NA,NA,NA,NA,43.6,NA,NA,NA,a,E139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
120,P4aKXK,LM_0351,8,E139:UNI,NA,NA,NA,NA,NA,NA,43.6,NA,NA,NA,a,E139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
125,P4aLNT,LM_0351,2,E139:UNI,1,0,0,0,0.25,43.3,43.6,1.56,99.3119266055046,-2.47706422018351,a,E139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,3205.12820512821,P4,1
133,P4aMHC,LM_0351,11,E139:UNI,NA,NA,NA,NA,NA,NA,43.6,NA,NA,NA,a,E139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
167,P4aPRH,LM_0351,9,E139:UNI,NA,NA,NA,NA,NA,NA,43.6,NA,NA,NA,a,E139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
177,P4aQMT,LM_0351,1,E139:UNI,0,0,0,0,0,44.38,43.6,1.99,101.788990825688,1.78899082568809,a,E139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,P4,1
193,P4aSWD,LM_0351,5,E139:UNI,6,4,3,5,4.5,37.95,43.6,0.14,87.0412844036697,-7.86697247706422,a,E139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90000,642857.142857143,P4,1
206,P4aUGV,LM_0351,4,E139:UNI,1,0,0,0,0.25,41.38,43.6,1.52,94.908256880734,-6.33027522935781,a,E139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,3289.47368421053,P4,1
211,P4aVCF,LM_0351,6,E139:UNI,9,4,8,7,7,36.67,43.6,0.12,84.105504587156,-2.93577981651376,a,E139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140000,1166666.66666667,P4,1
219,P4aWPM,LM_0351,3,E139:UNI,0,0,0,1,0.25,44.14,43.6,3.1,101.238532110092,1.92660550458717,a,E139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,1612.90322580645,P4,1
245,P4bBBH,LM_0351,0,E139:UNI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,b,NA,UNI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
273,P4bFYX,LM_0351,2,E139:UNI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,b,NA,UNI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
301,P4bISP,LM_0351,5,E139:UNI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,b,NA,UNI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
311,P4bJQG,LM_0351,8,E139:UNI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,b,NA,UNI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
334,P4bNLQ,LM_0351,3,E139:UNI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,b,NA,UNI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
339,P4bOGB,LM_0351,1,E139:UNI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,b,NA,UNI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
377,P4bSQN,LM_0351,7,E139:UNI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,b,NA,UNI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
381,P4bSYC,LM_0351,4,E139:UNI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,b,NA,UNI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
398,P4bVSE,LM_0351,6,E139:UNI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,b,NA,UNI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
14,P4aBPT,LM_0352,6,E64:E88,67,68,65,63,65.75,38.35,40.6,1.12,94.4581280788177,4.01477832512316,a,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1315000,1174107.14285714,P4,1
60,P4aFDT,LM_0352,8,E64:E88,7,8,7,6,7,40.24,40.6,2.52,99.1133004926108,4.01477832512316,a,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140000,55555.5555555556,P4,1
92,P4aHUH,LM_0352,1,E64:E88,0,0,0,0,0,40.05,40.6,1.63,98.6453201970443,-1.35467980295567,a,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,P4,1
105,P4aJGW,LM_0352,4,E64:E88,2,1,0,1,1,37.6,40.6,1.56,92.6108374384237,-3.81773399014777,a,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20000,12820.5128205128,P4,1
112,P4aJTL,LM_0352,5,E64:E88,82,71,63,74,72.5,36.72,40.6,0.76,90.4433497536946,-2.16748768472907,a,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1450000,1907894.73684211,P4,1
119,P4aKUB,LM_0352,11,E64:E88,0,0,0,0,0,40.76,40.6,2.09,100.394088669951,-0.098522167487687,a,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,P4,1
163,P4aPBV,LM_0352,7,E64:E88,81,92,77,84,83.5,38.61,40.6,2,95.0985221674877,0.640394088669936,a,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1670000,835000,P4,1
164,P4aPBX,LM_0352,9,E64:E88,2,1,0,1,1,40.14,40.6,2.84,98.8669950738916,-0.246305418719203,a,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20000,7042.25352112676,P4,1
172,P4aPXS,LM_0352,3,E64:E88,0,1,0,0,0.25,39.15,40.6,1.39,96.4285714285714,-0.123152709359616,a,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,3597.12230215827,P4,1
187,P4aRPB,LM_0352,0,E64:E88,NA,NA,NA,NA,NA,40.6,40.6,NA,100,NA,a,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
203,P4aUDZ,LM_0352,2,E64:E88,1,0,1,0,0.5,39.2,40.6,1.28,96.551724137931,-2.0935960591133,a,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000,7812.5,P4,1
224,P4aXIJ,LM_0352,10,E64:E88,0,0,0,0,0,40.8,40.6,2.39,100.492610837438,1.62561576354678,a,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,P4,1
