Pos	Name	Ct SYBR	Ct Mean SYBR	Ct Dev. SYBR	Amount SYBR [Copies]	Amount Mean SYBR	Amount Dev. SYBR	Target SYBR
F11	LM0263	20,93	22,37	2,13	1,00			mouse
F12	LM0263	21,35	22,37	2,13	1,00			mouse
G1	LM0272	33,25	32,19	2,15	1,00			eimeria
G2	LM0272	33,61	32,19	2,15	1,00			eimeria
G3	LM0272	29,73	32,19	2,15	1,00			eimeria
G4	LM0272	21,67	21,64	0,04	1,00			mouse
G5	LM0272	21,66	21,64	0,04	1,00			mouse
G6	LM0272	21,60	21,64	0,04	1,00			mouse
A1	LM0269	29,86	30,01	0,27	1,00			eimeria
A2	LM0269	29,85	30,01	0,27	1,00			eimeria
A3	LM0269	30,33	30,01	0,27	1,00			eimeria
A4	LM0269	21,91	22,10	0,17	1,00			mouse
A5	LM0269	22,17	22,10	0,17	1,00			mouse
A6	LM0269	22,23	22,10	0,17	1,00			mouse
A7	LM0285	25,64	25,58	0,07	1,00			eimeria
A8	LM0285	25,58	25,58	0,07	1,00			eimeria
A9	LM0285	25,50	25,58	0,07	1,00			eimeria
A10	LM0285	22,52	22,47	0,08	1,00			mouse
A11	LM0285	22,38	22,47	0,08	1,00			mouse
A12	LM0285	22,52	22,47	0,08	1,00			mouse
B1	LM0284	27,29	27,38	0,20	1,00			eimeria
B2	LM0284	27,23	27,38	0,20	1,00			eimeria
B3	LM0284	27,61	27,38	0,20	1,00			eimeria
B4	LM0284	20,91	21,19	0,30	1,00			mouse
B5	LM0284	21,50	21,19	0,30	1,00			mouse
B6	LM0284	21,16	21,19	0,30	1,00			mouse
B7	LM0287	31,85	28,98	4,62	1,00			eimeria
B8	LM0287	23,65	28,98	4,62	1,00			eimeria
B9	LM0287	31,44	28,98	4,62	1,00			eimeria
B10	LM0287	22,51	22,64	0,12	1,00			mouse
B11	LM0287	22,74	22,64	0,12	1,00			mouse
B12	LM0287	22,67	22,64	0,12	1,00			mouse
C1	LM0270	32,73	32,41	0,60	1,00			eimeria
C2	LM0270	31,72	32,41	0,60	1,00			eimeria
C3	LM0270	32,80	32,41	0,60	1,00			eimeria
C4	LM0270	22,60	22,66	0,14	1,00			mouse
C5	LM0270	22,82	22,66	0,14	1,00			mouse
C6	LM0270	22,56	22,66	0,14	1,00			mouse
C7	LM0291	18,19	20,19	1,79	1,00			eimeria
C8	LM0291	21,62	20,19	1,79	1,00			eimeria
C9	LM0291	20,78	20,19	1,79	1,00			eimeria
C10	LM0291	20,94	21,40	0,41	1,00			mouse
C11	LM0291	21,56	21,40	0,41	1,00			mouse
C12	LM0291	21,72	21,40	0,41	1,00			mouse
D1	LM0279	31,08	31,43	0,39	1,00			eimeria
D2	LM0279	31,84	31,43	0,39	1,00			eimeria
D3	LM0279	31,37	31,43	0,39	1,00			eimeria
D4	LM0279	22,34	22,25	0,12	1,00			mouse
D5	LM0279	22,29	22,25	0,12	1,00			mouse
D6	LM0279	22,12	22,25	0,12	1,00			mouse
D7	LM0294	7,01	7,88	1,05	1,00			eimeria
D8	LM0294	9,05	7,88	1,05	1,00			eimeria
D9	LM0294	7,57	7,88	1,05	1,00			eimeria
D10	LM0294	19,04	19,49	0,45	1,00			mouse
D11	LM0294	19,94	19,49	0,45	1,00			mouse
D12	LM0294	19,49	19,49	0,45	1,00			mouse
E1	LM0280	29,12	29,64	0,46	1,00			eimeria
E2	LM0280	29,99	29,64	0,46	1,00			eimeria
E3	LM0280	29,82	29,64	0,46	1,00			eimeria
E4	LM0280	22,48	22,52	0,06	1,00			mouse
E5	LM0280	22,59	22,52	0,06	1,00			mouse
E6	LM0280	22,49	22,52	0,06	1,00			mouse
E7	LM0265	34,42	34,30	0,10	1,00			eimeria
E8	LM0265	34,22	34,30	0,10	1,00			eimeria
E9	LM0265	34,28	34,30	0,10	1,00			eimeria
E10	LM0265	23,03	22,88	0,16	1,00			mouse
E11	LM0265	22,72	22,88	0,16	1,00			mouse
E12	LM0265	22,88	22,88	0,16	1,00			mouse
F1	LM0260	33,70	33,06	0,56	1,00			eimeria
F2	LM0260	32,85	33,06	0,56	1,00			eimeria
F3	LM0260	32,64	33,06	0,56	1,00			eimeria
F4	LM0260	21,34	21,16	0,19	1,00			mouse
F5	LM0260	21,18	21,16	0,19	1,00			mouse
F6	LM0260	20,97	21,16	0,19	1,00			mouse
G1	LM0262	32,87	33,01	0,36	1,00			eimeria
G2	LM0262	32,74	33,01	0,36	1,00			eimeria
G3	LM0262	33,42	33,01	0,36	1,00			eimeria
G4	LM0262	22,99	22,95	0,19	1,00			mouse
G5	LM0262	23,11	22,95	0,19	1,00			mouse
G6	LM0262	22,74	22,95	0,19	1,00			mouse
