"","EH_ID","labels","experiment","weight","weight_dpi0","relative_weight","feces_weight","dpi"
"1203","LM0232","KRU","E5",21.77,24.14,"90.182270091135",2.69,10
"1204","LM0233","OTX","E5",22.79,24.55,"92.8309572301426",0,10
"1205","LM0234","CNW","E5",26.97,28.55,"94.4658493870403",0,10
"1206","LM0235","FJX","E5",17.61,17.03,"103.405754550793",1.34,10
"1207","LM0236","DKN","E5",20.25,23.64,"85.6598984771574",0,10
"1208","LM0237","CJT","E5",NA,11.02,"#VALUE!",1.15,10
"1209","LM0238","IOX","E5",15.35,15.31,"100.261267145656",1.45,10
"1210","LM0239","AJT","E5",17.09,16.84,"101.484560570071",2.2,10
"1211","LM0240","ENX","E5",17.71,16.19,"109.388511426807",0,10
"1212","LM0241","JNU","E5",NA,14.51,"#VALUE!",1.18,10
"1213","LM0242","JLO","E5",12.34,15.65,"78.849840255591",0,10
"1214","LM0243","DQW","E5",NA,18.58,"#VALUE!",1.51,10
"1215","LM0244","BFV","E5",NA,12.33,"#VALUE!",0.3,10
"1216","LM0245","AOT","E5",NA,16.71,"#VALUE!",1,10
"1217","LM0246","KUY","E5",17.27,17.95,"96.2116991643454",0,10
"1218","LM0247","OQY","E5",23.02,25.21,"91.3129710432368",0.31,10
"1219","LM0248","CJO","E5",19.1,17.99,"106.170094496943",0,10
"1220","LM0249","MPW","E5",18.75,22.27,"84.1939829366861",0.6,10
"1221","LM0250","GNV","E5",NA,20.59,"#VALUE!",0.47,10
"1222","LM0251","BEX","E5",17.25,19.67,"87.6970005083884",0,10
"1223","LM0252","CDX","E5",NA,15.01,"#VALUE!",0.3,10
"1224","LM0253","NUW","E5",NA,11.08,"#VALUE!",1.32,10
"1225","LM0254","BCM","E5",19.58,20.16,"97.1230158730159",0,10
"1226","LM0255","DGJ","E5",12.24,14.65,"83.5494880546075",0,10
"1227","LM0256","HIU","E5",24.05,25.63,"93.8353492001561",0,10
"1228","LM0257","FHI","E5",20.05,19.57,"102.452733776188",1.88,10
"1229","LM0258","JPZ","E5",NA,17.53,"#VALUE!",0,10
"1230","LM0259","JXZ","E5",NA,24.62,"#VALUE!",1.1,10
"1231","LM0260","KNP","E5",NA,20.11,"#VALUE!",1.4,10
"1232","LM0261","CIN","E5",NA,15.38,"#VALUE!",0,10
"1233","LM0262","RTX","E5",NA,15.24,"#VALUE!",0,10
"1234","LM0263","GMZ","E5",NA,18.47,"#VALUE!",0.57,10
"1235","LM0264","QST","E5",NA,17.69,"#VALUE!",0,10
"1236","LM0265","ENU","E5",NA,23.29,"#VALUE!",2.13,10
"1237","LM0266","BVZ","E5",NA,18.04,"#VALUE!",0.42,10
"1238","LM0267","GJP","E5",NA,26.73,"#VALUE!",0.8,10
"1239","LM0268","KVX","E5",NA,18.01,"#VALUE!",0.81,10
"1240","LM0269","EOW","E5",NA,20.09,"#VALUE!",0.33,10
"1241","LM0270","BLO","E5",NA,19.14,"#VALUE!",0.77,10
"1242","LM0271","HNO","E5",NA,21.28,"#VALUE!",0,10
"1243","LM0272","KQV","E5",NA,16.13,"#VALUE!",0,10
"1244","LM0273","ESU","E5",NA,18.66,"#VALUE!",0.67,10
"1245","LM0274","TWX","E5",NA,24.65,"#VALUE!",0,10
"1246","LM0275","PTY","E5",NA,19.4,"#VALUE!",0,10
"1247","LM0276","IQT","E5",NA,24.31,"#VALUE!",0.2,10
"1248","LM0277","ASW","E5",NA,19.36,"#VALUE!",0,10
"1249","LM0278","QXY","E5",NA,17.54,"#VALUE!",1.66,10
"1250","LM0279","BHW","E5",NA,13.43,"#VALUE!",0,10
"1251","LM0280","APZ","E5",NA,16.32,"#VALUE!",0,10
"1252","LM0281","FIJ","E5",NA,14.41,"#VALUE!",1.29,10
"1253","LM0282","GLX","E5",NA,24.32,"#VALUE!",0,10
"1254","LM0283","DFS","E5",NA,15.15,"#VALUE!",0,10
"1255","LM0284","EIV","E5",NA,21.53,"#VALUE!",1.3,10
"1256","LM0285","DEQ","E5",NA,15.92,"#VALUE!",0,10
"1257","LM0286","AIY","E5",NA,15.42,"#VALUE!",0,10
"1258","LM0287","FGU","E5",NA,19.81,"#VALUE!",1.74,10
"1259","LM0288","EKX","E5",NA,17.29,"#VALUE!",2.13,10
"1260","LM0289","HST","E5",NA,19.44,"#VALUE!",1.21,10
"1261","LM0291","JQU","E5",NA,16.53,"#VALUE!",0.66,10
"1262","LM0292","GJQ","E5",NA,20.56,"#VALUE!",2.11,10
"1263","LM0293","ARS","E5",NA,16.94,"#VALUE!",0,10
"1264","LM0294","NQU","E5",NA,13.66,"#VALUE!",0,10
"1265","LM0295","MOQ","E5",NA,17.12,"#VALUE!",1.77,10
"1266","LM0179","CXY","E5",18.88,18.93,"99.7358689910196",0,11
"1267","LM0180","IJY","E5",23.59,24.1,"97.8838174273859",0.73,11
"1268","LM0181","CGH","E5",14.41,17.5,"82.3428571428572",0.22,11
"1269","LM0182","HNX","E5",18.09,16.94,"106.788665879575",0,11
"1270","LM0183","PWX","E5",16.7,17.08,"97.7751756440281",0.63,11
"1271","LM0184","KNT","E5",20.26,22.8,"88.859649122807",1.04,11
"1272","LM0185","CKW","E5",19.72,20.1,"98.1094527363184",2,11
"1273","LM0186","HQT","E5",18.01,18.1,"99.5027624309392",1.04,11
"1274","LM0187","CIZ","E5",NA,16.71,"#VALUE!",0,11
"1275","LM0188","IJT","E5",17.74,20.6,"86.1165048543689",0,11
"1276","LM0189","DGS","E5",NA,17.03,"#VALUE!",1.24,11
"1277","LM0190","FJO","E5",12.9,15.55,"82.9581993569132",0,11
"1278","LM0191","JLN","E5",21.82,21.97,"99.3172507965408",0.66,11
"1279","LM0192","TWZ","E5",19.91,21.06,"94.5394112060779",0,11
"1280","LM0193","DGX","E5",NA,16.4,"#VALUE!",0,11
"1281","LM0194","CTZ","E5",18.32,20.37,"89.9361806578301",0.15,11
"1282","LM0195","IJR","E5",17.23,16.88,"102.07345971564",0.77,11
"1283","LM0196","BGT","E5",20.63,22.5,"91.6888888888889",0.95,11
"1284","LM0197","COV","E5",22.93,21.35,"107.400468384075",1.52,11
"1285","LM0198","EHR","E5",15.91,17.65,"90.1416430594901",0,11
"1286","LM0199","HSZ","E5",26.42,26.85,"98.3985102420857",1.49,11
"1287","LM0200","CFH","E5",24.38,22.32,"109.229390681004",0,11
"1288","LM0201","AGK","E5",20.74,21.75,"95.3563218390805",0,11
"1289","LM0202","HJY","E5",17.15,17.68,"97.0022624434389",1.69,11
"1290","LM0203","GJX","E5",21.5,20.26,"106.120434353406",0,11
"1291","LM0227","KMO","E5",22.47,20.03,"112.181727408887",1.52,11
"1292","LM0228","AIN","E5",20.35,18.56,"109.644396551724",1.32,11
"1293","LM0229","HJK","E5",15.38,15.82,"97.2187104930468",1.32,11
"1294","LM0230","SUY","E5",NA,15.87,"#VALUE!",0,11
"1295","LM0231","FLR","E5",17.67,18.71,"94.4414751469802",1.92,11
"1296","LM0232","BDY","E5",23.35,24.14,"96.7274233637117",0,11
"1297","LM0233","DHI","E5",25.27,24.55,"102.932790224033",1.41,11
"1298","LM0234","DNO","E5",26.13,28.55,"91.523642732049",1.01,11
"1299","LM0235","GMV","E5",18.87,17.03,"110.80446271286",0,11
