"","EH_ID","dpi","labels","infection_history","primary","challenge","strain","sex"
"336","LM_0383",11,"E10aEFY","E88:E88","E88",NA,"PWD",NA
"337","LM_0384",11,"E10aRQH","E88:E64","E88",NA,"SCHUNT",NA
"338","LM_0385",11,"E10aMYB","E88:E64","E88",NA,"SCHUNT",NA
"339","LM_0386",11,"E10aQDD","E88:E64","E88",NA,"PWD",NA
"340","LM_0387",11,"E10aZSP","E88:E64","E88",NA,"PWD",NA
"341","LM_0388",11,"E10aCCB","E88:UNI","E88",NA,"SCHUNT",NA
"342","LM_0389",11,"E10aHBV","E88:UNI","E88",NA,"SCHUNT",NA
"343","LM_0390",11,"E10aYOG","E88:UNI","E88",NA,"PWD",NA
"344","LM_0391",11,"E10aCLH","E88:UNI","E88",NA,"PWD",NA
"345","LM_0392",11,"E10aZVP","UNI:UNI","UNI",NA,"SCHUNT",NA
"346","LM_0393",11,"E10aRZO","UNI:UNI","UNI",NA,"SCHUNT",NA
"347","LM_0394",11,"E10aUTY","UNI:UNI","UNI",NA,"PWD",NA
"348","LM_0395",11,"E10aMFX","UNI:UNI","UNI",NA,"PWD",NA
"349","LM_0396",11,"E10aPAU","UNI:E64","UNI",NA,"SCHUNT",NA
"350","LM_0397",11,"E10aKWX","UNI:E64","UNI",NA,"PWD",NA
"351","LM_0398",11,"E10aQNV","UNI:E88","UNI",NA,"SCHUNT",NA
"352","LM_0399",11,"E10aRHO","UNI:E88","UNI",NA,"PWD",NA
