"","labels","EH_ID","infHistory","Strain","HybridStatus","primary","challenge","dpi","weight","weight_dpi0","Wchange","fecweight","oocyst_1","oocyst_2","oocyst_3","oocyst_4","average","OPG","comment","volume_PBS_mL","totalOocysts","IFNy_FEC","IFNy_CEWE","delta","CXCR3","IL.12","IRG6","Caecum","Eim_MC"
"123","E7aFGV","LM_0259","E64:E64","STRA_BUSNA","inter subsp. hybrids","E64","E64",1,29.68,28.89,102.73,2.19,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"124","E7aFGZ","LM_0261","E64:E88","PWD_SCHUNT","inter subsp. hybrids","E64","E88",6,19.57,20.09,97.41,1.51,0,0,0,0,0,0,NA,1,0,4.14279342673129,NA,NA,NA,NA,NA,NA,NA
"125","E7aFHK","LM_0229","E88:E88","SCHUNT_SCHUNT","parental strains","E88","E88",6,19.55,19.06,102.57,1.48,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"126","E7aFHQ","LM_0271","E64:E88","STRA_BUSNA","inter subsp. hybrids","E64","E88",5,23.3,24.25,96.08,0.88,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"127","E7aFHS","LM_0247","E88:E88","STRA_SCHUNT","outbred hybrids","E88","E88",2,26.45,27.13,97.49,1.73,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"128","E7aFHT","LM_0228","E88:E64","STRA_BUSNA","inter subsp. hybrids","E88","E64",1,23.4,21.23,110.22,1.28,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"129","E7aFJR","LM_0248","E88:E64","STRA_SCHUNT","outbred hybrids","E88","E64",2,22.28,23.46,94.97,1,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"130","E7aFJS","LM_0235","E88:E64","STRA_SCHUNT","outbred hybrids","E88","E64",0,19.58,19.58,100,0.99,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"131","E7aFJW","LM_0227","E88:E64","BUSNA_STRA","inter subsp. hybrids","E88","E64",1,23.8,23.86,99.75,0.76,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"132","E7aFKW","LM_0233","E88:E88","STRA_STRA","parental strains","E88","E88",1,29.75,29.77,99.93,1.92,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"133","E7aFLN","LM_0266","E64:E88","SCHUNT_STRA","outbred hybrids","E64","E88",4,21.47,23.94,89.68,1.36,0,0,0,0,0,0,NA,1,0,12.9789381224738,NA,NA,NA,NA,NA,NA,NA
"134","E7aFLY","LM_0266","E64:E88","SCHUNT_STRA","outbred hybrids","E64","E88",6,20.36,23.94,85.05,2.12,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"135","E7aFMR","LM_0249","E88:E64","SCHUNT_STRA","outbred hybrids","E88","E64",2,26.2,26.1,100.38,1.15,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"136","E7aFPQ","LM_0233","E88:E88","STRA_STRA","parental strains","E88","E88",5,31.52,29.77,105.88,2.16,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"137","E7aFPV","LM_0247","E88:E88","STRA_SCHUNT","outbred hybrids","E88","E88",7,26.75,27.13,98.6,2.88,0,0,0,0,0,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
"138","E7aFQX","LM_0248","E88:E64","STRA_SCHUNT","outbred hybrids","E88","E64",6,20.95,23.46,89.3,1.74,122,97,146,144,127.25,731321.83908046,NA,1,1272500,NA,NA,NA,NA,NA,NA,NA,NA
"139","E7aFRU","LM_0236","E88:E64","STRA_STRA","parental strains","E88","E64",8,27.05,26.25,103.05,2.33,8,4,11,8,7.75,33261.8025751073,NA,1,77500,0.939915392134487,121.105391312534,-6.02,NA,NA,NA,"pos","pos"
"140","E7aFYZ","LM_0258","E64:E64","BUSNA_PWD","outbred hybrids","E64","E64",3,19.44,19.74,98.48,1.92,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"141","E7aGHI","LM_0259","E64:E64","STRA_BUSNA","inter subsp. hybrids","E64","E64",8,28.32,28.89,98.03,2.58,2,0,1,0,0.75,2906.97674418605,NA,1,7500,4.45462750530078,41.1760044409716,-8,-9.505,-5.27,-3.07,"neg","neg"
"142","E7aGHL","LM_0259","E64:E64","STRA_BUSNA","inter subsp. hybrids","E64","E64",6,28.77,28.89,99.58,1.57,67,55,71,65,64.5,410828.025477707,NA,1,645000,8.62596761018824,NA,NA,NA,NA,NA,NA,NA
"143","E7aGHN","LM_0232","E88:E88","BUSNA_STRA","inter subsp. hybrids","E88","E88",5,27.26,26.37,103.38,2.07,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"144","E7aGHS","LM_0234","E88:E64","STRA_STRA","parental strains","E88","E64",1,32.07,32.76,97.89,1.93,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"145","E7aGHV","LM_0268","E64:E88","SCHUNT_SCHUNT","parental strains","E64","E88",6,18.85,20.84,90.45,1.53,0,0,0,0,0,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
"146","E7aGIQ","LM_0238","E88:E64","PWD_BUSNA","outbred hybrids","E88","E64",1,21.56,21.39,100.79,1.58,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"147","E7aGIU","LM_0232","E88:E88","BUSNA_STRA","inter subsp. hybrids","E88","E88",3,27,26.37,102.39,1.35,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"148","E7aGJT","LM_0231","E88:E64","PWD_SCHUNT","inter subsp. hybrids","E88","E64",6,20.52,20.69,99.18,0.95,21,21,20,17,19.75,207894.736842105,NA,1,197500,7.9440078523568,NA,NA,NA,NA,NA,NA,NA
"149","E7aGLO","LM_0251","E88:E88","STRA_BUSNA","inter subsp. hybrids","E88","E88",3,22.36,23.16,96.55,1.98,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"150","E7aGMW","LM_0238","E88:E64","PWD_BUSNA","outbred hybrids","E88","E64",2,22.14,21.39,103.51,1.36,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"151","E7aGOV","LM_0247","E88:E88","STRA_SCHUNT","outbred hybrids","E88","E88",4,26.54,27.13,97.83,3.97,3,0,0,2,1.25,3148.61460957179,NA,1,12500,NA,NA,NA,NA,NA,NA,NA,NA
"152","E7aGOW","LM_0255","E88:E64","BUSNA_BUSNA","parental strains","E88","E64",6,17.35,18.26,95.02,0.86,28,23,37,29,29.25,340116.279069767,NA,1,292500,5.52628859453141,NA,NA,NA,NA,NA,NA,NA
"153","E7aGRV","LM_0266","E64:E88","SCHUNT_STRA","outbred hybrids","E64","E88",3,22.57,23.94,94.28,0.96,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"154","E7aGSV","LM_0233","E88:E88","STRA_STRA","parental strains","E88","E88",6,30.61,29.77,102.82,1.19,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"155","E7aGSW","LM_0268","E64:E88","SCHUNT_SCHUNT","parental strains","E64","E88",8,19.11,20.84,91.7,2.11,0,0,0,0,0,0,NA,1,0,4.78446213666117,22.2297969084074,-8.15,-16.435,-12.48,-8.365,"neg","neg"
"156","E7aGSZ","LM_0251","E88:E88","STRA_BUSNA","inter subsp. hybrids","E88","E88",0,23.16,23.16,100,0.69,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"157","E7aGTW","LM_0259","E64:E64","STRA_BUSNA","inter subsp. hybrids","E64","E64",3,29.46,28.89,101.97,1.68,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"158","E7aGVW","LM_0239","E88:E88","SCHUNT_SCHUNT","parental strains","E88","E88",1,19.84,19.41,102.22,1.82,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"159","E7aGWZ","LM_0249","E88:E64","SCHUNT_STRA","outbred hybrids","E88","E64",5,24.36,26.1,93.33,1.7,20,23,36,32,27.75,163235.294117647,NA,1,277500,NA,NA,NA,NA,NA,NA,NA,NA
"160","E7aHJU","LM_0258","E64:E64","BUSNA_PWD","outbred hybrids","E64","E64",0,19.74,19.74,100,1.25,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"161","E7aHKM","LM_0235","E88:E64","STRA_SCHUNT","outbred hybrids","E88","E64",1,19.41,19.58,99.13,0.86,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"162","E7aHKN","LM_0236","E88:E64","STRA_STRA","parental strains","E88","E64",6,27.05,26.25,103.05,1.4,77,93,87,60,79.25,566071.428571429,NA,1,792500,26.5545715029539,NA,NA,NA,NA,NA,NA,NA
"163","E7aHKT","LM_0271","E64:E88","STRA_BUSNA","inter subsp. hybrids","E64","E88",1,24.24,24.25,99.96,2.07,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"164","E7aHKW","LM_0240","E88:E64","SCHUNT_PWD","inter subsp. hybrids","E88","E64",0,20.45,20.45,100,1.03,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"165","E7aHKX","LM_0258","E64:E64","BUSNA_PWD","outbred hybrids","E64","E64",7,18.14,19.74,91.89,0.87,46,61,77,58,60.5,695402.298850575,NA,1,605000,1.57141709186385,NA,NA,NA,NA,NA,NA,NA
"166","E7aHNS","LM_0232","E88:E88","BUSNA_STRA","inter subsp. hybrids","E88","E88",1,27.09,26.37,102.73,2.18,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"167","E7aHOY","LM_0247","E88:E88","STRA_SCHUNT","outbred hybrids","E88","E88",1,26.69,27.13,98.38,3.74,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"168","E7aHPY","LM_0239","E88:E88","SCHUNT_SCHUNT","parental strains","E88","E88",2,19.56,19.41,100.77,1.14,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"169","E7aHVW","LM_0258","E64:E64","BUSNA_PWD","outbred hybrids","E64","E64",8,18.28,19.74,92.6,1.22,4,4,3,6,4.25,34836.0655737705,NA,1,42500,2.83376840524125,22.5199587596992,-5.75,-8.295,-5.855,-2.285,"pos","pos"
"170","E7aIJR","LM_0264","E64:E88","PWD_PWD","parental strains","E64","E88",4,18.55,17.88,103.75,1.06,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"171","E7aIJY","LM_0256","E88:E88","STRA_STRA","parental strains","E88","E88",0,29.15,29.15,100,1.77,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"172","E7aILM","LM_0238","E88:E64","PWD_BUSNA","outbred hybrids","E88","E64",0,27.39,27.39,100,3.28,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"173","E7aIMQ","LM_0233","E88:E88","STRA_STRA","parental strains","E88","E88",7,31.24,29.77,104.94,1.51,0,0,0,0,0,0,NA,1,0,5.05934066252274,NA,NA,NA,NA,NA,NA,NA
"174","E7aIMR","LM_0233","E88:E88","STRA_STRA","parental strains","E88","E88",4,31.02,29.77,104.2,3.05,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"175","E7aIMU","LM_0249","E88:E64","SCHUNT_STRA","outbred hybrids","E88","E64",1,26.09,26.1,99.96,1.62,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"176","E7aINO","LM_0227","E88:E64","BUSNA_STRA","inter subsp. hybrids","E88","E64",0,23.86,23.86,100,2.11,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"177","E7aINU","LM_0238","E88:E64","PWD_BUSNA","outbred hybrids","E88","E64",4,21.13,21.39,98.78,1.32,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"178","E7aIOS","LM_0266","E64:E88","SCHUNT_STRA","outbred hybrids","E64","E88",8,19.59,23.94,81.83,2.79,0,0,0,0,0,0,NA,1,0,9.65487230528789,1.04028249056332,-8.25,-8.0425,-4.0675,0.862500000000001,"neg","neg"
"179","E7aIPS","LM_0227","E88:E64","BUSNA_STRA","inter subsp. hybrids","E88","E64",3,23.8,23.86,99.75,1.5,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"180","E7aIQW","LM_0239","E88:E88","SCHUNT_SCHUNT","parental strains","E88","E88",6,18.8,19.41,96.86,3.15,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"181","E7aIUV","LM_0254","E88:E88","SCHUNT_PWD","inter subsp. hybrids","E88","E88",1,22.54,22.32,100.99,2.5,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"182","E7aJKX","LM_0240","E88:E64","SCHUNT_PWD","inter subsp. hybrids","E88","E64",6,21.6,20.45,105.62,1.89,19,24,26,58,31.75,167989.417989418,NA,1,317500,18.4540538108344,NA,NA,NA,NA,NA,NA,NA
"183","E7aJMR","LM_0239","E88:E88","SCHUNT_SCHUNT","parental strains","E88","E88",8,18.47,19.41,95.16,2.87,0,0,0,0,0,0,NA,1,0,5.68730891054033,25.060196364609,-6.76,NA,NA,NA,"pos","pos"
"184","E7aJMX","LM_0247","E88:E88","STRA_SCHUNT","outbred hybrids","E88","E88",8,25.93,27.13,95.58,7.14,0,1,0,0,0.25,350.140056022409,NA,1,2500,5.74965573181054,15.7742979705957,-4.68,-11.1375,-6.0825,-3.9525,"pos","pos"
"185","E7aJMZ","LM_0234","E88:E64","STRA_STRA","parental strains","E88","E64",2,32.68,32.76,99.76,1.26,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"186","E7aJPX","LM_0234","E88:E64","STRA_STRA","parental strains","E88","E64",0,32.76,32.76,100,1.36,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"187","E7aJQU","LM_0257","E88:E64","SCHUNT_SCHUNT","parental strains","E88","E64",8,20.44,22.75,89.85,1.46,4,1,1,1,1.75,11986.301369863,NA,1,17500,6.97024477714995,21.2530814946465,-6.93,-10.995,-5.385,-3.45,"pos","pos"
"188","E7aJRW","LM_0254","E88:E88","SCHUNT_PWD","inter subsp. hybrids","E88","E88",5,22.55,22.32,101.03,2.61,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"189","E7aJRX","LM_0256","E88:E88","STRA_STRA","parental strains","E88","E88",4,30.05,29.15,103.09,2.22,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"190","E7aJRZ","LM_0231","E88:E64","PWD_SCHUNT","inter subsp. hybrids","E88","E64",7,20.66,20.69,99.86,1.53,93,74,106,129,100.5,656862.745098039,NA,1,1005000,6.18310779757597,NA,NA,NA,NA,NA,NA,NA
"191","E7aJTV","LM_0266","E64:E88","SCHUNT_STRA","outbred hybrids","E64","E88",1,22.67,23.94,94.7,1.28,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"192","E7aJUV","LM_0266","E64:E88","SCHUNT_STRA","outbred hybrids","E64","E88",2,23.01,23.94,96.12,1.18,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"193","E7aJVZ","LM_0256","E88:E88","STRA_STRA","parental strains","E88","E88",8,29.82,29.15,102.3,2.16,0,0,0,0,0,0,NA,1,0,3.4229556011352,14.6139889944201,-8.9,-8.5175,-4.0625,-2.1375,"neg","neg"
"194","E7aJXZ","LM_0258","E64:E64","BUSNA_PWD","outbred hybrids","E64","E64",5,18.53,19.74,93.87,1.08,13,16,14,10,13.25,122685.185185185,NA,1,132500,NA,NA,NA,NA,NA,NA,NA,NA
"195","E7aKLQ","LM_0256","E88:E88","STRA_STRA","parental strains","E88","E88",6,30.26,29.15,103.81,1.91,0,0,0,0,0,0,NA,1,0,8.21014095158232,NA,NA,NA,NA,NA,NA,NA
"196","E7aKMO","LM_0239","E88:E88","SCHUNT_SCHUNT","parental strains","E88","E88",4,19.28,19.41,99.33,3.74,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"197","E7aKMQ","LM_0240","E88:E64","SCHUNT_PWD","inter subsp. hybrids","E88","E64",4,21.14,20.45,103.37,2.41,0,0,0,0,0,0,NA,1,0,4.95382855404714,NA,NA,NA,NA,NA,NA,NA
"198","E7aKMS","LM_0258","E64:E64","BUSNA_PWD","outbred hybrids","E64","E64",6,18.7,19.74,94.73,0.84,5,14,5,9,8.25,98214.2857142857,NA,1,82500,4.94426504920241,NA,NA,NA,NA,NA,NA,NA
"199","E7aKNQ","LM_0256","E88:E88","STRA_STRA","parental strains","E88","E88",3,30.92,29.15,106.07,1.93,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"200","E7aKNZ","LM_0251","E88:E88","STRA_BUSNA","inter subsp. hybrids","E88","E88",1,21.85,23.16,94.34,0.93,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"201","E7aKOP","LM_0261","E64:E88","PWD_SCHUNT","inter subsp. hybrids","E64","E88",8,18.69,20.09,93.03,1.36,0,0,0,0,0,0,NA,1,0,0,22.7925981911959,-5.9,-10.8875,-9.9775,-6.3575,"neg","neg"
"202","E7aKOX","LM_0248","E88:E64","STRA_SCHUNT","outbred hybrids","E88","E64",7,21.72,23.46,92.58,1.32,15,16,13,21,16.25,123106.060606061,NA,1,162500,5.45343908205199,NA,NA,NA,NA,NA,NA,NA
"203","E7aKQW","LM_0271","E64:E88","STRA_BUSNA","inter subsp. hybrids","E64","E88",7,23.28,24.25,96,1.79,0,0,0,0,0,0,NA,1,0,1.80062932217711,NA,NA,NA,NA,NA,NA,NA
"204","E7aKST","LM_0238","E88:E64","PWD_BUSNA","outbred hybrids","E88","E64",5,20.84,21.39,97.43,0.82,49,36,45,45,43.75,533536.585365854,NA,1,437500,NA,NA,NA,NA,NA,NA,NA,NA
"205","E7aKUZ","LM_0238","E88:E64","PWD_BUSNA","outbred hybrids","E88","E64",3,21.42,21.39,100.14,1.46,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"206","E7aKWX","LM_0268","E64:E88","SCHUNT_SCHUNT","parental strains","E64","E88",0,20.84,20.84,100,2.33,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"207","E7aLMZ","LM_0228","E88:E64","STRA_BUSNA","inter subsp. hybrids","E88","E64",6,22.29,21.23,104.99,1.05,74,92,97,87,87.5,833333.333333333,NA,1,875000,52.2741183942562,NA,NA,NA,NA,NA,NA,NA
"208","E7aLMZ","LM_0228","E88:E64","STRA_BUSNA","inter subsp. hybrids","E88","E64",6,22.29,21.23,104.99,1.05,74,92,97,87,87.5,833333.333333333,NA,1,875000,3.90463796942712,NA,NA,NA,NA,NA,NA,NA
"209","E7aLNT","LM_0251","E88:E88","STRA_BUSNA","inter subsp. hybrids","E88","E88",6,23.09,23.16,99.7,1.06,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"210","E7aLNU","LM_0249","E88:E64","SCHUNT_STRA","outbred hybrids","E88","E64",3,25.92,26.1,99.31,1.86,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"211","E7aLNW","LM_0227","E88:E64","BUSNA_STRA","inter subsp. hybrids","E88","E64",6,22.94,23.86,96.14,0.88,6,7,10,7,7.5,85227.2727272727,NA,1,75000,5.28962689128332,NA,NA,NA,NA,NA,NA,NA
"212","E7aLOT","LM_0239","E88:E88","SCHUNT_SCHUNT","parental strains","E88","E88",7,19.04,19.41,98.09,1.84,0,0,0,0,0,0,NA,1,0,3.3566626029832,NA,NA,NA,NA,NA,NA,NA
"213","E7aLOW","LM_0257","E88:E64","SCHUNT_SCHUNT","parental strains","E88","E64",3,21.7,22.75,95.38,1.79,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"214","E7aLRS","LM_0254","E88:E88","SCHUNT_PWD","inter subsp. hybrids","E88","E88",7,22.75,22.32,101.93,1.71,0,0,0,0,0,0,NA,1,0,1.13885813058722,NA,NA,NA,NA,NA,NA,NA
"215","E7aLUV","LM_0229","E88:E88","SCHUNT_SCHUNT","parental strains","E88","E88",4,18.78,19.06,98.53,2.35,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"216","E7aLYZ","LM_0238","E88:E64","PWD_BUSNA","outbred hybrids","E88","E64",8,20.41,21.39,95.42,1.38,22,23,22,20,21.75,157608.695652174,NA,1,217500,3.47981538698723,61.4115394386923,-4.42,-10.3425,-6.3925,-4.3375,"pos","pos"
"217","E7aMNW","LM_0227","E88:E64","BUSNA_STRA","inter subsp. hybrids","E88","E64",8,23.81,23.86,99.79,2.73,3,5,8,1,4.25,15567.7655677656,NA,1,42500,7.02526117343341,54.4201292769137,-5.79,-10.535,-9.13,-4.425,"pos","pos"
"218","E7aMOR","LM_0255","E88:E64","BUSNA_BUSNA","parental strains","E88","E64",8,16.99,18.26,93.04,1.41,5,11,13,8,9.25,65602.8368794326,NA,1,92500,7.0619457854202,87.5850373523195,-2.73,-10.875,-6.495,-3.245,"pos","pos"
"219","E7aMOX","LM_0239","E88:E88","SCHUNT_SCHUNT","parental strains","E88","E88",5,19.6,19.41,100.98,2.81,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"220","E7aMPU","LM_0249","E88:E64","SCHUNT_STRA","outbred hybrids","E88","E64",4,25.53,26.1,97.82,3.25,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"221","E7aMQW","LM_0240","E88:E64","SCHUNT_PWD","inter subsp. hybrids","E88","E64",5,21.48,20.45,105.04,1.53,4,6,10,5,6.25,40849.6732026144,NA,1,62500,NA,NA,NA,NA,NA,NA,NA,NA
"222","E7aMRZ","LM_0251","E88:E88","STRA_BUSNA","inter subsp. hybrids","E88","E88",7,22.66,23.16,97.84,1.12,0,0,0,0,0,0,NA,1,0,3.08986986660998,NA,NA,NA,NA,NA,NA,NA
"223","E7aNOY","LM_0238","E88:E64","PWD_BUSNA","outbred hybrids","E88","E64",7,20.09,21.39,93.92,0.79,19,22,24,15,20,253164.556962025,NA,1,2e+05,9.79093082430209,NA,NA,NA,NA,NA,NA,NA
"224","E7aNPW","LM_0232","E88:E88","BUSNA_STRA","inter subsp. hybrids","E88","E88",6,26.56,26.37,100.72,1.11,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"225","E7aNPY","LM_0255","E88:E64","BUSNA_BUSNA","parental strains","E88","E64",7,17.55,18.26,96.11,1.28,30,27,32,38,31.75,248046.875,NA,1,317500,8.88444562539488,NA,NA,NA,NA,NA,NA,NA
"226","E7aNRU","LM_0236","E88:E64","STRA_STRA","parental strains","E88","E64",7,28.03,26.25,106.78,1.42,54,61,71,55,60.25,424295.774647887,NA,1,602500,18.4540538108344,NA,NA,NA,NA,NA,NA,NA
"227","E7aNSX","LM_0228","E88:E64","STRA_BUSNA","inter subsp. hybrids","E88","E64",7,22.92,21.23,107.96,1.18,66,63,62,70,65.25,552966.101694915,NA,1,652500,8.22027140098512,NA,NA,NA,NA,NA,NA,NA
"228","E7aNTU","LM_0229","E88:E88","SCHUNT_SCHUNT","parental strains","E88","E88",7,18.67,19.06,97.95,1.98,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"229","E7aNUY","LM_0259","E64:E64","STRA_BUSNA","inter subsp. hybrids","E64","E64",7,29.44,28.89,101.9,1.38,12,4,7,4,6.75,48913.0434782609,NA,1,67500,NA,NA,NA,NA,NA,NA,NA,NA
"230","E7aOPZ","LM_0258","E64:E64","BUSNA_PWD","outbred hybrids","E64","E64",1,19.18,19.74,97.16,1.55,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"231","E7aOQT","LM_0264","E64:E88","PWD_PWD","parental strains","E64","E88",2,18.31,17.88,102.4,1.05,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"232","E7aPQZ","LM_0271","E64:E88","STRA_BUSNA","inter subsp. hybrids","E64","E88",6,22.66,24.25,93.44,3.69,0,0,0,0,0,0,NA,1,0,3.2902118260771,NA,NA,NA,NA,NA,NA,NA
"233","E7aPRV","LM_0236","E88:E64","STRA_STRA","parental strains","E88","E64",2,26.92,26.25,102.55,1.15,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"234","E7aPRZ","LM_0261","E64:E88","PWD_SCHUNT","inter subsp. hybrids","E64","E88",7,19.74,20.09,98.26,1.21,0,0,0,0,0,0,NA,1,0,18.3441065792273,NA,NA,NA,NA,NA,NA,NA
"235","E7aPSU","LM_0271","E64:E88","STRA_BUSNA","inter subsp. hybrids","E64","E88",8,23.34,24.25,96.25,2.08,0,0,0,0,0,0,NA,1,0,1.65664455658793,11.5962495992721,-9.2,-10.305,-8.22,-4.755,"neg","neg"
"236","E7aPSV","LM_0249","E88:E64","SCHUNT_STRA","outbred hybrids","E88","E64",8,24.4,26.1,93.49,2.71,1,0,1,1,0.75,2767.52767527675,NA,1,7500,1.62435853414336,25.5475919853859,-5.96,-9.7675,-6.6525,-4.1475,"pos","pos"
"237","E7aPVX","LM_0257","E88:E64","SCHUNT_SCHUNT","parental strains","E88","E64",7,21.77,22.75,95.69,1.11,25,29,28,23,26.25,236486.486486486,NA,1,262500,8.60751395976393,NA,NA,NA,NA,NA,NA,NA
"238","E7aQTX","LM_0248","E88:E64","STRA_SCHUNT","outbred hybrids","E88","E64",3,22.06,23.46,94.03,1.57,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"239","E7aQUZ","LM_0235","E88:E64","STRA_SCHUNT","outbred hybrids","E88","E64",3,19.13,19.58,97.7,1.12,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"240","E7aRTY","LM_0227","E88:E64","BUSNA_STRA","inter subsp. hybrids","E88","E64",5,23.12,23.86,96.9,2.01,26,17,23,28,23.5,116915.422885572,NA,1,235000,NA,NA,NA,NA,NA,NA,NA,NA
"241","E7aSTU","LM_0233","E88:E88","STRA_STRA","parental strains","E88","E88",8,29.96,29.77,100.64,1.75,0,0,0,0,0,0,NA,1,0,4.86923097297706,81.662990584743,-5.97,-11.1725,-6.1225,NA,"neg","pos"
"242","E7aTUV","LM_0257","E88:E64","SCHUNT_SCHUNT","parental strains","E88","E64",5,21.3,22.75,93.63,2.89,28,23,24,38,28.25,97750.8650519031,NA,1,282500,NA,NA,NA,NA,NA,NA,NA,NA
"243","E7aTXZ","LM_0236","E88:E64","STRA_STRA","parental strains","E88","E64",1,23.35,26.25,88.95,1.7,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
