original.label,Exp_ID,prelim_labels,date,comment,weight,weightloss,weightRelativeToInfection,fecweight,dayFollowWeight,PIN,weightAtStart,weightlossBeforeInf,weightRelativeToStart,EH_id
8487,Exp004,12,30-05-18,1g seeds mix in petri dish,14.4,NA,NA,NA,23,SY M 8487 G42 L2,14.5,0.0999999999999996,99.3103448275862,LM0171
9616,Exp004,13,30-05-18,1g seeds mix in petri dish,18.2,NA,NA,NA,23,SY M 9616 G60 L2,16.2,-2,112.345679012346,LM0148
8479,Exp004,14,30-05-18,1g seeds mix in petri dish,17.3,NA,NA,NA,23,SY F 8479 G37 P5,17.8,0.5,97.1910112359551,LM0163
9339,Exp004,15,30-05-18,1g seeds mix in petri dish,24.3,NA,NA,NA,23,SY M 9339 G56 L2,25.4,1.1,95.6692913385827,LM0157
8483,Exp004,16,30-05-18,1g seeds mix in petri dish,21.1,NA,NA,NA,23,SY M 8483 G38 L3,22.9,1.8,92.1397379912664,LM0170
524,Exp004,17,30-05-18,1g seeds mix in petri dish,29.4,NA,NA,NA,23,EX M 524 G55 L2,26.3,-3.1,111.787072243346,LM0158
144,Exp004,18,30-05-18,1g seeds mix in petri dish,15.3,NA,NA,NA,23,SX F 144 G63 L3,12.8,-2.5,119.53125,LM0173
8510,Exp004,19,30-05-18,1g seeds mix in petri dish,15.1,NA,NA,NA,23,SY M 8510 G43 L2,14.9,-0.199999999999999,101.342281879195,LM0177
8480,Exp004,20,30-05-18,1g seeds mix in petri dish,19,NA,NA,NA,23,SY F 8480 G37 L2,19.7,0.699999999999999,96.4467005076142,LM0146
527,Exp004,21,30-05-18,1g seeds mix in petri dish,25.6,NA,NA,NA,23,EX F 527 G55 P3,24,-1.6,106.666666666667,LM0175
528,Exp004,22,30-05-18,1g seeds mix in petri dish,28,NA,NA,NA,23,EX F 528 G55 P4,25.1,-2.9,111.553784860558,LM0166
529,Exp004,23,30-05-18,1g seeds mix in petri dish,24.9,NA,NA,NA,23,EX F 529 G55 P5,23.8,-1.1,104.621848739496,LM0168
8476,Exp004,24,30-05-18,1g seeds mix in petri dish,20.2,NA,NA,NA,23,SY M 8476 G37 P2,22.4,2.2,90.1785714285714,LM0149
145,Exp004,25,30-05-18,1g seeds mix in petri dish,14.5,NA,NA,NA,23,SX F 145 G63 L4,13.5,-1,107.407407407407,LM0159
8515,Exp004,26,30-05-18,1g seeds mix in petri dish,12.3,NA,NA,NA,23,SY F 8515 G43 P3,10.9,-1.4,112.844036697248,LM0160
8511,Exp004,27,30-05-18,1g seeds mix in petri dish,14.5,NA,NA,NA,23,SY M 8511 G43 L3,14.9,0.4,97.3154362416107,LM0169
8613,Exp004,28,30-05-18,1g seeds mix in petri dish,17.2,NA,NA,NA,23,SY M 8613 G61 P3,15.7,-1.5,109.554140127389,LM0174
8477,Exp004,29,30-05-18,1g seeds mix in petri dish,19.6,NA,NA,NA,23,SY M 8477 G37 P3,20.1,0.5,97.5124378109453,LM0165
8612,Exp004,30,30-05-18,1g seeds mix in petri dish,19.6,NA,NA,NA,23,SY M 8612 G61 P2,19.2,-0.400000000000002,102.083333333333,LM0150
8482,Exp004,31,30-05-18,1g seeds mix in petri dish,24.1,NA,NA,NA,23,SY M 8482 G38 L2,25.3,1.2,95.2569169960474,LM0176
8513,Exp004,32,30-05-18,1g seeds mix in petri dish,14,NA,NA,NA,23,SY F 8513 G43 L5,14.5,0.5,96.551724137931,LM0154
526,Exp004,1,29-05-18,1g seeds mix in petri dish + change bedding + feces Norus,27.5,NA,NA,NA,22,EX F 526 G55 P2,25.4,-2.1,108.267716535433,LM0151
9619,Exp004,2,29-05-18,1g seeds mix in petri dish + change bedding + feces Norus,18.5,NA,NA,NA,22,SY F 9619 G60 P2,18,-0.5,102.777777777778,LM0172
8514,Exp004,3,29-05-18,1g seeds mix in petri dish + change bedding + feces Norus,12.5,NA,NA,NA,22,SY F 8514 G43 P2,12.1,-0.4,103.305785123967,LM0153
9620,Exp004,4,29-05-18,1g seeds mix in petri dish + change bedding + feces Norus,16.8,NA,NA,NA,22,SY F 9620 G60 P3,16.5,-0.300000000000001,101.818181818182,LM0156
9617,Exp004,5,29-05-18,1g seeds mix in petri dish + change bedding + feces Norus,19.2,NA,NA,NA,22,SY M 9617 G60 L3,16.6,-2.6,115.66265060241,LM0178
8481,Exp004,6,29-05-18,1g seeds mix in petri dish + change bedding + feces Norus,17.4,NA,NA,NA,22,SY F 8481 G37 L3,17.4,0,100,LM0152
525,Exp004,7,29-05-18,1g seeds mix in petri dish + change bedding + feces Norus,33.5,NA,NA,NA,22,EX M 525 G55 L3,31.8,-1.7,105.345911949686,LM0161
9618,Exp004,8,29-05-18,1g seeds mix in petri dish + change bedding + feces Norus,17.3,NA,NA,NA,22,SY F 9618 G60 L4,16.1,-1.2,107.453416149068,LM0147
8486,Exp004,9,29-05-18,1g seeds mix in petri dish + change bedding + feces Norus,16.6,NA,NA,NA,22,SY F 8486 G38 P5,17.3,0.699999999999999,95.9537572254335,LM0162
8505,Exp004,10,29-05-18,1g seeds mix in petri dish + change bedding + feces Norus,12.9,NA,NA,NA,22,SY M 8505 G43 P2,12.4,-0.5,104.032258064516,LM0167
8478,Exp004,11,29-05-18,1g seeds mix in petri dish + change bedding + feces Norus,24,NA,NA,NA,22,SY M 8478 G37 P4,23.2,-0.800000000000001,103.448275862069,LM0164
8487,Exp004,12,29-05-18,1g seeds mix in petri dish + change bedding + feces Norus,15.2,NA,NA,NA,22,SY M 8487 G42 L2,14.5,-0.699999999999999,104.827586206897,LM0171
9616,Exp004,13,29-05-18,1g seeds mix in petri dish + change bedding + feces Norus,18,NA,NA,NA,22,SY M 9616 G60 L2,16.2,-1.8,111.111111111111,LM0148
8479,Exp004,14,29-05-18,1g seeds mix in petri dish + change bedding + feces Norus,17,NA,NA,NA,22,SY F 8479 G37 P5,17.8,0.800000000000001,95.5056179775281,LM0163
9339,Exp004,15,29-05-18,1g seeds mix in petri dish + change bedding + feces Norus,25.3,NA,NA,NA,22,SY M 9339 G56 L2,25.4,0.0999999999999979,99.6062992125984,LM0157
8483,Exp004,16,29-05-18,1g seeds mix in petri dish + change bedding + feces Norus,21.6,NA,NA,NA,22,SY M 8483 G38 L3,22.9,1.3,94.3231441048035,LM0170
524,Exp004,17,29-05-18,1g seeds mix in petri dish + change bedding + feces Norus,29.3,NA,NA,NA,22,EX M 524 G55 L2,26.3,-3,111.406844106464,LM0158
144,Exp004,18,29-05-18,1g seeds mix in petri dish + change bedding + feces Norus,15.1,NA,NA,NA,22,SX F 144 G63 L3,12.8,-2.3,117.96875,LM0173
8510,Exp004,19,29-05-18,1g seeds mix in petri dish + change bedding + feces Norus,15.3,NA,NA,NA,22,SY M 8510 G43 L2,14.9,-0.4,102.684563758389,LM0177
8480,Exp004,20,29-05-18,1g seeds mix in petri dish + change bedding + feces Norus,19.4,NA,NA,NA,22,SY F 8480 G37 L2,19.7,0.300000000000001,98.4771573604061,LM0146
527,Exp004,21,29-05-18,1g seeds mix in petri dish + change bedding + feces Norus,25.8,NA,NA,NA,22,EX F 527 G55 P3,24,-1.8,107.5,LM0175
528,Exp004,22,29-05-18,1g seeds mix in petri dish + change bedding + feces Norus,28.3,NA,NA,NA,22,EX F 528 G55 P4,25.1,-3.2,112.749003984064,LM0166
529,Exp004,23,29-05-18,1g seeds mix in petri dish + change bedding + feces Norus,25.5,NA,NA,NA,22,EX F 529 G55 P5,23.8,-1.7,107.142857142857,LM0168
8476,Exp004,24,29-05-18,1g seeds mix in petri dish + change bedding + feces Norus,20.3,NA,NA,NA,22,SY M 8476 G37 P2,22.4,2.1,90625,LM0149
145,Exp004,25,29-05-18,1g seeds mix in petri dish + change bedding + feces Norus,16,NA,NA,NA,22,SX F 145 G63 L4,13.5,-2.5,118.518518518519,LM0159
8515,Exp004,26,29-05-18,1g seeds mix in petri dish + change bedding + feces Norus,12.1,NA,NA,NA,22,SY F 8515 G43 P3,10.9,-1.2,111.009174311927,LM0160
8511,Exp004,27,29-05-18,1g seeds mix in petri dish + change bedding + feces Norus,15,NA,NA,NA,22,SY M 8511 G43 L3,14.9,-0.0999999999999996,100.671140939597,LM0169
8613,Exp004,28,29-05-18,1g seeds mix in petri dish + change bedding + feces Norus,18.1,NA,NA,NA,22,SY M 8613 G61 P3,15.7,-2.4,115.286624203822,LM0174
8477,Exp004,29,29-05-18,1g seeds mix in petri dish + change bedding + feces Norus,19.1,NA,NA,NA,22,SY M 8477 G37 P3,20.1,1,95.0248756218905,LM0165
8612,Exp004,30,29-05-18,1g seeds mix in petri dish + change bedding + feces Norus,19.4,NA,NA,NA,22,SY M 8612 G61 P2,19.2,-0.199999999999999,101.041666666667,LM0150
