,EH_ID,Strain,HybridStatus,primary,challenge,labels,dpi,weight,weight_dpi0,Wchange,fecweight,average,volume_PBS_mL,totalOocysts,OPG,infHistory
390,LM0284,STRA_BUSNA,inter subsp. hybrids,E64,E64,2LOR,0,22.39,22.39,100,1.27,0,1,0,0,E64:E64
391,LM0284,STRA_BUSNA,inter subsp. hybrids,E64,E64,2FMN,1,21.88,22.39,97.72219741,1.86,0,1,0,0,E64:E64
392,LM0284,STRA_BUSNA,inter subsp. hybrids,E64,E64,2LPZ,5,22.52,22.39,100.5806163,1.13,18.5,1,185000,163716.814159292,E64:E64
393,LM0284,STRA_BUSNA,inter subsp. hybrids,E64,E64,2KOX,6,23.15,22.39,103.3943725,1.98,24.25,1,242500,122474.747474747,E64:E64
394,LM0284,STRA_BUSNA,inter subsp. hybrids,E64,E64,2KLQ,7,22.4,22.39,100.0446628,1.29,3.75,1,37500,29069.7674418605,E64:E64
395,LM0284,STRA_BUSNA,inter subsp. hybrids,E64,E64,2KLT,4,22.56,22.39,100.7592675,1.26,0,1,0,0,E64:E64
396,LM0284,STRA_BUSNA,inter subsp. hybrids,E64,E64,2CRX,2,22.43,22.39,100.1786512,2.2,0,1,0,0,E64:E64
397,LM0285,PWD_PWD,parental strains,E64,E64,2BEV,7,19.01,19.43,97.83839424,1.06,11,1,110000,103773.58490566,E64:E64
398,LM0285,PWD_PWD,parental strains,E64,E64,2ACW,1,19.26,19.43,99.12506433,1.67,0,1,0,0,E64:E64
399,LM0285,PWD_PWD,parental strains,E64,E64,2CRV,0,19.43,19.43,100,1.49,0,1,0,0,E64:E64
400,LM0285,PWD_PWD,parental strains,E64,E64,2CHZ,3,19.68,19.43,101.2866701,2.01,0,1,0,0,E64:E64
401,LM0285,PWD_PWD,parental strains,E64,E64,2CMQ,4,19.21,19.43,98.86773031,0.77,0,1,0,0,E64:E64
402,LM0285,PWD_PWD,parental strains,E64,E64,2BIT,2,19.05,19.43,98.04426145,1.33,0,1,0,0,E64:E64
403,LM0285,PWD_PWD,parental strains,E64,E64,2BMX,8,19.66,19.43,101.1837365,1.4,12,1,120000,85714.2857142857,E64:E64
404,LM0285,PWD_PWD,parental strains,E64,E64,2CLV,6,19.37,19.43,99.69119918,1,25.5,1,255000,255000,E64:E64
405,LM0285,PWD_PWD,parental strains,E64,E64,2IKL,5,18.9,19.43,97.27225939,1.37,38.5,1,385000,281021.897810219,E64:E64
