"","EH_ID","labels","Strain","HybridStatus","primary","challenge","dpi","weight","weight_dpi0","Wchange","fecweight","oocyst_1","oocyst_2","oocyst_3","oocyst_4","average","OPG","comment","volume_PBS_mL","totalOocysts","infHistory","IFNy_FEC","IFNy_CEWE","Caecum","delta","CXCR3","IRG6","IL.12","Sample","cell.counting.x106.","cell_counts","ThCD4p","TcCD8p","Th1IFNgp_in_CD4p","Th17IL17Ap_in_CD4p","Tc1IFNgp_in_CD8p","Treg_Foxp3_in_CD4p","Dividing_Ki67p_in_Foxp3p","RORgtp_in_Foxp3p","Th1Tbetp_in_CD4pFoxp3n","Dividing_Ki67p_in_Tbetp","Th17RORgp_in_CD4pFoxp3n","Dividing_Ki67p_in_RORgtp","Position","ThCD4p.cells","TcCD8p.cells","Th1IFNgp_in_CD4p.cells","Th17IL17Ap_in_CD4p.cells","Treg_Foxp3_in_CD4p.cells","Tc1IFNgp_in_CD8p.cells","RORgtp_in_Foxp3p.cells","Dividing_Ki67p_in_Foxp3p.cells","Dividing_Ki67p_in_RORgtp.cells","ThCD4p_Foxp3n","ThCD4p_Foxp3n.cells","Th1Tbetp_in_CD4pFoxp3n.cells","Th17RORgp_in_CD4pFoxp3n.cells","Dividing_Ki67p_in_Tbetp.cells"
"45","LM_0260","E7bGHV","SCHUNT_SCHUNT","parental strains","E64","E64",8,27.06,29.02,93.24603722,3.14,0,0,0,0,0,0,"",1,0,"E64:E64",NA,NA,"neg",-11.9,-11.615,-3.91,-6.305,"1: Anterior LN_60_026.fcs",2.4,2400000,50.46,15.18,3.37,0.35,20.89,6.69,13.74,9.3,4.76,64.9,0.79,44.33,"Anterior",1211040,364320,40812.048,4238.64,81018.576,76106.448,7534.727568,1035.2715678432,3340.1447308944,89.59,1211033.31,57645.185556,9567.163149,37411.725425844
"46","LM_0260","E7bGHV","SCHUNT_SCHUNT","parental strains","E64","E64",8,27.06,29.02,93.24603722,3.14,0,0,0,0,0,0,"",1,0,"E64:E64",NA,NA,"neg",-11.9,-11.615,-3.91,-6.305,"27: Posterior LN_60_001.fcs",8.8,8800000,42.07,19.5,1.21,0.33,9.98,9.02,6.94,2.99,2.15,28.64,0.98,61.74,"Posterior",3702160,1716000,44796.136,12217.128,333934.832,171256.8,9984.6514768,692.93481248992,6164.52382177632,89.44,3702150.98,79596.24607,36281.079604,22796.364874448
"47","LM_0261","E7aKOP","PWD_SCHUNT","inter subsp. hybrids","E64","E88",8,18.69,20.09,93.03,1.36,0,0,0,0,0,0,NA,1,0,"E64:E88",0,215.5,"neg",-5.9,-10.8875,-6.3575,-9.9775,"58: Posterior LN_61_023.fcs",1.1,1100000,59.54,32.65,0.38,0.18,3.78,4.31,12.96,5.84,0.8,28.42,0.62,18.89,"Posterior",654940,359150,2488.772,1178.892,28227.914,13575.87,1648.5101776,213.64691901696,311.40357254864,95.13,654935.69,5239.48552,4060.601278,1489.061784784
"48","LM_0261","E7aKOP","PWD_SCHUNT","inter subsp. hybrids","E64","E88",8,18.69,20.09,93.03,1.36,0,0,0,0,0,0,NA,1,0,"E64:E88",0,215.5,"neg",-5.9,-10.8875,-6.3575,-9.9775,"23: Anterior LN_61_050.fcs",1.4,1400000,48.42,34.95,2.66,0.6,21.86,6.14,16.79,5.11,3.56,76.53,0.57,54.1,"Anterior",677880,489300,18031.608,4067.28,41621.832,106960.98,2126.8756152,357.10241579208,1150.6397078232,90.6,677873.86,24132.309416,3863.881002,18468.4563960648
"49","LM_0262","E7bABO","BUSNA_BUSNA","parental strains","E64","E64",8,22.95,21.13,108.613346,1.42,1,0,0,0,0.25,1760.56338028169,"",1,2500,"E64:E64",NA,NA,"neg",-10.06,-12.8075,-5.5025,-7.7025,"2: Anterior LN_62_027.fcs",1.1,1100000,48.12,13.39,5.13,0.28,22.26,8.14,17.97,7.04,8.44,71.46,1.16,39.96,"Anterior",529320,147290,27154.116,1482.096,43086.648,32786.754,3033.3000192,545.08401345024,1212.10668767232,86.45,529311.86,44673.920984,6140.017576,31923.9839351664
"50","LM_0262","E7bABO","BUSNA_BUSNA","parental strains","E64","E64",8,22.95,21.13,108.613346,1.42,1,0,0,0,0.25,1760.56338028169,"",1,2500,"E64:E64",NA,NA,"neg",-10.06,-12.8075,-5.5025,-7.7025,"28: Posterior LN_62_002.fcs",2.8,2800000,58.47,11.86,1.18,0.34,10.43,3.82,34.86,8.04,5.06,52.25,1.15,31.7,"Posterior",1637160,332080,19318.488,5566.344,62539.512,34635.944,5028.1767648,1752.82242020928,1593.9320344416,94.66,1637156.18,82840.102708,18827.29607,43283.95366493
"51","LM_0263","E7bLMZ","PWD_SCHUNT","inter subsp. hybrids","E64","E64",8,21.26,21.25,100.0470588,1.56,4,8,1,7,5,32051.2820512821,"",1,50000,"E64:E64",NA,NA,"pos",-8.38,-4.88,-12.735,-6.165,"3: Anterior LN_63_028.fcs",1.5,1500000,47.69,15.97,2.7,0.59,38.9,9.12,11.25,5.62,3.07,25.24,0.88,26.34,"Anterior",715350,239550,19314.45,4220.565,65239.92,93184.95,3666.483504,412.4793942,965.7517549536,87.59,715340.88,21960.965016,6294.999744,5542.9475700384
"52","LM_0263","E7bLMZ","PWD_SCHUNT","inter subsp. hybrids","E64","E64",8,21.26,21.25,100.0470588,1.56,4,8,1,7,5,32051.2820512821,"",1,50000,"E64:E64",NA,NA,"pos",-8.38,-4.88,-12.735,-6.165,"29: Posterior LN_63_003.fcs",3.7,3700000,29.24,37.37,2.09,0.66,18.09,8.39,34.95,9.02,5.48,67.53,2.27,35.18,"Posterior",1081880,1382690,22611.292,7140.408,90769.732,250128.621,8187.4298264,2861.5067243268,2880.33781292752,88.86,1081871.61,59286.564228,24558.485547,40036.2168231684
"53","LM_0264","E7aADL","PWD_PWD","parental strains","E64","E88",8,17.81,17.88,99.61,1.01,0,0,0,0,0,0,NA,1,0,"E64:E88",15.6812526580593,120.166666666667,"neg",-10.02,-7.4725,-1.0475,-4.9125,"59: Posterior LN_64_024.fcs",2.1,2100000,65.83,15.33,1.53,0.16,8.75,3.81,25.74,21.03,1.74,13.66,1.34,13.33,"Posterior",1382430,321930,21151.179,2211.888,52670.583,28168.875,11076.6236049,2851.12291590126,1476.51392653317,94.5,1382426.19,24054.215706,18524.510946,3285.8058654396
"54","LM_0264","E7aADL","PWD_PWD","parental strains","E64","E88",8,17.81,17.88,99.61,1.01,0,0,0,0,0,0,NA,1,0,"E64:E88",15.6812526580593,120.166666666667,"neg",-10.02,-7.4725,-1.0475,-4.9125,"24: Anterior LN_64_051.fcs",4.2,4200000,38.41,9.61,4.83,0.66,30.92,7.04,21.67,14.7,7.11,77.67,1.28,35.84,"Anterior",1613220,403620,77918.526,10647.252,113570.688,124799.304,16694.891136,3617.7829091712,5983.4489831424,87.47,1613212.96,114699.441456,20649.125888,89087.0561788752
"55","LM_0265","E7bIMQ","BUSNA_STRA","inter subsp. hybrids","E64","E64",8,26.37,26.43,99.77298524,2.45,0,0,0,1,0.25,1020.40816326531,"",1,2500,"E64:E64",NA,NA,"neg",-11.42,-5.5275,-15.3325,-6.5675,"4: Anterior LN_65_029.fcs",2.7,2700000,41.87,23.71,7.54,0.81,35.28,6.01,19.88,7.79,8,81.56,1.38,78.73,"Anterior",1130490,640170,85238.946,9156.969,67942.449,225851.976,5292.7167771,1052.19209528748,4166.95591861083,85.64,1130483.99,90438.7192,15600.679062,73761.81937952
"56","LM_0265","E7bIMQ","BUSNA_STRA","inter subsp. hybrids","E64","E64",8,26.37,26.43,99.77298524,2.45,0,0,0,1,0.25,1020.40816326531,"",1,2500,"E64:E64",NA,NA,"neg",-11.42,-5.5275,-15.3325,-6.5675,"30: Posterior LN_65_004.fcs",5.1,5100000,53.14,17.45,1.63,0.61,20.74,8.28,13.65,4.53,2.52,39.48,0.68,21.64,"Posterior",2710140,889950,44175.282,16531.854,224399.592,184575.63,10165.3015176,1387.5636571524,2199.77124840864,89.48,2710131.72,68295.319344,18428.895696,26962.9920770112
"57","LM_0265","E7bIMQ","BUSNA_STRA","inter subsp. hybrids","E64","E64",8,26.37,26.43,99.77298524,2.45,0,0,0,1,0.25,1020.40816326531,"",1,2500,"E64:E64",NA,NA,"neg",-11.42,-5.5275,-15.3325,-6.5675,"4: Anterior LN_65_029.fcs",2.7,2700000,41.87,23.71,7.54,0.81,35.28,6.01,19.88,7.79,8,81.56,1.38,78.73,"Anterior",1130490,640170,85238.946,9156.969,67942.449,225851.976,5292.7167771,1052.19209528748,4166.95591861083,85.64,1130483.99,90438.7192,15600.679062,73761.81937952
"58","LM_0265","E7bIMQ","BUSNA_STRA","inter subsp. hybrids","E64","E64",8,26.37,26.43,99.77298524,2.45,0,0,0,1,0.25,1020.40816326531,"",1,2500,"E64:E64",NA,NA,"neg",-11.42,-5.5275,-15.3325,-6.5675,"30: Posterior LN_65_004.fcs",5.1,5100000,53.14,17.45,1.63,0.61,20.74,8.28,13.65,4.53,2.52,39.48,0.68,21.64,"Posterior",2710140,889950,44175.282,16531.854,224399.592,184575.63,10165.3015176,1387.5636571524,2199.77124840864,89.48,2710131.72,68295.319344,18428.895696,26962.9920770112
"59","LM_0266","E7aIOS","SCHUNT_STRA","outbred hybrids","E64","E88",8,19.59,23.94,81.83,2.79,0,0,0,0,0,0,NA,1,0,"E64:E88",9.65487230528789,31.8333333333333,"neg",-8.25,-8.0425,0.862500000000001,-4.0675,"60: Posterior LN_66_025.fcs",4.4,4400000,45.3,27.5,4.11,1.67,19.54,10.79,46.9,7.9,6.14,74.45,0.84,35.54,"Posterior",1993200,1210000,81920.52,33286.44,215066.28,236434,16990.23612,7968.42074028,6038.329917048,83.43,1993189.21,122381.817494,16742.789364,91113.263124283
"60","LM_0266","E7aIOS","SCHUNT_STRA","outbred hybrids","E64","E88",8,19.59,23.94,81.83,2.79,0,0,0,0,0,0,NA,1,0,"E64:E88",9.65487230528789,31.8333333333333,"neg",-8.25,-8.0425,0.862500000000001,-4.0675,"25: Anterior LN_66_052.fcs",3.6,3600000,56.56,30.3,1.21,0.2,11.69,7.33,7.69,4.41,0.99,18.6,0.5,21.63,"Anterior",2036160,1090800,24637.536,4072.32,149250.528,127514.52,6581.9482848,506.15182310112,1423.67541400224,91.26,2036152.67,20157.911433,10180.76335,3749.371526538
"61","LM_0268","E7aGSW","SCHUNT_SCHUNT","parental strains","E64","E88",8,19.11,20.84,91.7,2.11,0,0,0,0,0,0,NA,1,0,"E64:E88",4.78446213666117,210,"neg",-8.15,-16.435,-8.365,-12.48,"26: Anterior LN_68_053.fcs",2.5,2500000,57.96,28.93,1.25,0.22,21.51,7.74,10.96,5.08,1.02,19.15,0.78,31.04,"Anterior",1449000,723250,18112.5,3187.8,112152.6,155571.075,5697.35208,624.429787968,1768.458085632,90.79,1448992.26,14779.721052,11302.139628,2830.316581458
"62","LM_0268","E7aGSW","SCHUNT_SCHUNT","parental strains","E64","E88",8,19.11,20.84,91.7,2.11,0,0,0,0,0,0,NA,1,0,"E64:E88",4.78446213666117,210,"neg",-8.15,-16.435,-8.365,-12.48,"61: Posterior LN_68_026.fcs",2,2000000,53.33,26.89,0.74,0.55,10.12,7.58,17.98,10.01,0.97,25.14,0.99,22.25,"Posterior",1066600,537800,7892.84,5866.3,80848.28,54425.36,8092.912828,1455.1057264744,1800.67310423,91.13,1066592.42,10345.946474,10559.264958,2600.9709435636
"63","LM_0269","E7bLOT","STRA_SCHUNT","outbred hybrids","E64","E64",8,21.19,21.6,98.10185185,1.22,0,0,0,0,0,0,"",1,0,"E64:E64",NA,NA,"pos",-7.91,-6.3075,-13.0275,-3.8175,"5: Anterior LN_69_036.fcs",2.4,2400000,50.39,16.49,2.19,0.3,16.82,10.09,9.81,6.04,3.57,21.74,1.04,27.03,"Anterior",1209360,395760,26484.984,3628.08,122024.424,66566.832,7370.2752096,723.02399806176,1992.18538915488,87.42,1209349.91,43173.791787,12577.239064,9385.9823344938
"64","LM_0269","E7bLOT","STRA_SCHUNT","outbred hybrids","E64","E64",8,21.19,21.6,98.10185185,1.22,0,0,0,0,0,0,"",1,0,"E64:E64",NA,NA,"pos",-7.91,-6.3075,-13.0275,-3.8175,"31: Posterior LN_69_011.fcs",4.9,4900000,51.02,28.02,0.86,1.04,5.27,4.21,29.25,9.91,2.4,63.69,0.43,33.06,"Posterior",2499980,1372980,21499.828,25999.792,105249.158,72356.046,10430.1915578,3050.8310306565,3448.22132900868,93.89,2499975.79,59999.41896,10749.895897,38213.629935624
"65","LM_0270","E7bKMQ","SCHUNT_STRA","outbred hybrids","E64","E64",8,23.01,23.89,96.3164504,1.58,0,0,0,0,0,0,"",1,0,"E64:E64",NA,NA,"neg",-9.75,-10.955,-5.455,-8.01,"6: Anterior LN_70_030.fcs",4.3,4300000,48.96,7.51,2.75,0.22,20.1,7.82,9.9,3.68,2.76,25.6,0.53,32.76,"Anterior",2105280,322930,57895.2,4631.616,164632.896,64908.93,6058.4905728,599.7905667072,1984.76151164928,89.21,2105272.18,58105.512168,11157.942554,14875.011115008
"66","LM_0270","E7bKMQ","SCHUNT_STRA","outbred hybrids","E64","E64",8,23.01,23.89,96.3164504,1.58,0,0,0,0,0,0,"",1,0,"E64:E64",NA,NA,"neg",-9.75,-10.955,-5.455,-8.01,"32: Posterior LN_70_005.fcs",7,7000000,56,7.27,1.66,0.53,16.36,3.71,22.21,12.01,3.41,38.66,0.86,22.16,"Posterior",3920000,508900,65072,20776,145432,83256.04,17466.3832,3879.28370872,3870.55051712,94.1,3919996.29,133671.873489,33711.968094,51677.5462908474
"67","LM_0271","E7aPSU","STRA_BUSNA","inter subsp. hybrids","E64","E88",8,23.34,24.25,96.25,2.08,0,0,0,0,0,0,NA,1,0,"E64:E88",1.65664455658793,110.833333333333,"neg",-9.2,-10.305,-4.755,-8.22,"27: Anterior LN_71_054.fcs",9.6,9600000,55.67,17.71,1.17,0.6,10.47,4.2,23.13,18.94,1.99,12.26,1.48,61.14,"Anterior",5344320,1700160,62528.544,32065.92,224461.44,178006.752,42512.996736,9833.2561450368,25992.4462043904,94.03,5344315.8,106351.88442,79095.87384,13038.741029892
"68","LM_0271","E7aPSU","STRA_BUSNA","inter subsp. hybrids","E64","E88",8,23.34,24.25,96.25,2.08,0,0,0,0,0,0,NA,1,0,"E64:E88",1.65664455658793,110.833333333333,"neg",-9.2,-10.305,-4.755,-8.22,"62: Posterior LN_71_027.fcs",1.5,1500000,48.1,26.29,2.73,0.62,15.48,10.24,38.51,6.57,4.4,68.17,0.48,43.87,"Posterior",721500,394350,19696.95,4473.3,73881.6,61045.38,4854.02112,1869.283533312,2129.459065344,86.41,721489.76,31745.54944,3463.150848,21640.941053248
"69","LM_0272","E7bAYZ","BUSNA_STRA","inter subsp. hybrids","E64","E88",8,22.78,22.77,100.0439174,1.48,0,0,0,0,0,0,"",1,0,"E64:E88",NA,NA,"neg",-10.55,-12.895,-6.865,-9.9,"7: Anterior LN_72_040.fcs",2.9,2900000,51.56,9.4,7.41,0.18,26.46,6.66,21.73,10.01,7.07,75.83,0.97,69.17,"Anterior",1495240,272600,110797.284,2691.432,99582.984,72129.96,9968.2566984,2166.10218056232,6895.04315828328,85.75,1495233.34,105712.997138,14503.763398,80162.1657297454
"70","LM_0272","E7bAYZ","BUSNA_STRA","inter subsp. hybrids","E64","E88",8,22.78,22.77,100.0439174,1.48,0,0,0,0,0,0,"",1,0,"E64:E88",NA,NA,"neg",-10.55,-12.895,-6.865,-9.9,"33: Posterior LN_72_015.fcs",1.3,1300000,55.73,14.84,2.65,0.65,17.11,4.09,25.55,7.75,3.81,51.34,0.76,31.78,"Posterior",724490,192920,19198.985,4709.185,29631.641,33008.612,2296.4521775,586.74353135125,729.8125020095,92.61,724485.91,27602.913171,5506.092916,14171.3356219914
"71","LM_0273","E7bKQW","STRA_SCHUNT","outbred hybrids","E64","E88",8,21.81,21.7,100.5069124,2,0,0,0,0,0,0,"",1,0,"E64:E88",NA,NA,"neg",-10.42,-7.9625,-3.4275,-6.1625,"8: Anterior LN_73_049.fcs",3.4,3400000,45.84,12.71,8.22,0.34,27.15,7.79,12.84,7.35,8.67,49.02,1.22,33.04,"Anterior",1558560,432140,128113.632,5299.104,121411.824,117326.01,8923.769064,1145.8119478176,2948.4132987456,83.65,1558552.21,135126.476607,19014.336962,66238.9988327514
"72","LM_0273","E7bKQW","STRA_SCHUNT","outbred hybrids","E64","E88",8,21.81,21.7,100.5069124,2,0,0,0,0,0,0,"",1,0,"E64:E88",NA,NA,"neg",-10.42,-7.9625,-3.4275,-6.1625,"34: Posterior LN_73_024.fcs",4.5,4500000,56.2,11.84,0.84,0.7,8.22,7.15,21.09,4.09,2.22,35.52,0.48,11.86,"Posterior",2529000,532800,21243.6,17703,180823.5,43796.16,7395.68115,1559.749154535,877.12778439,91.31,2528992.85,56143.64127,12139.16568,19942.221379104
"73","LM_0275","E7bMNW","SCHUNT_PWD","inter subsp. hybrids","E64","E88",8,22.47,20.83,107.8732597,1.19,0,0,0,0,0,0,"",1,0,"E64:E88",NA,NA,"neg",4.14,-9.04,-3.14,-5.23,"9: Anterior LN_75_041.fcs",1.5,1500000,51.48,9.76,11.39,0.51,51.56,7.2,15.57,6.92,6.18,61.95,1.15,65.82,"Anterior",772200,146400,87953.58,3938.22,55598.4,75483.84,3847.40928,599.041624896,2532.364788096,80.9,772192.8,47721.51504,8880.2172,29563.47856728
"74","LM_0275","E7bMNW","SCHUNT_PWD","inter subsp. hybrids","E64","E88",8,22.47,20.83,107.8732597,1.19,0,0,0,0,0,0,"",1,0,"E64:E88",NA,NA,"neg",4.14,-9.04,-3.14,-5.23,"35: Posterior LN_75_016.fcs",1.1,1100000,56.76,16.84,1.72,0.2,10.02,4.62,18.18,8.45,2.83,19.32,0.59,20.11,"Posterior",624360,185240,10738.992,1248.72,28845.432,18561.048,2437.439004,443.1264109272,490.1689837044,93.46,624355.38,17669.257254,3683.696742,3413.7005014728
"75","LM_0276","E7bBGY","STRA_STRA","parental strains","E64","E88",8,31.04,29.59,104.9003042,1,0,0,0,0,0,0,"",1,0,"E64:E88",NA,NA,"neg",-10.61,-9.66,-3.74,-6.19,"10: Anterior LN_76_039.fcs",5.2,5200000,44.21,26.35,3.76,0.15,27.62,9.79,13.27,5.67,7.33,78.42,1.27,49.29,"Anterior",2298920,1370200,86439.392,3448.38,225064.268,378449.24,12761.1439956,1693.40380821612,6289.96787543124,86.3,2298910.21,168510.118393,29196.159667,132145.634843791
"76","LM_0276","E7bBGY","STRA_STRA","parental strains","E64","E88",8,31.04,29.59,104.9003042,1,0,0,0,0,0,0,"",1,0,"E64:E88",NA,NA,"neg",-10.61,-9.66,-3.74,-6.19,"36: Posterior LN_76_014.fcs",14,14000000,46.13,24.2,1.69,0.85,31.03,11.94,20.38,4.95,3.26,37.45,1.08,57.32,"Posterior",6458200,3388000,109143.58,54894.7,771109.08,1051296.4,38169.89946,7779.025509948,21878.986370472,85.52,6458188.06,210536.930756,69748.431048,78846.080568122
"77","LM_0277","E7bCEK","BUSNA_STRA","inter subsp. hybrids","E64","E88",8,23.62,23.88,98.91122278,1.52,0,0,0,0,0,0,"",1,0,"E64:E88",NA,NA,"neg",-10.39,-10.64,-3.945,-6.145,"11: Anterior LN_77_046.fcs",2.4,2400000,69.09,13.48,1.22,0.27,13.46,3.4,11.19,7.68,1.54,13.86,0.8,34.59,"Anterior",1658160,323520,20229.552,4477.032,56377.44,43545.792,4329.787392,484.5032091648,1497.6734588928,95.11,1658156.6,25535.61164,13265.2528,3539.235773304
"78","LM_0277","E7bCEK","BUSNA_STRA","inter subsp. hybrids","E64","E88",8,23.62,23.88,98.91122278,1.52,0,0,0,0,0,0,"",1,0,"E64:E88",NA,NA,"neg",-10.39,-10.64,-3.945,-6.145,"37: Posterior LN_77_021.fcs",2.8,2800000,50.34,10.24,3.09,1.61,17.87,4.78,18.78,4.62,3.43,25.85,0.67,24.09,"Posterior",1409520,286720,43554.168,22693.272,67375.056,51236.864,3112.7275872,584.57024087616,749.85607575648,90.52,1409515.22,48346.372046,9443.751974,12497.537173891
"79","LM_0278","E7bDTU","SCHUNT_PWD","inter subsp. hybrids","E64","E88",8,22.24,20.88,106.51341,1.17,0,0,0,0,0,0,"",1,0,"E64:E88",NA,NA,"neg",-10.99,-9.91,-5.355,-8.825,"38: Posterior LN_78_025.fcs",2.5,2500000,54.71,21.06,0.41,0.51,0.45,4.31,17.2,6.83,2.19,22.67,0.57,6.34,"Posterior",1367750,526500,5607.775,6975.525,58950.025,2369.25,4026.2867075,692.52131369,255.2665772555,94.77,1367745.69,29953.630611,7796.150433,6790.4880595137
"80","LM_0278","E7bDTU","SCHUNT_PWD","inter subsp. hybrids","E64","E88",8,22.24,20.88,106.51341,1.17,0,0,0,0,0,0,"",1,0,"E64:E88",NA,NA,"neg",-10.99,-9.91,-5.355,-8.825,"12: Anterior LN_78_050.fcs",1.7,1700000,39.79,29.95,6.79,0.2,22.77,10.01,10.48,4.37,6.9,64.36,0.64,40.17,"Anterior",676430,509150,45929.597,1352.86,67710.643,115933.455,2958.9550991,310.09849438568,1188.61226330847,83,676419.99,46672.97931,4329.087936,30038.729483916
"81","LM_0279","E7bFPV","BUSNA_BUSNA","parental strains","E64","E64",8,21.27,21.35,99.62529274,1.1,0,2,0,0,0.5,4545.45454545455,"",1,5000,"E64:E64",NA,NA,"neg",-9.18,-12.4775,-12.0475,-8.6525,"13: Anterior LN_79_031.fcs",5,5000000,52.27,15.85,1.43,0.12,12.29,7.37,7.09,4.63,2.28,20.21,0.95,29.09,"Anterior",2613500,792500,37373.05,3136.2,192614.95,97398.25,8918.072185,632.2913179165,2594.2671986165,91.08,2613492.63,59587.631964,24828.179985,12042.6604199244
"82","LM_0279","E7bFPV","BUSNA_BUSNA","parental strains","E64","E64",8,21.27,21.35,99.62529274,1.1,0,2,0,0,0.5,4545.45454545455,"",1,5000,"E64:E64",NA,NA,"neg",-9.18,-12.4775,-12.0475,-8.6525,"39: Posterior LN_79_006.fcs",4.4,4400000,54.16,26.02,0.53,0.42,4.35,4.46,14.17,2.64,1.17,26.29,0.39,19.23,"Posterior",2383040,1144880,12630.112,10008.768,106283.584,49802.28,2805.8866176,397.59413371392,539.57199656448,94.59,2383035.54,27881.515818,9293.838606,7330.0505085522
"83","LM_0280","E7bMRZ","SCHUNT_SCHUNT","parental strains","E64","E64",8,18.5,17.57,105.2931133,1.42,0,0,0,0,0,0,"",1,0,"E64:E64",NA,NA,"pos",-7.12,-10.185,-3.255,-5.19,"40: Posterior LN_80_012.fcs",4.3,4300000,51.48,22.09,1.93,2.93,11.49,13.08,49.93,12.21,7.18,71.89,1.29,66.28,"Posterior",2213640,949870,42723.252,64859.652,289544.112,109140.063,35353.3360752,17651.9207023474,23432.1911506426,82.06,2213626.92,158938.412856,28555.787268,114260.825002178
"84","LM_0280","E7bMRZ","SCHUNT_SCHUNT","parental strains","E64","E64",8,18.5,17.57,105.2931133,1.42,0,0,0,0,0,0,"",1,0,"E64:E64",NA,NA,"pos",-7.12,-10.185,-3.255,-5.19,"14: Anterior LN_80_037.fcs",1.3,1300000,46.8,16.34,6.7,0.77,25.08,6.2,15.93,15.36,5.83,57.12,1.22,40.43,"Anterior",608400,212420,40762.8,4684.68,37720.8,53274.936,5793.91488,922.970640384,2342.479785984,86.33,608393.8,35469.35854,7422.40436,20260.097598048
"85","LM_0282","E7bFRU","STRA_STRA","parental strains","E64","E88",8,35.04,30.09,116.4506481,1.96,0,0,0,0,0,0,"",1,0,"E64:E88",NA,NA,"neg",-12.69,-5.255,-11.83,-5.85,"15: Anterior LN_82_042.fcs",8.5,8500000,51.05,19.4,4.06,0.48,21.27,5.92,14.95,8.92,4.06,54.22,0.75,35.37,"Anterior",4339250,1649000,176173.55,20828.4,256883.6,350742.3,22914.01712,3425.64555944,8104.687855344,89.54,4339244.08,176173.309648,32544.3306,95521.1684911456
"86","LM_0282","E7bFRU","STRA_STRA","parental strains","E64","E88",8,35.04,30.09,116.4506481,1.96,0,0,0,0,0,0,"",1,0,"E64:E88",NA,NA,"neg",-12.69,-5.255,-11.83,-5.85,"41: Posterior LN_82_017.fcs",4.8,4800000,62.61,17.2,0.86,0.36,10.32,2.29,21.6,13.6,2.57,44.53,1.07,21.05,"Posterior",3005280,825600,25845.408,10819.008,68820.912,85201.92,9359.644032,2021.683110912,1970.205068736,96.49,3005277.71,77235.637147,32156.471497,34393.0292215591
"87","LM_0283","E7bLYZ","PWD_PWD","parental strains","E64","E88",8,19.35,19.1,101.3089005,1.49,0,0,0,0,0,0,"",1,0,"E64:E88",NA,NA,"neg",-10.57,-10.3775,-2.8525,-5.16249999999999,"16: Anterior LN_83_043.fcs",2.4,2400000,59.68,16.94,1.67,0.36,5.94,5.95,10.63,5.3,1.84,30.09,0.46,16.97,"Anterior",1432320,406560,23919.744,5156.352,85223.04,24149.664,4516.82112,480.138085056,766.504544064,92.02,1432314.05,26354.57852,6588.64463,7930.092676668
"88","LM_0283","E7bLYZ","PWD_PWD","parental strains","E64","E88",8,19.35,19.1,101.3089005,1.49,0,0,0,0,0,0,"",1,0,"E64:E88",NA,NA,"neg",-10.57,-10.3775,-2.8525,-5.16249999999999,"42: Posterior LN_83_018.fcs",2.6,2600000,48.06,8.85,1.95,0.99,16.54,4.79,23.42,4.67,2.52,26.81,0.47,30.73,"Posterior",1249560,230100,24366.42,12370.644,59853.924,38058.54,2795.1782508,654.63074633736,858.95827647084,92.27,1249555.21,31488.791292,5872.909487,8442.1449453852
"89","LM_0284","E7bLRS","STRA_BUSNA","inter subsp. hybrids","E64","E64",8,23.55,22.39,105.1808843,1.5,0,0,1,0,0.25,1666.66666666667,"",1,2500,"E64:E64",NA,NA,"pos",-6.19,-8.2675,-2.3425,-4.1425,"17: Anterior LN_84_032.fcs",2.6,2600000,50.27,26.11,1.16,0.28,12.72,6.74,8.6,4.96,1.41,23.03,0.48,21.27,"Anterior",1307020,678860,15161.432,3659.656,88093.148,86350.992,4369.4201408,375.7701321088,929.37566394816,91.82,1307013.26,18428.886966,6273.663648,4244.1726682698
"90","LM_0284","E7bLRS","STRA_BUSNA","inter subsp. hybrids","E64","E64",8,23.55,22.39,105.1808843,1.5,0,0,1,0,0.25,1666.66666666667,"",1,2500,"E64:E64",NA,NA,"pos",-6.19,-8.2675,-2.3425,-4.1425,"43: Posterior LN_84_007.fcs",5.8,5800000,50.68,27.74,0.75,0.96,9.43,10.26,20.36,5.58,1.86,29.61,1.07,26.05,"Posterior",2939440,1608920,22045.8,28218.624,301586.544,151721.156,16828.5291552,3426.28853599872,4383.8318449296,88.03,2939429.74,54673.393164,31451.898218,16188.7917158604
"91","LM_0285","E7bBMX","PWD_PWD","parental strains","E64","E64",8,19.66,19.43,101.1837365,1.4,14,13,8,13,12,85714.2857142857,"",1,120000,"E64:E64",NA,NA,"pos",-3.11,-1.455,NA,-5.26499999999999,"18: Anterior LN_85_033.fcs",2.8,2800000,37.16,24.91,3.76,1.11,21.56,9.58,26.85,11.12,14.73,90.05,4.35,65.6,"Anterior",1040480,697480,39122.048,11549.328,99677.984,150376.688,11084.1918208,2976.1055038848,7271.2298344448,85.55,1040470.42,153261.292866,45260.46327,138011.794225833
"92","LM_0285","E7bBMX","PWD_PWD","parental strains","E64","E64",8,19.66,19.43,101.1837365,1.4,14,13,8,13,12,85714.2857142857,"",1,120000,"E64:E64",NA,NA,"pos",-3.11,-1.455,NA,-5.26499999999999,"44: Posterior LN_85_008.fcs",5.8,5800000,53.27,25.66,0.72,1.07,3.68,5.36,25.43,6.24,2.86,52.51,0.61,19.33,"Posterior",3089660,1488280,22245.552,33059.362,165605.776,54768.704,10333.8004224,2627.88544741632,1997.52362164992,92.85,3089654.64,88364.122704,18846.893304,46400.0008318704
