"","labels","AVG","totalOocysts","EH_ID","dpi","weight","weight_dpi0","faeces_weight","wloss","batch","primary","challenge","infHistory","oocyst_1","oocyst_2","oocyst_3","oocyst_4","OPG"
"98","P3bIIT",0,0,"LM_0335",8,45.6,47,1.78,97.0212765957447,"b","E88","UNI","E88:UNI",0,0,0,0,0
"99","P3bINX",0,0,"LM_0336",4,49.9,52.3,2.12,91.9694072657744,"b","E88","E64","E88:E64",0,0,0,0,0
"100","P3bIPY",0,0,"LM_0336",3,48.1,52.3,1.81,95.9847036328872,"b","E88","E64","E88:E64",0,0,0,0,0
"101","P3bJAH",0.25,5000,"LM_0342",4,52.2,55.6,2.74,92.0863309352518,"b","E139","E64","E139:E64",1,0,0,0,1824.81751824818
"102","P3bJRF",74,1480000,"LM_0333",7,45.5,50,1.99,91,"b","Eflab","E64","Eflab:E64",71,67,77,81,743718.592964824
"103","P3bJVY",0,0,"LM_0343",6,54.3,56.5,2.02,96.1061946902655,"b","E139","UNI","E139:UNI",0,0,0,0,0
"104","P3bKMJ",0.25,5000,"LM_0337",8,43.2,44.9,1.43,96.2138084632517,"b","E88","UNI","E88:UNI",1,0,0,0,3496.5034965035
"105","P3bLAV",0,0,"LM_0343",7,54,56.5,2.25,95.5752212389381,"b","E139","UNI","E139:UNI",0,0,0,0,0
"106","P3bLBS",8.75,175000,"LM_0339",6,44.1,48.5,0.88,90.9278350515464,"b","E64","E64","E64:E64",10,11,6,8,198863.636363636
"107","P3bLCA",0,0,"LM_0340",6,51.2,53.6,1.72,95.5223880597015,"b","E64","UNI","E64:UNI",0,0,0,0,0
"108","P3bLFC",56.5,1130000,"LM_0345",6,55.3,59.2,1,93.4121621621621,"b","UNI","E64","UNI:E64",56,64,49,57,1130000
"109","P3bLOR",0,0,"LM_0343",5,54.6,56.5,1.8,97.5221238938053,"b","E139","UNI","E139:UNI",0,0,0,0,0
"110","P3bLSG",0,0,"LM_0347",7,63,69.1,2.57,91.1722141823444,"b","E88","E88","E88:E88",0,0,0,0,0
"111","P3bMUY",33.5,670000,"LM_0333",6,46.3,50,0.97,92.6,"b","Eflab","E64","Eflab:E64",32,34,29,39,690721.649484536
"112","P3bNQG",1,20000,"LM_0341",8,52.5,58.1,0.79,90.3614457831325,"b","E139","E88","E139:E88",0,0,1,3,25316.4556962025
"113","P3bNSX",0,0,"LM_0337",5,44.2,44.9,1.58,96.6592427616927,"b","E88","UNI","E88:UNI",0,0,0,0,0
"114","P3bNYU",6.25,125000,"LM_0336",6,44.4,52.3,0.78,84.8948374760994,"b","E88","E64","E88:E64",8,8,4,5,160256.41025641
"115","P3bOKR",45,9e+05,"LM_0345",5,57.9,59.2,2.02,95.777027027027,"b","UNI","E64","UNI:E64",50,42,41,47,445544.554455446
"116","P3bONI",0,0,"LM_0335",7,46,47,2.44,97.8723404255319,"b","E88","UNI","E88:UNI",0,0,0,0,0
"117","P3bOYV",0,NA,"LM_0334",7,46.2,47.3,1.59,97.6744186046512,"b","Eflab","UNI","Eflab:UNI",0,0,NA,0,NA
"118","P3bPFK",0,0,"LM_0333",4,48.5,50,1.84,98,"b","Eflab","E64","Eflab:E64",0,0,0,0,0
"119","P3bQAP",0.75,15000,"LM_0337",7,43.9,44.9,1.49,97.7728285077951,"b","E88","UNI","E88:UNI",1,1,0,1,10067.1140939597
"120","P3bQIT",0,0,"LM_0334",6,47,47.3,2.25,99.3657505285412,"b","Eflab","UNI","Eflab:UNI",0,0,0,0,0
"121","P3bQOV",0,0,"LM_0340",5,52.3,53.6,1.37,98.5074626865672,"b","E64","UNI","E64:UNI",0,0,0,0,0
"122","P3bQTR",0.25,5000,"LM_0334",5,46.9,47.3,1.6,98.3086680761099,"b","Eflab","UNI","Eflab:UNI",0,0,0,1,3125
"123","P3bRLW",0,0,"LM_0334",8,45.1,47.3,2.15,95.3488372093024,"b","Eflab","UNI","Eflab:UNI",0,0,0,0,0
"124","P3bRMA",0,0,"LM_0335",6,46.3,47,1.51,98.5106382978723,"b","E88","UNI","E88:UNI",0,0,0,0,0
"125","P3bSNM",0,0,"LM_0339",4,46.2,48.5,1.65,95.4639175257732,"b","E64","E64","E64:E64",0,0,0,0,0
"126","P3bTBI",0,0,"LM_0332",8,50.6,51.3,2.4,98.635477582846,"b","Eflab","E88","Eflab:E88",0,0,0,0,0
"127","P3bTMN",0,0,"LM_0333",3,49,50,3.18,97.8,"b","Eflab","E64","Eflab:E64",0,0,0,0,0
"128","P3bUHH",7.5,150000,"LM_0339",7,42,48.5,1.11,86.5979381443299,"b","E64","E64","E64:E64",6,7,7,10,135135.135135135
"129","P3bVEO",0,0,"LM_0339",3,46.3,48.5,1.73,97.7319587628866,"b","E64","E64","E64:E64",0,0,0,0,0
"130","P3bVJA",0,0,"LM_0346",8,49.4,53.2,1.87,92.8571428571429,"b","UNI","UNI","UNI:UNI",0,0,0,0,0
"131","P3bVLZ",0,0,"LM_0346",7,51.2,53.2,1.66,96.2406015037594,"b","UNI","UNI","UNI:UNI",0,0,0,0,0
"132","P3bXFC",2.25,45000,"LM_0342",7,46.5,55.6,1.14,83.6330935251799,"b","E139","E64","E139:E64",3,1,2,3,39473.6842105263
"133","P3bXMO",5.75,115000,"LM_0338",7,49.5,50.2,1.48,98.605577689243,"b","E64","E88","E64:E88",2,4,8,9,77702.7027027027
"134","P3bXXV",0,0,"LM_0345",3,57.9,59.2,3.55,95.4391891891892,"b","UNI","E64","UNI:E64",0,0,0,0,0
"135","P3bXYA",0,0,"LM_0346",6,51.2,53.2,1.08,96.2406015037594,"b","UNI","UNI","UNI:UNI",0,0,0,0,0
"136","P3bYVL",9,180000,"LM_0342",6,48.5,55.6,1.21,87.2302158273381,"b","E139","E64","E139:E64",9,9,11,7,148760.330578512
"137","P3bZBW",23.75,475000,"LM_0342",5,50.1,55.6,1.9,93.8848920863309,"b","E139","E64","E139:E64",16,24,28,27,250000
"138","P3bZGF",0,0,"LM_0335",5,46.4,47,1.49,98.5106382978723,"b","E88","UNI","E88:UNI",0,0,0,0,0
