"labels","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","oocyst_mean","dilution","OPG","Expe"
"FPS","","","","","","","","Expe005_1b"
"CNR","","","","","","","","Expe005_1b"
"NST","","","","","","","","Expe005_1b"
"NXZ","","","","","","","","Expe005_1b"
"KNW","","","","","","","","Expe005_1b"
"ALW","","","","","","","","Expe005_1b"
"LPV","","","","","","","","Expe005_1b"
"AEL","","","","","","","","Expe005_1b"
"TUX","","","","","","","","Expe005_1b"
"MRU","","","","","","","","Expe005_1b"
"BFN","","","","","","","","Expe005_1b"
"FVX","","","","","","","","Expe005_1b"
"ALQ","","","","","","","","Expe005_1b"
"NOV","","","","","","","","Expe005_1b"
"AGH","","","","","","","","Expe005_1b"
"EFW","","","","","","","","Expe005_1b"
"FWY","","","","","","","","Expe005_1b"
"DHK","","","","","","","","Expe005_1b"
"ADP","","","","","","","","Expe005_1b"
"LOU","","","","","","","","Expe005_1b"
"GKL","","","","","","","","Expe005_1b"
"ALT","","","","","","","","Expe005_1b"
"APU","","","","","","","","Expe005_1b"
"BOX","","","","","","","","Expe005_1b"
"DRT","","","","","","","","Expe005_1b"
"CEY","","","","","","","","Expe005_1b"
"EQZ","","","","","","","","Expe005_1b"
"NVW","","","","","","","","Expe005_1b"
"OVW","","","","","","","","Expe005_1b"
"AJX","","","","","","","","Expe005_1b"
"CDZ","","","","","","","","Expe005_1b"
"CEJ","","","","","","","","Expe005_1b"
"LTV","","","","","","","","Expe005_1b"
"JMZ","","","","","","","","Expe005_1b"
"QVW","","","","","","","","Expe005_1b"
"AMW","","","","","","","","Expe005_1b"
"WXZ","","","","","","","","Expe005_1b"
"EFJ","","","","","","","","Expe005_1b"
"MTU","","","","","","","","Expe005_1b"
"FJL","","","","","","","","Expe005_1b"
"EHM","","","","","","","","Expe005_1b"
"MTZ","","","","","","","","Expe005_1b"
"ASY","","","","","","","","Expe005_1b"
"EKY","","","","","","","","Expe005_1b"
"DKM","","","","","","","","Expe005_1b"
"DIK","","","","","","","","Expe005_1b"
"TUW","","","","","","","","Expe005_1b"
"EIJ","","","","","","","","Expe005_1b"
"KQY","","","","","","","","Expe005_1b"
"AMT","","","","","","","","Expe005_1b"
"HMZ","","","","","","","","Expe005_1b"
"GKS","","","","","","","","Expe005_1b"
"DFV","","","","","","","","Expe005_1b"
"BQS","","","","","","","","Expe005_1b"
"KNV","","","","","","","","Expe005_1b"
"BQX","","","","","","","","Expe005_1b"
"UXY","","","","","","","","Expe005_1b"
"BNY","","","","","","","","Expe005_1b"
"BHY","","","","","","","","Expe005_1b"
"DER","","","","","","","","Expe005_1b"
"PUX","","","","","","","","Expe005_1b"
"AJK","","","","","","","","Expe005_1b"
"LPZ","","","","","","","","Expe005_1b"
"BRS","","","","","","","","Expe005_1b"
"CJL","","","","","","","","Expe005_1b"
"IRY","","","","","","","","Expe005_1b"
"DEU","","","","","","","","Expe005_1b"
"DHJ","","","","","","","","Expe005_1b"
"IJK","","","","","","","","Expe005_1b"
"CQR","","","","","","","","Expe005_1b"
"EOT","","","","","","","","Expe005_1b"
"CDV","","","","","","","","Expe005_1b"
"HRY","","","","","","","","Expe005_1b"
"BDQ","","","","","","","","Expe005_1b"
"KLS","","","","","","","","Expe005_1b"
"CJX","","","","","","","","Expe005_1b"
"MVW","","","","","","","","Expe005_1b"
"GRX","","","","","","","","Expe005_1b"
"AIM","","","","","","","","Expe005_1b"
"EKU","","","","","","","","Expe005_1b"
"HLQ","","","","","","","","Expe005_1b"
"BRV","","","","","","","","Expe005_1b"
"FGW","","","","","","","","Expe005_2a"
"FRW","","","","","","","","Expe005_2a"
"IJQ","","","","","","","","Expe005_2a"
"ERW","","","","","","","","Expe005_2a"
"AFW","","","","","","","","Expe005_2a"
"BGK","","","","","","","","Expe005_2a"
"AJW","","","","","","","","Expe005_2a"
"DMN","","","","","","","","Expe005_2a"
"MOY","","","","","","","","Expe005_2a"
"ANT","","","","","","","","Expe005_2a"
"BJN","","","","","","","","Expe005_2a"
"EUW","","","","","","","","Expe005_2a"
"TXZ","","","","","","","","Expe005_2a"
"CSX","","","","","","","","Expe005_2a"
"IVW","","","","","","","","Expe005_2a"
"SUZ","","","","","","","","Expe005_2a"
"ILY","","","","","","","","Expe005_2a"
"JMQ","","","","","","","","Expe005_2a"
"CFJ","","","","","","","","Expe005_2a"
"AHJ","","","","","","","","Expe005_2a"
"ACP","","","","","","","","Expe005_2a"
"JOT","","","","","","","","Expe005_2a"
"FGZ","","","","","","","","Expe005_2a"
"CQW","","","","","","","","Expe005_2a"
"BCK","","","","","","","","Expe005_2a"
"LQW","","","","","","","","Expe005_2a"
"LMX","","","","","","","","Expe005_2a"
"ACN","","","","","","","","Expe005_2a"
"AKT","","","","","","","","Expe005_2a"
"FIM","","","","","","","","Expe005_2a"
"CEN","","","","","","","","Expe005_2a"
"JMP","","","","","","","","Expe005_2a"
"MWY","","","","","","","","Expe005_2a"
"EKT","","","","","","","","Expe005_2a"
"DWX","","","","","","","","Expe005_2a"
"DRV","","","","","","","","Expe005_2a"
"CQX","","","","","","","","Expe005_2a"
"BCL","","","","","","","","Expe005_2a"
"OQR","","","","","","","","Expe005_2a"
"JVX","","","","","","","","Expe005_2a"
"RVW","","","","","","","","Expe005_2a"
"DSX","","","","","","","","Expe005_2a"
"FQV","","","","","","","","Expe005_2a"
"DEK","","","","","","","","Expe005_2a"
"FLQ","","","","","","","","Expe005_2a"
"HOS","","","","","","","","Expe005_2a"
"IMY","","","","","","","","Expe005_2a"
"RSZ","","","","","","","","Expe005_2a"
"ALY","","","","","","","","Expe005_2a"
"BRZ","","","","","","","","Expe005_2a"
"AKO","","","","","","","","Expe005_2a"
"GLM","","","","","","","","Expe005_2a"
"CMW","","","","","","","","Expe005_2a"
"FVY","","","","","","","","Expe005_2a"
"DUZ","","","","","","","","Expe005_2a"
"ADK","","","","","","","","Expe005_2a"
"OWX","","","","","","","","Expe005_2a"
"DEJ","","","","","","","","Expe005_2a"
"ATW","","","","","","","","Expe005_2a"
"GMY","","","","","","","","Expe005_2a"
"GLZ","","","","","","","","Expe005_2a"
"CLV","","","","","","","","Expe005_2a"
"ILO","","","","","","","","Expe005_2a"
"CKN","","","","","","","","Expe005_2a"
"HQZ","","","","","","","","Expe005_2a"
"EWY","","","","","","","","Expe005_2a"
"DKZ","","","","","","","","Expe005_2a"
"HNQ","","","","","","","","Expe005_2a"
"MQV","","","","","","","","Expe005_2a"
"BIX","","","","","","","","Expe005_2a"
"MOW","","","","","","","","Expe005_2a"
"LOY","","","","","","","","Expe005_2a"
"GSZ","","","","","","","","Expe005_2a"
"DXY","","","","","","","","Expe005_2a"
"GRV","","","","","","","","Expe005_2a"
"RWY","","","","","","","","Expe005_2a"
"CHP","","","","","","","","Expe005_2a"
"CGR","","","","","","","","Expe005_2a"
"KTZ","","","","","","","","Expe005_2a"
"CRY","","","","","","","","Expe005_2a"
"NRV","","","","","","","","Expe005_2a"
"GHL","","","","","","","","Expe005_2a"
"SUX","","","","","","","","Expe005_2a"
"DQV","","","","","","","","Expe005_2a"
"ART","","","","","","","","Expe005_2a"
"DOQ","","","","","","","","Expe005_2a"
