,Sample,cell.counting.x106.,cell_counts,ThCD4p,TcCD8p,Th1IFNgp_in_CD4p,Th17IL17Ap_in_CD4p,Tc1IFNgp_in_CD8p,Treg_Foxp3_in_CD4p,Dividing_Ki67p_in_Foxp3p,RORgtp_in_Foxp3p,Th1Tbetp_in_CD4pFoxp3n,Dividing_Ki67p_in_Tbetp,Th17RORgp_in_CD4pFoxp3n,Dividing_Ki67p_in_RORgtp,EH_ID,Position,ThCD4p.cells,TcCD8p.cells,Th1IFNgp_in_CD4p.cells,Th17IL17Ap_in_CD4p.cells,Treg_Foxp3_in_CD4p.cells,Tc1IFNgp_in_CD8p.cells,RORgtp_in_Foxp3p.cells,Dividing_Ki67p_in_Foxp3p.cells,Dividing_Ki67p_in_RORgtp.cells,ThCD4p_Foxp3n,ThCD4p_Foxp3n.cells,Th1Tbetp_in_CD4pFoxp3n.cells,Th17RORgp_in_CD4pFoxp3n.cells,Dividing_Ki67p_in_Tbetp.cells
81,38: Posterior LN_29_015.fcs,5.2,5200000,48.01,12.42,4.06,0.86,23.48,6.61,48.35,14.52,8.53,66.93,1.3,42.22,LM0229,Posterior,2496520,645840,101358.712,21470.072,165019.972,151643.232,23960.8999344,11585.0951182824,10116.2919523037,88.47,2496513.39,212952.592167,32454.67407,142529.169937373
82,39: Posterior LN_31_003.fcs,12.3,12300000,27.35,33.78,4.02,0.26,20.12,46.07,41.47,8.73,6.37,63.87,1.6,47.73,LM0231,Posterior,3364050,4154940,135234.81,8746.53,1549817.835,835973.928,135299.0969955,56108.5355240339,64578.2589959522,49.65,3364003.93,214287.050341,53824.06288,136865.139052797
83,40: Posterior LN_32_016.fcs,2.8,2800000,53.4,18.28,4.17,0.91,26.33,5.06,33.4,11.24,4.56,66.92,2.04,26.45,LM0232,Posterior,1495200,511840,62349.84,13606.32,75657.12,134767.472,8503.860288,2840.289336192,2249.271046176,89.86,1495194.94,68180.889264,30501.976776,45626.6510954688
84,41: Posterior LN_33_017.fcs,13.2,13200000,45.96,26.25,3.17,1.41,17.79,6.23,43.92,24.3,4.34,80.46,0.81,43.02,LM0233,Posterior,6066720,3465000,192315.024,85540.752,377956.656,616423.5,91843.467408,40337.6508855936,39511.0596789216,89.19,6066713.77,263295.377618,49140.381537,211847.460831443
85,42: Posterior LN_34_004.fcs,25,25000000,51.02,7.46,9.29,0.4,46.37,5.34,38.95,22.26,7.82,44.7,1.09,22.55,LM0234,Posterior,12755000,1865000,1184939.5,51020,681117,864800.5,151616.6442,59054.6829159,34189.5532671,84.97,12754994.66,997440.582412,139029.441794,445855.940338164
86,43: Posterior LN_35_005.fcs,13.7,13700000,44.14,12.6,7.69,2.17,25.71,8.44,62.16,17.85,6.98,60.92,0.99,29.14,LM0235,Posterior,6047180,1726200,465028.142,131223.806,510381.992,443806.02,91103.185572,56629.7401515552,26547.4682756808,81.7,6047171.56,422092.574888,59866.998444,257138.79662177
87,44: Posterior LN_36_006.fcs,17.5,17500000,54.41,12.83,1.61,0.54,12.95,7.48,23.21,20.59,1.45,32.84,1.54,13.95,LM0236,Posterior,9521750,2245250,153300.175,51417.45,712226.9,290759.875,146647.51871,34036.889092591,20457.328860045,90.37,9521742.52,138065.26654,146634.834808,45340.633531736
88,45: Posterior LN_38_007.fcs,9,9000000,47.44,19.68,2.3,0.72,7.74,5.79,45.41,27.97,2.65,24.66,0.87,34.44,LM0238,Posterior,4269600,1771200,98200.8,30741.12,247209.84,137090.88,69144.592248,31398.5593398168,23813.3975702112,91.19,4269594.21,113144.246565,37145.469627,27901.371202929
89,46: Posterior LN_39_018.fcs,3.5,3500000,51.28,29.09,4.74,0.87,37.51,10.69,18.11,10.23,2.96,33.66,1.79,22.67,LM0239,Posterior,1794800,1018150,85073.52,15614.76,191864.12,381908.065,19627.699476,3554.5763751036,4449.5994712092,83.7,1794789.31,53125.763576,32126.728649,17882.1320196816
90,47: Posterior LN_40_008.fcs,7.4,7400000,33.8,5.21,4.12,1.02,26.66,6.28,44.41,14.88,2.68,32.59,1.01,36.25,LM0240,Posterior,2501200,385540,103049.44,25512.24,157075.36,102784.964,23372.813568,10379.8665055488,8472.6449184,88.58,2501193.72,67031.991696,25262.056572,21845.7260937264
91,48: Posterior LN_47_019.fcs,2.3,2300000,55.3,21.94,0.41,0.26,6.76,4.96,18.26,17.5,0.83,33.67,0.75,13.06,LM0247,Posterior,1271900,504620,5214.79,3306.94,63086.24,34112.312,11040.092,2015.9207992,1441.8360152,94.37,1271895.04,10556.728832,9539.2128,3554.4505977344
92,49: Posterior LN_48_009.fcs,24.3,24300000,56.11,28.29,1.51,0.53,10.49,5.45,24.93,10.25,1.44,27.99,0.58,19.17,LM0248,Posterior,13634730,6874470,205884.423,72264.069,743092.785,721131.903,76167.0104625,18988.4357083012,14601.2159056612,92.51,13634724.55,196340.03352,79081.40239,54955.575382248
93,50: Posterior LN_49_010.fcs,8.9,8900000,46.36,20.09,2.7,1.75,18.06,15.52,55.31,17,7.67,87.12,2.17,73.12,LM0249,Posterior,4126040,1788010,111403.08,72205.7,640361.408,322914.606,108861.43936,60211.262110016,79599.484460032,80.03,4126024.48,316466.077616,89534.731216,275705.246819059
94,51: Posterior LN_51_020.fcs,2.3,2300000,58.8,19.95,3.76,0.84,24.6,5.19,51.35,23.41,7.99,52.81,2.81,27.39,LM0251,Posterior,1352400,458850,50850.24,11360.16,70189.56,112877.1,16431.375996,8437.511573946,4500.5538853044,90.21,1352394.81,108056.345319,38002.294161,57064.5559629639
95,52: Posterior LN_54_021.fcs,1.5,1500000,51.64,11.9,3.61,0.43,20.16,4.61,30.46,13.21,3.52,17.8,2.33,12.88,LM0254,Posterior,774600,178500,27963.06,3330.78,35709.06,35985.6,4717.166826,1436.8490151996,607.5710871888,91.35,774595.39,27265.757728,18048.072587,4853.304875584
96,53: Posterior LN_55_011.fcs,15,15000000,56.83,31.19,0.91,0.53,10.22,8.21,18.63,7.25,0.89,25.43,0.59,30.52,LM0255,Posterior,8524500,4678500,77572.95,45179.85,699861.45,478142.7,50739.955125,9452.8536397875,15485.83430415,90.35,8524491.79,75867.976931,50294.501561,19293.2265335533
97,54: Posterior LN_56_022.fcs,11.1,11100000,43.49,23.02,1.93,0.63,5.32,8.57,48.12,12.54,5.4,69.2,0.75,36.09,LM0256,Posterior,4827390,2555220,93168.627,30412.557,413707.323,135937.704,51878.8983042,24964.125863981,18723.0943979858,88.87,4827381.43,260678.59722,36205.360725,180389.58927624
98,55: Posterior LN_57_012.fcs,5.3,5300000,46.5,29,1.18,1.04,10.29,8.98,36.55,7.26,2.43,78.79,0.54,53.99,LM0257,Posterior,2464500,1537000,29081.1,25630.8,221312.1,158157.3,16067.25846,5872.58296713,8674.712842554,88.8,2464491.02,59887.131786,13308.251508,47185.0711341894
99,56: Posterior LN_58_013.fcs,6.4,6400000,60.04,31.51,0.36,0.23,5.87,5.94,16.02,6.35,0.77,29.6,0.59,22.11,LM0258,Posterior,3842560,2016640,13833.216,8837.888,228248.064,118376.768,14493.752064,2321.8990806528,3204.5685813504,93.47,3842554.06,29587.666262,22671.068954,8757.949213552
100,57: Posterior LN_59_014.fcs,10.1,10100000,51.64,34.33,2.06,1.98,10.68,10.91,46.77,10.84,6.58,84.69,1.62,67.81,LM0259,Posterior,5215640,3467330,107442.184,103269.672,569026.324,370310.844,61682.4535216,28848.8835120523,41826.871732997,85.05,5215629.09,343188.394122,84493.191258,290646.250981922
101,58: Posterior LN_61_023.fcs,1.1,1100000,59.54,32.65,0.38,0.18,3.78,4.31,12.96,5.84,0.8,28.42,0.62,18.89,LM0261,Posterior,654940,359150,2488.772,1178.892,28227.914,13575.87,1648.5101776,213.64691901696,311.40357254864,95.13,654935.69,5239.48552,4060.601278,1489.061784784
102,59: Posterior LN_64_024.fcs,2.1,2100000,65.83,15.33,1.53,0.16,8.75,3.81,25.74,21.03,1.74,13.66,1.34,13.33,LM0264,Posterior,1382430,321930,21151.179,2211.888,52670.583,28168.875,11076.6236049,2851.12291590126,1476.51392653317,94.5,1382426.19,24054.215706,18524.510946,3285.8058654396
103,60: Posterior LN_66_025.fcs,4.4,4400000,45.3,27.5,4.11,1.67,19.54,10.79,46.9,7.9,6.14,74.45,0.84,35.54,LM0266,Posterior,1993200,1210000,81920.52,33286.44,215066.28,236434,16990.23612,7968.42074028,6038.329917048,83.43,1993189.21,122381.817494,16742.789364,91113.263124283
104,61: Posterior LN_68_026.fcs,2,2000000,53.33,26.89,0.74,0.55,10.12,7.58,17.98,10.01,0.97,25.14,0.99,22.25,LM0268,Posterior,1066600,537800,7892.84,5866.3,80848.28,54425.36,8092.912828,1455.1057264744,1800.67310423,91.13,1066592.42,10345.946474,10559.264958,2600.9709435636
105,62: Posterior LN_71_027.fcs,1.5,1500000,48.1,26.29,2.73,0.62,15.48,10.24,38.51,6.57,4.4,68.17,0.48,43.87,LM0271,Posterior,721500,394350,19696.95,4473.3,73881.6,61045.38,4854.02112,1869.283533312,2129.459065344,86.41,721489.76,31745.54944,3463.150848,21640.941053248
