"Well","Fluor","Target","Content","Sample","Cq.Mean","Set.Point"
"H09","SYBR","Ppib","Pos Ctrl","LM0084",16.8145619827285,60
"H10","SYBR","CDC42","Pos Ctrl","LM0084",23.2938838075961,60
"A01","SYBR","CXCL9","Cecum","LM0075",30.8521909840333,60
"A03","SYBR","IL-12","Cecum","LM0075",32.0796859007835,60
"A04","SYBR","IL-6","Cecum","LM0075",27.0199571776306,60
"A05","SYBR","IFN-g","Cecum","LM0075",29.0645492025592,60
"A06","SYBR","STAT6","Cecum","LM0075",23.1646173485736,60
"A07","SYBR","TGF-b","Cecum","LM0075",28.518567162233,60
"A08","SYBR","Ppia","Pos Ctrl","LM0075",18.3178897774861,60
"A09","SYBR","Ppib","Pos Ctrl","LM0075",21.8000278423907,60
"A10","SYBR","CDC42","Pos Ctrl","LM0075",23.2548106972078,60
"B01","SYBR","CXCL9","Cecum","LM0075",30.6551402989194,60
"B02","SYBR","IL-10","Cecum","LM0075",38.3884765925825,60
"B03","SYBR","IL-12","Cecum","LM0075",32.3935787886509,60
"B04","SYBR","IL-6","Cecum","LM0075",27.302948340587,60
"B05","SYBR","IFN-g","Cecum","LM0075",28.2390825302479,60
"B06","SYBR","STAT6","Cecum","LM0075",23.9260169427001,60
"B07","SYBR","TGF-b","Cecum","LM0075",26.9364771220921,60
"B08","SYBR","Ppia","Pos Ctrl","LM0075",18.1618688913556,60
"B09","SYBR","Ppib","Pos Ctrl","LM0075",22.8613905900976,60
"B10","SYBR","CDC42","Pos Ctrl","LM0075",22.7260307428203,60
"C03","SYBR","IL-12","Cecum","LM0077",36.119006985664,60
"C04","SYBR","IL-6","Cecum","LM0077",33.1999784427954,60
"C05","SYBR","IFN-g","Cecum","LM0077",34.9106230789372,60
"C06","SYBR","STAT6","Cecum","LM0077",32.4559573497548,60
"C07","SYBR","TGF-b","Cecum","LM0077",31.8376033160434,60
"C08","SYBR","Ppia","Pos Ctrl","LM0077",22.6599588717131,60
"C09","SYBR","Ppib","Pos Ctrl","LM0077",23.5051828593601,60
"C10","SYBR","CDC42","Pos Ctrl","LM0077",27.9636861369013,60
"D01","SYBR","CXCL9","Cecum","LM0077",29.4941312446186,60
"D02","SYBR","IL-10","Cecum","LM0077",36.3558357455666,60
"D03","SYBR","IL-12","Cecum","LM0077",36.1613540554685,60
"D04","SYBR","IL-6","Cecum","LM0077",33.0900717879515,60
"D05","SYBR","IFN-g","Cecum","LM0077",37.3829458524406,60
"D06","SYBR","STAT6","Cecum","LM0077",33.2693290458701,60
"D07","SYBR","TGF-b","Cecum","LM0077",34.4656904135422,60
"D08","SYBR","Ppia","Pos Ctrl","LM0077",23.2686366711705,60
"D09","SYBR","Ppib","Pos Ctrl","LM0077",23.4622418847303,60
"D10","SYBR","CDC42","Pos Ctrl","LM0077",27.8102146330559,60
"E01","SYBR","CXCL9","Cecum","LM0079",22.2550178645625,60
"E02","SYBR","IL-10","Cecum","LM0079",29.472070454784,60
"E03","SYBR","IL-12","Cecum","LM0079",29.7915175059925,60
"E04","SYBR","IL-6","Cecum","LM0079",25.7121105646837,60
"E05","SYBR","IFN-g","Cecum","LM0079",24.6022571959284,60
"E06","SYBR","STAT6","Cecum","LM0079",24.1458432541259,60
"E07","SYBR","TGF-b","Cecum","LM0079",22.5977388950586,60
"E08","SYBR","Ppia","Pos Ctrl","LM0079",14.9197855105944,60
"E09","SYBR","Ppib","Pos Ctrl","LM0079",16.5312533591677,60
