EH_ID,dpi,weight,weight_dpi0,faeces_weight,wloss,labels
LM_0333,3,51.7,52.7,NA,98.1024667931689,HEM
LM_0334,3,48.6,50.7,NA,95.8579881656805,WMH
LM_0335,3,48.5,49.4,NA,98.1781376518219,SMP
LM_0336,3,50.5,51.9,NA,97.3025048169557,VAC
LM_0337,3,44.4,44.7,NA,99.3288590604027,KIB
LM_0338,3,50.4,51.3,2.4,98.2456140350877,UWS
LM_0339,3,48.5,49.6,2.62,97.7822580645161,HIX
LM_0340,3,52.7,54.5,1.16,96.697247706422,UZT
LM_0341,3,54,59.1,0.85,91.3705583756345,OML
LM_0342,3,56.3,57,1.8,98.7719298245614,XYE
LM_0343,3,57.3,59.8,1.06,95.819397993311,KPZ
LM_0344,3,51.6,51.4,NA,100.389105058366,ZTL
LM_0345,3,58.5,60.7,NA,96.3756177924217,FKH
LM_0346,3,53.5,53.9,NA,99.2578849721707,RWU
LM_0347,3,68.3,71.5,NA,95.5244755244755,ULZ
LM_0332,4,59.2,61.2,NA,96.7320261437908,YTT
LM_0333,4,52.4,52.7,NA,99.4307400379507,IFD
LM_0334,4,49,50.7,NA,96.6469428007889,KYE
LM_0335,4,47.7,49.4,NA,96.5587044534413,CNS
LM_0336,4,51,51.9,NA,98.2658959537572,BOM
LM_0337,4,44.8,44.7,NA,100.223713646532,BUF
LM_0338,4,49.6,51.3,2.17,96.6861598440546,OMQ
LM_0339,4,47,49.6,3.03,94.758064516129,QBP
LM_0340,4,50.2,54.5,2.56,92.1100917431193,TVC
LM_0341,4,53.7,59.1,1.68,90.8629441624366,SVZ
LM_0342,4,55.6,57,2.5,97.5438596491228,MVU
LM_0343,4,56.2,59.8,2.77,93.9799331103679,DTY
