"","EH_ID","Strain","HybridStatus","primary","challenge","labels","dpi","weight","weight_dpi0","Wchange","fecweight","oocyst_1","oocyst_2","oocyst_3","oocyst_4","average","OPG","comment","volume_PBS_mL","totalOocysts","infHistory"
"140","LM_0251","STRA_BUSNA","inter subsp. hybrids","E88","E88","E7aDOT",2,21.89,23.16,94.52,1.18,0,0,0,0,0,0,NA,1,0,"E88:E88"
"141","LM_0251","STRA_BUSNA","inter subsp. hybrids","E88","E88","E7aGSZ",0,23.16,23.16,100,0.69,0,0,0,0,0,0,NA,1,0,"E88:E88"
"142","LM_0251","STRA_BUSNA","inter subsp. hybrids","E88","E88","E7aKNZ",1,21.85,23.16,94.34,0.93,0,0,0,0,0,0,NA,1,0,"E88:E88"
"143","LM_0251","STRA_BUSNA","inter subsp. hybrids","E88","E88","E7aLNT",6,23.09,23.16,99.7,1.06,0,0,0,0,0,0,NA,1,0,"E88:E88"
"144","LM_0251","STRA_BUSNA","inter subsp. hybrids","E88","E88","E7aADV",5,23.42,23.16,101.12,1.34,0,0,0,0,0,0,NA,1,0,"E88:E88"
"145","LM_0254","SCHUNT_PWD","inter subsp. hybrids","E88","E88","E7aIUV",1,22.54,22.32,100.99,2.5,0,0,0,0,0,0,NA,1,0,"E88:E88"
"146","LM_0254","SCHUNT_PWD","inter subsp. hybrids","E88","E88","E7aDMP",4,22.36,22.32,100.18,3.93,0,0,0,0,0,0,NA,1,0,"E88:E88"
"147","LM_0254","SCHUNT_PWD","inter subsp. hybrids","E88","E88","E7aBCD",8,21.04,22.32,94.27,3.97,0,0,0,0,0,0,NA,1,0,"E88:E88"
"148","LM_0254","SCHUNT_PWD","inter subsp. hybrids","E88","E88","E7aLRS",7,22.75,22.32,101.93,1.71,0,0,0,0,0,0,NA,1,0,"E88:E88"
"149","LM_0254","SCHUNT_PWD","inter subsp. hybrids","E88","E88","E7aCHI",3,22.35,22.32,100.13,2.15,0,0,0,0,0,0,NA,1,0,"E88:E88"
"150","LM_0254","SCHUNT_PWD","inter subsp. hybrids","E88","E88","E7aBQR",2,22.48,22.32,100.72,2.33,0,0,0,0,0,0,NA,1,0,"E88:E88"
"151","LM_0254","SCHUNT_PWD","inter subsp. hybrids","E88","E88","E7aBCP",0,22.32,22.32,100,3.26,0,0,0,0,0,0,NA,1,0,"E88:E88"
"152","LM_0254","SCHUNT_PWD","inter subsp. hybrids","E88","E88","E7aJRW",5,22.55,22.32,101.03,2.61,0,0,0,0,0,0,NA,1,0,"E88:E88"
"153","LM_0254","SCHUNT_PWD","inter subsp. hybrids","E88","E88","E7aDVW",6,22.26,22.32,99.73,2.39,0,0,0,0,0,0,NA,1,0,"E88:E88"
