"","challenge","CXCR3","delta","dpi","EH_ID","Eim_MC","faeces_weight","IFNy_CEWE","IFNy_FEC","IL.12","infHistory","IRG6","labels","OPG","primary","weight","weight_dpi0","Wchange","HybridStatus","Strain","EXP"
"341","E64",-11.615,-11.9,8,"LM_0260","neg",3.14,NA,NA,-6.305,"E64:E64",-3.91,"E7bGHV",0,NA,27.06,29.02,93.24603722,"parental strains","SCHUNT_SCHUNT","E7"
"342","E64",NA,NA,4,"LM_0260",NA,1.03,NA,NA,NA,"E64:E64",NA,"E7bGIT",0,NA,28.15,29.02,97.00206754,"parental strains","SCHUNT_SCHUNT","E7"
"343","E64",NA,NA,3,"LM_0260",NA,1.61,NA,NA,NA,"E64:E64",NA,"E7bITX",0,NA,29.36,29.02,101.1716058,"parental strains","SCHUNT_SCHUNT","E7"
"344","E64",NA,NA,5,"LM_0260",NA,2.65,NA,NA,NA,"E64:E64",NA,"E7bJKZ",109433.962264151,NA,28.75,29.02,99.06960717,"parental strains","SCHUNT_SCHUNT","E7"
"345","E64",NA,NA,7,"LM_0260",NA,2.37,NA,NA,NA,"E64:E64",NA,"E7bNTU",0,NA,27.42,29.02,94.48656099,"parental strains","SCHUNT_SCHUNT","E7"
"346","E64",NA,NA,1,"LM_0260",NA,1.82,NA,NA,NA,"E64:E64",NA,"E7bRSU",0,NA,29.82,29.02,102.7567195,"parental strains","SCHUNT_SCHUNT","E7"
"347","E64",NA,NA,2,"LM_0260",NA,1.27,NA,NA,NA,"E64:E64",NA,"E7bRTX",0,NA,29.31,29.02,100.9993108,"parental strains","SCHUNT_SCHUNT","E7"
"348","E88",NA,NA,4,"LM_0261",NA,2.52,NA,NA,NA,"E64:E88",NA,"E7aCFZ",0,NA,19.01,20.09,94.62,"inter subsp. hybrids","PWD_SCHUNT","E7"
"349","E88",NA,NA,1,"LM_0261",NA,1.16,NA,NA,NA,"E64:E88",NA,"E7aCLZ",0,NA,19.81,20.09,98.61,"inter subsp. hybrids","PWD_SCHUNT","E7"
"350","E88",NA,NA,5,"LM_0261",NA,1.09,NA,NA,NA,"E64:E88",NA,"E7aCNO",0,NA,19.34,20.09,96.27,"inter subsp. hybrids","PWD_SCHUNT","E7"
"351","E88",NA,NA,0,"LM_0261",NA,0.77,NA,NA,NA,"E64:E88",NA,"E7aDLN",0,NA,20.09,20.09,100,"inter subsp. hybrids","PWD_SCHUNT","E7"
"352","E88",NA,NA,2,"LM_0261",NA,0.95,NA,NA,NA,"E64:E88",NA,"E7aDMN",0,NA,19.79,20.09,98.51,"inter subsp. hybrids","PWD_SCHUNT","E7"
"353","E88",NA,NA,3,"LM_0261",NA,1.25,NA,NA,NA,"E64:E88",NA,"E7aDTW",0,NA,19.56,20.09,97.36,"inter subsp. hybrids","PWD_SCHUNT","E7"
"354","E88",NA,NA,6,"LM_0261",NA,1.51,NA,4.14279342673129,NA,"E64:E88",NA,"E7aFGZ",0,NA,19.57,20.09,97.41,"inter subsp. hybrids","PWD_SCHUNT","E7"
"355","E88",-10.8875,-5.9,8,"LM_0261","neg",1.36,215.5,0,-9.9775,"E64:E88",-6.3575,"E7aKOP",0,NA,18.69,20.09,93.03,"inter subsp. hybrids","PWD_SCHUNT","E7"
"356","E88",NA,NA,7,"LM_0261",NA,1.21,NA,18.3441065792273,NA,"E64:E88",NA,"E7aPRZ",0,NA,19.74,20.09,98.26,"inter subsp. hybrids","PWD_SCHUNT","E7"
"357","E64",-12.8075,-10.06,8,"LM_0262","neg",1.42,NA,NA,-7.7025,"E64:E64",-5.5025,"E7bABO",1760.56338028169,NA,22.95,21.13,108.613346,"parental strains","BUSNA_BUSNA","E7"
"358","E64",NA,NA,5,"LM_0262",NA,1.72,NA,NA,NA,"E64:E64",NA,"E7bAMV",58139.5348837209,NA,21.94,21.13,103.8334122,"parental strains","BUSNA_BUSNA","E7"
"359","E64",NA,NA,4,"LM_0262",NA,1.04,NA,NA,NA,"E64:E64",NA,"E7bBKV",0,NA,22.96,21.13,108.660672,"parental strains","BUSNA_BUSNA","E7"
"360","E64",NA,NA,2,"LM_0262",NA,1.65,NA,NA,NA,"E64:E64",NA,"E7bCFV",0,NA,21.95,21.13,103.8807383,"parental strains","BUSNA_BUSNA","E7"
"361","E64",NA,NA,7,"LM_0262",NA,1.58,NA,NA,NA,"E64:E64",NA,"E7bFHK",6329.11392405063,NA,22.27,21.13,105.3951727,"parental strains","BUSNA_BUSNA","E7"
"362","E64",NA,NA,1,"LM_0262",NA,1.38,NA,NA,NA,"E64:E64",NA,"E7bHKS",0,NA,21.53,21.13,101.8930431,"parental strains","BUSNA_BUSNA","E7"
"363","E64",NA,NA,0,"LM_0262",NA,1.08,NA,NA,NA,"E64:E64",NA,"E7bHQZ",0,NA,21.13,21.13,100,"parental strains","BUSNA_BUSNA","E7"
"364","E64",NA,NA,3,"LM_0262",NA,0.94,NA,NA,NA,"E64:E64",NA,"E7bNRV",0,NA,22.13,21.13,104.7326077,"parental strains","BUSNA_BUSNA","E7"
"365","E64",NA,NA,6,"LM_0262",NA,1.79,NA,NA,NA,"E64:E64",NA,"E7bNSX",57262.5698324022,NA,20.91,21.13,98.95882631,"parental strains","BUSNA_BUSNA","E7"
"366","E64",NA,NA,1,"LM_0263",NA,2.22,NA,NA,NA,"E64:E64",NA,"E7bAKS",0,NA,21.82,21.25,102.6823529,"inter subsp. hybrids","PWD_SCHUNT","E7"
"367","E64",NA,NA,4,"LM_0263",NA,0.98,NA,NA,NA,"E64:E64",NA,"E7bBIJ",0,NA,22.37,21.25,105.2705882,"inter subsp. hybrids","PWD_SCHUNT","E7"
"368","E64",NA,NA,5,"LM_0263",NA,1.66,NA,NA,NA,"E64:E64",NA,"E7bCHM",191265.060240964,NA,22.05,21.25,103.7647059,"inter subsp. hybrids","PWD_SCHUNT","E7"
"369","E64",NA,NA,2,"LM_0263",NA,1.67,NA,NA,NA,"E64:E64",NA,"E7bDHI",0,NA,22.28,21.25,104.8470588,"inter subsp. hybrids","PWD_SCHUNT","E7"
"370","E64",NA,NA,6,"LM_0263",NA,1.82,NA,NA,NA,"E64:E64",NA,"E7bJRZ",177197.802197802,NA,20.33,21.25,95.67058824,"inter subsp. hybrids","PWD_SCHUNT","E7"
"371","E64",-4.88,-8.38,8,"LM_0263","pos",1.56,NA,NA,-6.165,"E64:E64",-12.735,"E7bLMZ",32051.2820512821,NA,21.26,21.25,100.0470588,"inter subsp. hybrids","PWD_SCHUNT","E7"
"372","E64",NA,NA,0,"LM_0263",NA,1.45,NA,NA,NA,"E64:E64",NA,"E7bLNO",0,NA,21.25,21.25,100,"inter subsp. hybrids","PWD_SCHUNT","E7"
"373","E64",NA,NA,7,"LM_0263",NA,1.27,NA,NA,NA,"E64:E64",NA,"E7bNPW",49212.5984251968,NA,22.03,21.25,103.6705882,"inter subsp. hybrids","PWD_SCHUNT","E7"
"374","E64",NA,NA,3,"LM_0263",NA,1.48,NA,NA,NA,"E64:E64",NA,"E7bQRT",0,NA,21.82,21.25,102.6823529,"inter subsp. hybrids","PWD_SCHUNT","E7"
"375","E88",-7.4725,-10.02,8,"LM_0264","neg",1.01,120.166666666667,15.6812526580593,-4.9125,"E64:E88",-1.0475,"E7aADL",0,NA,17.81,17.88,99.61,"parental strains","PWD_PWD","E7"
"376","E88",NA,NA,1,"LM_0264",NA,0.82,NA,NA,NA,"E64:E88",NA,"E7aAJT",0,NA,18.3,17.88,102.35,"parental strains","PWD_PWD","E7"
"377","E88",NA,NA,6,"LM_0264",NA,0.95,NA,NA,NA,"E64:E88",NA,"E7aBEV",0,NA,18.08,17.88,101.12,"parental strains","PWD_PWD","E7"
"378","E88",NA,NA,7,"LM_0264",NA,1.08,NA,6.22517272521993,NA,"E64:E88",NA,"E7aBQY",0,NA,18.4,17.88,102.91,"parental strains","PWD_PWD","E7"
"379","E88",NA,NA,5,"LM_0264",NA,1.05,NA,NA,NA,"E64:E88",NA,"E7aDIJ",0,NA,17.65,17.88,98.71,"parental strains","PWD_PWD","E7"
"380","E88",NA,NA,0,"LM_0264",NA,0.66,NA,NA,NA,"E64:E88",NA,"E7aELV",0,NA,17.88,17.88,100,"parental strains","PWD_PWD","E7"
"381","E88",NA,NA,3,"LM_0264",NA,0.89,NA,NA,NA,"E64:E88",NA,"E7aENV",0,NA,18.27,17.88,102.18,"parental strains","PWD_PWD","E7"
"382","E88",NA,NA,4,"LM_0264",NA,1.06,NA,NA,NA,"E64:E88",NA,"E7aIJR",0,NA,18.55,17.88,103.75,"parental strains","PWD_PWD","E7"
"383","E88",NA,NA,2,"LM_0264",NA,1.05,NA,NA,NA,"E64:E88",NA,"E7aOQT",0,NA,18.31,17.88,102.4,"parental strains","PWD_PWD","E7"
"384","E64",NA,NA,5,"LM_0265",NA,2.51,NA,NA,NA,"E64:E64",NA,"E7bAFP",209163.346613546,NA,25.3,26.43,95.72455543,"inter subsp. hybrids","BUSNA_STRA","E7"
"385","E64",NA,NA,6,"LM_0265",NA,2.06,NA,NA,NA,"E64:E64",NA,"E7bAHU",65533.9805825243,NA,23.73,26.43,89.78433598,"inter subsp. hybrids","BUSNA_STRA","E7"
"386","E64",NA,NA,2,"LM_0265",NA,2.54,NA,NA,NA,"E64:E64",NA,"E7bBKY",0,NA,26.3,26.43,99.5081347,"inter subsp. hybrids","BUSNA_STRA","E7"
"387","E64",NA,NA,0,"LM_0265",NA,1.39,NA,NA,NA,"E64:E64",NA,"E7bDKM",0,NA,26.43,26.43,100,"inter subsp. hybrids","BUSNA_STRA","E7"
"388","E64",NA,NA,3,"LM_0265",NA,1.47,NA,NA,NA,"E64:E64",NA,"E7bEIS",0,NA,26.41,26.43,99.92432841,"inter subsp. hybrids","BUSNA_STRA","E7"
"389","E64",NA,NA,4,"LM_0265",NA,1.09,NA,NA,NA,"E64:E64",NA,"E7bFGW",0,NA,25.91,26.43,98.03253878,"inter subsp. hybrids","BUSNA_STRA","E7"
"390","E64",NA,NA,7,"LM_0265",NA,1.35,NA,NA,NA,"E64:E64",NA,"E7bGSV",20370.3703703704,NA,25.95,26.43,98.18388195,"inter subsp. hybrids","BUSNA_STRA","E7"
"391","E64",-5.5275,-11.42,8,"LM_0265","neg",2.45,NA,NA,-6.5675,"E64:E64",-15.3325,"E7bIMQ",1020.40816326531,NA,26.37,26.43,99.77298524,"inter subsp. hybrids","BUSNA_STRA","E7"
"392","E64",-5.5275,-11.42,8,"LM_0265","neg",2.45,NA,NA,-6.5675,"E64:E64",-15.3325,"E7bIMQ",1020.40816326531,NA,26.37,26.43,99.77298524,"inter subsp. hybrids","BUSNA_STRA","E7"
"393","E64",NA,NA,1,"LM_0265",NA,2.34,NA,NA,NA,"E64:E64",NA,"E7bPQY",0,NA,26.11,26.43,98.78925463,"inter subsp. hybrids","BUSNA_STRA","E7"
"394","E88",NA,NA,7,"LM_0266",NA,2.17,NA,3.00032865371102,NA,"E64:E88",NA,"E7aCOW",0,NA,20.44,23.94,85.38,"outbred hybrids","SCHUNT_STRA","E7"
"395","E88",NA,NA,0,"LM_0266",NA,1.67,NA,NA,NA,"E64:E88",NA,"E7aDJP",0,NA,23.94,23.94,100,"outbred hybrids","SCHUNT_STRA","E7"
"396","E88",NA,NA,5,"LM_0266",NA,2.18,NA,NA,NA,"E64:E88",NA,"E7aDKO",0,NA,21.39,23.94,89.35,"outbred hybrids","SCHUNT_STRA","E7"
"397","E88",NA,NA,4,"LM_0266",NA,1.36,NA,12.9789381224738,NA,"E64:E88",NA,"E7aFLN",0,NA,21.47,23.94,89.68,"outbred hybrids","SCHUNT_STRA","E7"
"398","E88",NA,NA,6,"LM_0266",NA,2.12,NA,NA,NA,"E64:E88",NA,"E7aFLY",0,NA,20.36,23.94,85.05,"outbred hybrids","SCHUNT_STRA","E7"
"399","E88",NA,NA,3,"LM_0266",NA,0.96,NA,NA,NA,"E64:E88",NA,"E7aGRV",0,NA,22.57,23.94,94.28,"outbred hybrids","SCHUNT_STRA","E7"
"400","E88",-8.0425,-8.25,8,"LM_0266","neg",2.79,31.8333333333333,9.65487230528789,-4.0675,"E64:E88",0.862500000000001,"E7aIOS",0,NA,19.59,23.94,81.83,"outbred hybrids","SCHUNT_STRA","E7"
"401","E88",NA,NA,1,"LM_0266",NA,1.28,NA,NA,NA,"E64:E88",NA,"E7aJTV",0,NA,22.67,23.94,94.7,"outbred hybrids","SCHUNT_STRA","E7"
"402","E88",NA,NA,2,"LM_0266",NA,1.18,NA,NA,NA,"E64:E88",NA,"E7aJUV",0,NA,23.01,23.94,96.12,"outbred hybrids","SCHUNT_STRA","E7"
"403","E88",NA,NA,3,"LM_0268",NA,1.27,NA,NA,NA,"E64:E88",NA,"E7aAWZ",0,NA,19.66,20.84,94.34,"parental strains","SCHUNT_SCHUNT","E7"
"404","E88",NA,NA,7,"LM_0268",NA,1.58,NA,2.08448327372888,NA,"E64:E88",NA,"E7aAYZ",0,NA,19.2,20.84,92.13,"parental strains","SCHUNT_SCHUNT","E7"
"405","E88",NA,NA,1,"LM_0268",NA,1.96,NA,NA,NA,"E64:E88",NA,"E7aCPW",0,NA,19.76,20.84,94.82,"parental strains","SCHUNT_SCHUNT","E7"
"406","E88",NA,NA,4,"LM_0268",NA,2.21,NA,NA,NA,"E64:E88",NA,"E7aDGZ",0,NA,19.79,20.84,94.96,"parental strains","SCHUNT_SCHUNT","E7"
"407","E88",NA,NA,2,"LM_0268",NA,1.14,NA,NA,NA,"E64:E88",NA,"E7aEIU",0,NA,19.69,20.84,94.48,"parental strains","SCHUNT_SCHUNT","E7"
"408","E88",NA,NA,5,"LM_0268",NA,2.5,NA,NA,NA,"E64:E88",NA,"E7aERS",0,NA,19.55,20.84,93.81,"parental strains","SCHUNT_SCHUNT","E7"
"409","E88",NA,NA,6,"LM_0268",NA,1.53,NA,0,NA,"E64:E88",NA,"E7aGHV",0,NA,18.85,20.84,90.45,"parental strains","SCHUNT_SCHUNT","E7"
"410","E88",-16.435,-8.15,8,"LM_0268","neg",2.11,210,4.78446213666117,-12.48,"E64:E88",-8.365,"E7aGSW",0,NA,19.11,20.84,91.7,"parental strains","SCHUNT_SCHUNT","E7"
"411","E88",NA,NA,0,"LM_0268",NA,2.33,NA,NA,NA,"E64:E88",NA,"E7aKWX",0,NA,20.84,20.84,100,"parental strains","SCHUNT_SCHUNT","E7"
"412","E64",NA,NA,6,"LM_0269",NA,1.31,NA,NA,NA,"E64:E64",NA,"E7bAQY",11450.3816793893,NA,19.71,21.6,91.25,"outbred hybrids","STRA_SCHUNT","E7"
"413","E64",NA,NA,0,"LM_0269",NA,1,NA,NA,NA,"E64:E64",NA,"E7bBIW",0,NA,21.6,21.6,100,"outbred hybrids","STRA_SCHUNT","E7"
"414","E64",NA,NA,2,"LM_0269",NA,1.61,NA,NA,NA,"E64:E64",NA,"E7bEIV",0,NA,21.65,21.6,100.2314815,"outbred hybrids","STRA_SCHUNT","E7"
"415","E64",NA,NA,5,"LM_0269",NA,1.9,NA,NA,NA,"E64:E64",NA,"E7bGPR",25000,NA,21.34,21.6,98.7962963,"outbred hybrids","STRA_SCHUNT","E7"
"416","E64",NA,NA,1,"LM_0269",NA,1.05,NA,NA,NA,"E64:E64",NA,"E7bHJW",0,NA,22.21,21.6,102.8240741,"outbred hybrids","STRA_SCHUNT","E7"
"417","E64",NA,NA,7,"LM_0269",NA,1.78,NA,NA,NA,"E64:E64",NA,"E7bIQW",7022.47191011236,NA,20.85,21.6,96.52777778,"outbred hybrids","STRA_SCHUNT","E7"
"418","E64",-6.3075,-7.91,8,"LM_0269","pos",1.22,NA,NA,-3.8175,"E64:E64",-13.0275,"E7bLOT",0,NA,21.19,21.6,98.10185185,"outbred hybrids","STRA_SCHUNT","E7"
"419","E64",NA,NA,3,"LM_0269",NA,1.31,NA,NA,NA,"E64:E64",NA,"E7bMNP",0,NA,21.5,21.6,99.53703704,"outbred hybrids","STRA_SCHUNT","E7"
"420","E64",NA,NA,4,"LM_0269",NA,0.94,NA,NA,NA,"E64:E64",NA,"E7bSUZ",0,NA,21.51,21.6,99.58333333,"outbred hybrids","STRA_SCHUNT","E7"
"421","E64",NA,NA,2,"LM_0270",NA,2.23,NA,NA,NA,"E64:E64",NA,"E7bAOZ",0,NA,24.55,23.89,102.7626622,"outbred hybrids","SCHUNT_STRA","E7"
"422","E64",NA,NA,3,"LM_0270",NA,1.18,NA,NA,NA,"E64:E64",NA,"E7bARS",0,NA,22.9,23.89,95.8560067,"outbred hybrids","SCHUNT_STRA","E7"
"423","E64",NA,NA,5,"LM_0270",NA,2.08,NA,NA,NA,"E64:E64",NA,"E7bBGV",86538.4615384615,NA,22.61,23.89,94.64210967,"outbred hybrids","SCHUNT_STRA","E7"
"424","E64",NA,NA,4,"LM_0270",NA,1.75,NA,NA,NA,"E64:E64",NA,"E7bBTZ",0,NA,22.6,23.89,94.60025115,"outbred hybrids","SCHUNT_STRA","E7"
"425","E64",NA,NA,7,"LM_0270",NA,1.4,NA,NA,NA,"E64:E64",NA,"E7bEKV",23214.2857142857,NA,22.62,23.89,94.68396819,"outbred hybrids","SCHUNT_STRA","E7"
"426","E64",NA,NA,0,"LM_0270",NA,1.91,NA,NA,NA,"E64:E64",NA,"E7bGQU",0,NA,23.89,23.89,100,"outbred hybrids","SCHUNT_STRA","E7"
"427","E64",-10.955,-9.75,8,"LM_0270","neg",1.58,NA,NA,-8.01,"E64:E64",-5.455,"E7bKMQ",0,NA,23.01,23.89,96.3164504,"outbred hybrids","SCHUNT_STRA","E7"
"428","E64",NA,NA,6,"LM_0270",NA,1.38,NA,NA,NA,"E64:E64",NA,"E7bNRU",57971.0144927536,NA,22.5,23.89,94.18166597,"outbred hybrids","SCHUNT_STRA","E7"
"429","E64",NA,NA,1,"LM_0270",NA,1.62,NA,NA,NA,"E64:E64",NA,"E7bOSZ",0,NA,22.92,23.89,95.93972373,"outbred hybrids","SCHUNT_STRA","E7"
"430","E88",NA,NA,3,"LM_0271",NA,1.8,NA,NA,NA,"E64:E88",NA,"E7aACO",0,NA,23.33,24.25,96.21,"inter subsp. hybrids","STRA_BUSNA","E7"
"431","E88",NA,NA,4,"LM_0271",NA,4.02,NA,NA,NA,"E64:E88",NA,"E7aAGI",0,NA,22.8,24.25,94.02,"inter subsp. hybrids","STRA_BUSNA","E7"
"432","E88",NA,NA,2,"LM_0271",NA,2.44,NA,NA,NA,"E64:E88",NA,"E7aBEW",1024.59016393443,NA,23.76,24.25,97.98,"inter subsp. hybrids","STRA_BUSNA","E7"
"433","E88",NA,NA,0,"LM_0271",NA,1.39,NA,NA,NA,"E64:E88",NA,"E7aCKO",0,NA,24.25,24.25,100,"inter subsp. hybrids","STRA_BUSNA","E7"
"434","E88",NA,NA,5,"LM_0271",NA,0.88,NA,NA,NA,"E64:E88",NA,"E7aFHQ",0,NA,23.3,24.25,96.08,"inter subsp. hybrids","STRA_BUSNA","E7"
"435","E88",NA,NA,1,"LM_0271",NA,2.07,NA,NA,NA,"E64:E88",NA,"E7aHKT",0,NA,24.24,24.25,99.96,"inter subsp. hybrids","STRA_BUSNA","E7"
"436","E88",NA,NA,7,"LM_0271",NA,1.79,NA,1.80062932217711,NA,"E64:E88",NA,"E7aKQW",0,NA,23.28,24.25,96,"inter subsp. hybrids","STRA_BUSNA","E7"
"437","E88",NA,NA,6,"LM_0271",NA,3.69,NA,3.2902118260771,NA,"E64:E88",NA,"E7aPQZ",0,NA,22.66,24.25,93.44,"inter subsp. hybrids","STRA_BUSNA","E7"
"438","E88",-10.305,-9.2,8,"LM_0271","neg",2.08,110.833333333333,1.65664455658793,-8.22,"E64:E88",-4.755,"E7aPSU",0,NA,23.34,24.25,96.25,"inter subsp. hybrids","STRA_BUSNA","E7"
"439","E88",NA,NA,0,"LM_0272",NA,0.83,NA,NA,NA,"E64:E88",NA,"E7bAOT",0,NA,22.77,22.77,100,"inter subsp. hybrids","BUSNA_STRA","E7"
"440","E88",-12.895,-10.55,8,"LM_0272","neg",1.48,NA,NA,-9.9,"E64:E88",-6.865,"E7bAYZ",0,NA,22.78,22.77,100.0439174,"inter subsp. hybrids","BUSNA_STRA","E7"
"441","E88",NA,NA,2,"LM_0272",NA,1.68,NA,NA,NA,"E64:E88",NA,"E7bCKS",0,NA,23.14,22.77,101.6249451,"inter subsp. hybrids","BUSNA_STRA","E7"
"442","E88",NA,NA,4,"LM_0272",NA,1.17,NA,NA,NA,"E64:E88",NA,"E7bCTU",0,NA,23.14,22.77,101.6249451,"inter subsp. hybrids","BUSNA_STRA","E7"
"443","E88",NA,NA,1,"LM_0272",NA,1.83,NA,NA,NA,"E64:E88",NA,"E7bEWX",0,NA,22.6,22.77,99.2534036,"inter subsp. hybrids","BUSNA_STRA","E7"
"444","E88",NA,NA,6,"LM_0272",NA,1.92,NA,NA,NA,"E64:E88",NA,"E7bHWY",0,NA,23.26,22.77,102.1519543,"inter subsp. hybrids","BUSNA_STRA","E7"
"445","E88",NA,NA,5,"LM_0272",NA,2.28,NA,NA,NA,"E64:E88",NA,"E7bJQZ",0,NA,22.53,22.77,98.94598155,"inter subsp. hybrids","BUSNA_STRA","E7"
"446","E88",NA,NA,3,"LM_0272",NA,1.28,NA,NA,NA,"E64:E88",NA,"E7bLQW",0,NA,22.5,22.77,98.81422925,"inter subsp. hybrids","BUSNA_STRA","E7"
"447","E88",NA,NA,7,"LM_0272",NA,1.27,NA,3.15681996639047,NA,"E64:E88",NA,"E7bLVZ",0,NA,22.87,22.77,100.4391744,"inter subsp. hybrids","BUSNA_STRA","E7"
"448","E88",NA,NA,0,"LM_0273",NA,1.82,NA,NA,NA,"E64:E88",NA,"E7bAHV",0,NA,21.7,21.7,100,"outbred hybrids","STRA_SCHUNT","E7"
"449","E88",NA,NA,4,"LM_0273",NA,1.43,NA,NA,NA,"E64:E88",NA,"E7bBQV",0,NA,22.17,21.7,102.1658986,"outbred hybrids","STRA_SCHUNT","E7"
"450","E88",NA,NA,3,"LM_0273",NA,1.82,NA,NA,NA,"E64:E88",NA,"E7bCLX",0,NA,21.47,21.7,98.94009217,"outbred hybrids","STRA_SCHUNT","E7"
"451","E88",NA,NA,7,"LM_0273",NA,1.94,NA,1.70480602443531,NA,"E64:E88",NA,"E7bDIS",0,NA,21.72,21.7,100.0921659,"outbred hybrids","STRA_SCHUNT","E7"
"452","E88",NA,NA,2,"LM_0273",NA,1.82,NA,NA,NA,"E64:E88",NA,"E7bGTV",0,NA,20.67,21.7,95.25345622,"outbred hybrids","STRA_SCHUNT","E7"
"453","E88",NA,NA,6,"LM_0273",NA,1.49,NA,NA,NA,"E64:E88",NA,"E7bKPZ",0,NA,22.27,21.7,102.6267281,"outbred hybrids","STRA_SCHUNT","E7"
"454","E88",-7.9625,-10.42,8,"LM_0273","neg",2,NA,NA,-6.1625,"E64:E88",-3.4275,"E7bKQW",0,NA,21.81,21.7,100.5069124,"outbred hybrids","STRA_SCHUNT","E7"
"455","E88",NA,NA,5,"LM_0273",NA,2.94,NA,NA,NA,"E64:E88",NA,"E7bMPW",0,NA,20.96,21.7,96.58986175,"outbred hybrids","STRA_SCHUNT","E7"
"456","E88",NA,NA,1,"LM_0273",NA,2.07,NA,NA,NA,"E64:E88",NA,"E7bOSX",0,NA,20.87,21.7,96.17511521,"outbred hybrids","STRA_SCHUNT","E7"
"457","E88",NA,NA,4,"LM_0275",NA,0.84,NA,NA,NA,"E64:E88",NA,"E7bABL",0,NA,22.54,20.83,108.2093135,"inter subsp. hybrids","SCHUNT_PWD","E7"
"458","E88",NA,NA,7,"LM_0275",NA,1.13,NA,NA,NA,"E64:E88",NA,"E7bACH",0,NA,22.93,20.83,110.0816131,"inter subsp. hybrids","SCHUNT_PWD","E7"
"459","E88",NA,NA,2,"LM_0275",NA,1.3,NA,NA,NA,"E64:E88",NA,"E7bAFK",0,NA,21.51,20.83,103.2645223,"inter subsp. hybrids","SCHUNT_PWD","E7"
"460","E88",NA,NA,1,"LM_0275",NA,1.01,NA,NA,NA,"E64:E88",NA,"E7bGPT",0,NA,21.63,20.83,103.8406145,"inter subsp. hybrids","SCHUNT_PWD","E7"
"461","E88",NA,NA,6,"LM_0275",NA,1.24,NA,NA,NA,"E64:E88",NA,"E7bHLP",0,NA,22.25,20.83,106.8170907,"inter subsp. hybrids","SCHUNT_PWD","E7"
"462","E88",NA,NA,0,"LM_0275",NA,1.2,NA,NA,NA,"E64:E88",NA,"E7bIJP",0,NA,20.83,20.83,100,"inter subsp. hybrids","SCHUNT_PWD","E7"
"463","E88",-9.04,4.14,8,"LM_0275","neg",1.19,NA,NA,-5.23,"E64:E88",-3.14,"E7bMNW",0,NA,22.47,20.83,107.8732597,"inter subsp. hybrids","SCHUNT_PWD","E7"
"464","E88",NA,NA,5,"LM_0275",NA,1.27,NA,NA,NA,"E64:E88",NA,"E7bNOU",0,NA,21.34,20.83,102.4483917,"inter subsp. hybrids","SCHUNT_PWD","E7"
"465","E88",NA,NA,3,"LM_0275",NA,1.56,NA,NA,NA,"E64:E88",NA,"E7bUWZ",0,NA,21.81,20.83,104.7047528,"inter subsp. hybrids","SCHUNT_PWD","E7"
"466","E88",NA,NA,1,"LM_0276",NA,2.22,NA,NA,NA,"E64:E88",NA,"E7bABW",0,NA,30.73,29.59,103.8526529,"parental strains","STRA_STRA","E7"
"467","E88",NA,NA,2,"LM_0276",NA,1.87,NA,NA,NA,"E64:E88",NA,"E7bBDP",0,NA,30.37,29.59,102.6360257,"parental strains","STRA_STRA","E7"
"468","E88",-9.66,-10.61,8,"LM_0276","neg",1,NA,NA,-6.19,"E64:E88",-3.74,"E7bBGY",0,NA,31.04,29.59,104.9003042,"parental strains","STRA_STRA","E7"
"469","E88",NA,NA,7,"LM_0276",NA,2.6,NA,NA,NA,"E64:E88",NA,"E7bDTV",0,NA,31.27,29.59,105.6775938,"parental strains","STRA_STRA","E7"
"470","E88",NA,NA,5,"LM_0276",NA,3.5,NA,NA,NA,"E64:E88",NA,"E7bEHR",0,NA,30.47,29.59,102.9739777,"parental strains","STRA_STRA","E7"
"471","E88",NA,NA,3,"LM_0276",NA,2.38,NA,NA,NA,"E64:E88",NA,"E7bESY",0,NA,32.1,29.59,108.4825955,"parental strains","STRA_STRA","E7"
"472","E88",NA,NA,0,"LM_0276",NA,1.74,NA,NA,NA,"E64:E88",NA,"E7bPQT",0,NA,29.59,29.59,100,"parental strains","STRA_STRA","E7"
"473","E88",NA,NA,4,"LM_0276",NA,1.17,NA,NA,NA,"E64:E88",NA,"E7bPVZ",0,NA,32.25,29.59,108.9895235,"parental strains","STRA_STRA","E7"
"474","E88",NA,NA,6,"LM_0276",NA,1.79,NA,NA,NA,"E64:E88",NA,"E7bRXZ",0,NA,31.62,29.59,106.8604258,"parental strains","STRA_STRA","E7"
"475","E88",NA,NA,3,"LM_0277",NA,1.62,NA,NA,NA,"E64:E88",NA,"E7bABP",0,NA,24.49,23.88,102.5544389,"inter subsp. hybrids","BUSNA_STRA","E7"
"476","E88",NA,NA,1,"LM_0277",NA,1.69,NA,NA,NA,"E64:E88",NA,"E7bADS",0,NA,24.07,23.88,100.7956449,"inter subsp. hybrids","BUSNA_STRA","E7"
"477","E88",NA,NA,5,"LM_0277",NA,1.61,NA,NA,NA,"E64:E88",NA,"E7bART",0,NA,21.36,23.88,89.44723618,"inter subsp. hybrids","BUSNA_STRA","E7"
"478","E88",NA,NA,6,"LM_0277",NA,1.9,NA,NA,NA,"E64:E88",NA,"E7bBIN",0,NA,24.21,23.88,101.3819095,"inter subsp. hybrids","BUSNA_STRA","E7"
"479","E88",NA,NA,2,"LM_0277",NA,1.54,NA,NA,NA,"E64:E88",NA,"E7bBRZ",0,NA,23.99,23.88,100.4606365,"inter subsp. hybrids","BUSNA_STRA","E7"
