labels,EH_ID,dpi,weight,weight_dpi0,weightloss,fecweight,Expe,Eimeria,,
HJV,LM0183,7,16.46,17.08,3.6299765808,1.03,Expe005_1a,E88,,
NRW,LM0184,7,21.55,22.8,5.4824561404,1.33,Expe005_1a,E88,,
BIL,LM0185,7,20.06,20.1,0.1990049751,0.82,Expe005_1a,E88,,
BQZ,LM0186,7,17.85,18.1,1.3812154696,0.59,Expe005_1a,E88,,
AOP,LM0187,7,15.13,16.71,9.4554159186,0.35,Expe005_1a,E88,"bloody poo,not soft",
UVY,LM0188,7,20.07,20.6,2.572815534,1.44,Expe005_1a,E88,"bloody,soft shit",
CHW,LM0189,7,15.5,17.03,8.9841456254,0.6,Expe005_1a,E88,,
PWY,LM0190,7,14.66,15.55,5.7234726688,0.74,Expe005_1a,E88,,
DOZ,LM0191,7,21.89,21.97,0.3641329085,0.77,Expe005_1a,E88,,
EMT,LM0192,7,20.74,21.06,1.5194681861,1.07,Expe005_1a,E88,,
BDL,LM0193,7,14.39,16.4,12.256097561,0.43,Expe005_1a,E88,"looks good,bit soft shit",
AHU,LM0194,7,18.63,20.37,8.5419734904,0.86,Expe005_1a,E88,,
KVY,LM0195,7,16.77,16.88,0.6516587678,1.08,Expe005_1a,E88,,
ACH,LM0196,7,20.72,22.5,7.9111111111,1.45,Expe005_1a,E88,,
CNP,LM0197,7,22.63,21.35,-5.9953161593,1.14,Expe005_1a,E88,,
JPV,LM0198,7,17.19,17.65,2.6062322946,1.21,Expe005_1a,E88,,
CJY,LM0199,7,27.15,26.85,-1.1173184358,0.84,Expe005_1a,E88,,
CIV,LM0200,7,25.72,22.32,-15.2329749104,1.67,Expe005_1a,E88,,
CTW,LM0201,7,22.1,21.75,-1.6091954023,1.67,Expe005_1a,E88,,
CQU,LM0202,7,16.94,17.68,4.185520362,0.42,Expe005_1a,E88,,
CHO,LM0203,7,21.93,20.26,-8.2428430405,1.02,Expe005_1a,E88,,
OQZ,LM0179,8,17.87,18.93,5.5995773904,0.23,Expe005_1a,E88,diarrhea,
CGI,LM0180,8,22.25,24.1,7.6763485477,0.75,Expe005_1a,E88,soft feces,
LPT,LM0181,8,14.81,17.5,15.3714285714,0.09,Expe005_1a,E88,,
ACW,LM0182,8,18.18,16.94,-7.3199527745,1.24,Expe005_1a,E88,,
DIY,LM0183,8,16.11,17.08,5.6791569087,0.12,Expe005_1a,E88,soft feces,
LSU,LM0184,8,20.95,22.8,8.1140350877,0.59,Expe005_1a,E88,poop bloody,
DMV,LM0185,8,19.63,20.1,2.3383084577,0.62,Expe005_1a,E88,soft feces,
JPY,LM0186,8,17.55,18.1,3.0386740331,0.16,Expe005_1a,E88,diarrhea,
APW,LM0187,8,13.04,16.71,21.9628964692,0,Expe005_1a,E88,sacrificed,
DET,LM0188,8,18.23,20.6,11.5048543689,0.64,Expe005_1a,E88,"diarrhea, bloody",
AOY,LM0189,8,13.7,17.03,19.553728714,0.1,Expe005_1a,E88,not a lot poop,
AIZ,LM0190,8,13.14,15.55,15.498392283,0.4,Expe005_1a,E88,,
HOP,LM0191,8,21.4,21.97,2.5944469731,0.58,Expe005_1a,E88,soft feces,
QSY,LM0192,8,19.67,21.06,6.6001899335,0.75,Expe005_1a,E88,"bloody, soft feces",
HNZ,LM0193,8,12.62,16.4,23.0487804878,0,Expe005_1a,E88,"died overnight, laid dead in cage",
DEY,LM0194,8,17.2,20.37,15.5621011291,0.17,Expe005_1a,E88,,
DPW,LM0195,8,16.33,16.88,3.2582938389,1.17,Expe005_1a,E88,,
DLZ,LM0196,8,20.66,22.5,8.1777777778,1.95,Expe005_1a,E88,,
