labels,EH_ID,dpi,weight,weight_dpi0,weightloss,weightRelativeToInfection,fecweight,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,oocyst_mean,dilution,OPG
CLS,LM0259,5,,,0,#DIV/0!,,,,,,,,
JKZ,LM0260,5,,,0,#DIV/0!,,,,,,,,
AMV,LM0262,5,,,0,#DIV/0!,,,,,,,,
CHM,LM0263,5,,,0,#DIV/0!,,,,,,,,
AFP,LM0265,5,,,0,#DIV/0!,,,,,,,,
FIY,LM0267,5,,,0,#DIV/0!,,,,,,,,
GPR,LM0269,5,,,0,#DIV/0!,,,,,,,,
BGV,LM0270,5,,,0,#DIV/0!,,,,,,,,
BMS,LM0279,5,,,0,#DIV/0!,,,,,,,,
LQU,LM0280,5,,,0,#DIV/0!,,,,,,,,
LPZ,LM0284,5,,,0,#DIV/0!,,,,,,,,
IKL,LM0285,5,,,0,#DIV/0!,,,,,,,,
LMS,LM0287,5,,,0,#DIV/0!,,,,,,,,
DMZ,LM0291,5,,,0,#DIV/0!,,,,,,,,
KTZ,LM0294,5,,,0,#DIV/0!,,,,,,,,
ANY,LM0295,5,,,0,#DIV/0!,,,,,,,,
CNT,LM0229,5,,,0,#DIV/0!,,,,,,,,
GHN,LM0232,5,,,0,#DIV/0!,,,,,,,,
FPQ,LM0233,5,,,0,#DIV/0!,,,,,,,,
MOX,LM0239,5,,,0,#DIV/0!,,,,,,,,
EJR,LM0246,5,,,0,#DIV/0!,,,,,,,,
CGT,LM0247,5,,,0,#DIV/0!,,,,,,,,
ADV,LM0251,5,,,0,#DIV/0!,,,,,,,,
JRW,LM0254,5,,,0,#DIV/0!,,,,,,,,
AOX,LM0256,5,,,0,#DIV/0!,,,,,,,,
CNO,LM0261,5,,,0,#DIV/0!,,,,,,,,
DIJ,LM0264,5,,,0,#DIV/0!,,,,,,,,
DKO,LM0266,5,,,0,#DIV/0!,,,,,,,,
ERS,LM0268,5,,,0,#DIV/0!,,,,,,,,
FHQ,LM0271,5,,,0,#DIV/0!,,,,,,,,
JQZ,LM0272,5,,,0,#DIV/0!,,,,,,,,
MPW,LM0273,5,,,0,#DIV/0!,,,,,,,,
NOU,LM0275,5,,,0,#DIV/0!,,,,,,,,
EHR,LM0276,5,,,0,#DIV/0!,,,,,,,,
ART,LM0277,5,,,0,#DIV/0!,,,,,,,,
CIM,LM0278,5,,,0,#DIV/0!,,,,,,,,
EGY,LM0281,5,,,0,#DIV/0!,,,,,,,,
IOZ,LM0282,5,,,0,#DIV/0!,,,,,,,,
QRS,LM0283,5,,,0,#DIV/0!,,,,,,,,
NPX,LM0286,5,,,0,#DIV/0!,,,,,,,,
BCF,LM0288,5,,,0,#DIV/0!,,,,,,,,
AGL,LM0289,5,,,0,#DIV/0!,,,,,,,,
BTV,LM0292,5,,,0,#DIV/0!,,,,,,,,
AIZ,LM0293,5,,,0,#DIV/0!,,,,,,,,
ELW,LM0227,6,,,0,#DIV/0!,,,,,,,,
FVX,LM0228,6,,,0,#DIV/0!,,,,,,,,
HSV,LM0231,6,,,0,#DIV/0!,,,,,,,,
GNY,LM0234,6,,,0,#DIV/0!,,,,,,,,
IUW,LM0235,6,,,0,#DIV/0!,,,,,,,,
CHS,LM0236,6,,,0,#DIV/0!,,,,,,,,
