"EH_ID","experiment","mouse_strain","primary_infection","challenge_infection","infection_history","labels","weight","weight_dpi0","relative_weight","feces_weight","dpi","infection","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","dilution","OO4sq","OOC","infection_type","oocyst_mean","OPG"
"LM0228","E57","STRA_BUSNA","E88","E64","E88_E64","E57bxEJN",21.23,21.23,100,1.24,0,"challenge",0,0,0,0,1,0,0,"heterologous_E64",NA,NA
"LM0228","E57","STRA_BUSNA","E88","E64","E88_E64","E57aBMX",20.73,18.56,111.691810344828,1.44,4,"primary",0,0,0,0,1,0,0,"primary_E88",NA,NA
"LM0228","E57","STRA_BUSNA","E88","E64","E88_E64","E57bxFHT",23.4,21.23,110.221384832784,1.28,1,"challenge",0,0,0,0,1,0,0,"heterologous_E64",NA,NA
"LM0228","E57","STRA_BUSNA","E88","E64","E88_E64","E57aEIY",19.87,18.56,107.058189655172,0.79,6,"primary",0,0,0,0,1,0,0,"primary_E88",NA,NA
"LM0228","E57","STRA_BUSNA","E88","E64","E88_E64","E57bxNSX",22.92,21.23,107.960433349034,1.18,7,"challenge",66,63,62,70,1,261,652500,"heterologous_E64",NA,NA
"LM0228","E57","STRA_BUSNA","E88","E64","E88_E64","E57aCKN",20.08,18.56,108.189655172414,0,2,"primary",NA,NA,NA,NA,1,NA,NA,"primary_E88",NA,NA
"LM0228","E57","STRA_BUSNA","E88","E64","E88_E64","E57aCEH",20.57,18.56,110.82974137931,1.33,5,"primary",0,0,0,0,1,0,0,"primary_E88",NA,NA
"LM0229","E57","SCHUNT_SCHUNT","E88","UNI","E88_UNI","E57bxAIO",18.85,19.06,98.8982161594963,2.07,3,"challenge",0,0,0,0,1,0,0,"UNI",NA,NA
"LM0229","E57","SCHUNT_SCHUNT","E88","UNI","E88_UNI","E57aBHK",13.27,15.82,83.8811630847029,0.27,8,"primary",29,25,27,25,1,106,265000,"primary_E88",NA,NA
"LM0229","E57","SCHUNT_SCHUNT","E88","UNI","E88_UNI","E57aKOU",15.21,15.82,96.1441213653603,1.1,6,"primary",0,0,0,0,1,0,0,"primary_E88",NA,NA
"LM0229","E57","SCHUNT_SCHUNT","E88","UNI","E88_UNI","E57bxFHK",19.55,19.06,102.570828961175,1.48,6,"challenge",0,0,0,0,1,0,0,"UNI",NA,NA
"LM0229","E57","SCHUNT_SCHUNT","E88","UNI","E88_UNI","E57aHMU",15.66,15.82,98.9886219974716,0,3,"primary",NA,NA,NA,NA,1,NA,NA,"primary_E88",NA,NA
"LM0229","E57","SCHUNT_SCHUNT","E88","UNI","E88_UNI","E57aHKV",15.45,15.82,97.661188369153,1.28,4,"primary",0,0,0,0,1,0,0,"primary_E88",NA,NA
"LM0229","E57","SCHUNT_SCHUNT","E88","UNI","E88_UNI","E57aEKT",16.24,15.82,102.654867256637,0,1,"primary",NA,NA,NA,NA,1,NA,NA,"primary_E88",NA,NA
"LM0229","E57","SCHUNT_SCHUNT","E88","UNI","E88_UNI","E57bxEMW",19.01,19.06,99.7376705141658,2.36,8,"challenge",0,0,0,0,1,0,0,"UNI",NA,NA
"LM0229","E57","SCHUNT_SCHUNT","E88","UNI","E88_UNI","E57aLRZ",13.07,15.82,82.6169405815424,1.37,9,"primary",37,47,37,33,1,154,385000,"primary_E88",NA,NA
