"EH_ID","experiment","mouse_strain","primary_infection","challenge_infection","infection_history","labels","weight","weight_dpi0","relative_weight","feces_weight","dpi","infection","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","dilution"
"LM0182","E57","SCHUNT_PWD","E88",NA,NA,"E57aJRS",17.72,16.94,104.604486422668,0.96,6,"primary",0,0,0,0,1
"LM0183","E57","PWD_BUSNA","E88",NA,NA,"E57aCLN",16.75,17.08,98.0679156908665,0,2,"primary",NA,NA,NA,NA,1
"LM0183","E57","PWD_BUSNA","E88",NA,NA,"E57aAVZ",16.6,17.08,97.1896955503513,0,3,"primary",NA,NA,NA,NA,1
"LM0183","E57","PWD_BUSNA","E88",NA,NA,"E57aDIY",16.11,17.08,94.3208430913349,0.12,8,"primary",28,24,30,32,1
"LM0183","E57","PWD_BUSNA","E88",NA,NA,"E57aCEK",17.08,17.08,100,1.33,0,"primary",0,0,0,0,1
"LM0183","E57","PWD_BUSNA","E88",NA,NA,"E57aEKQ",16.87,17.08,98.7704918032787,1.3,5,"primary",0,0,0,0,1
"LM0183","E57","PWD_BUSNA","E88",NA,NA,"E57aCIX",15.72,17.08,92.0374707259953,0.82,9,"primary",19,25,28,36,1
"LM0183","E57","PWD_BUSNA","E88",NA,NA,"E57aDSY",16.73,17.08,97.9508196721312,0.8,6,"primary",0,0,0,0,1
"LM0183","E57","PWD_BUSNA","E88",NA,NA,"E57aHJV",16.46,17.08,96.3700234192038,1.03,7,"primary",25,14,27,21,1
"LM0183","E57","PWD_BUSNA","E88",NA,NA,"E57aDEO",17.1,17.08,100.117096018735,0.93,4,"primary",0,0,0,0,1
"LM0183","E57","PWD_BUSNA","E88",NA,NA,"E57aPTZ",16.56,17.08,96.9555035128806,0,1,"primary",NA,NA,NA,NA,1
"LM0183","E57","PWD_BUSNA","E88",NA,NA,"E57aPWX",16.7,17.08,97.7751756440281,0.95,11,"primary",2,1,2,0,1
"LM0183","E57","PWD_BUSNA","E88",NA,NA,"E57aABT",16.58,17.08,97.0725995316159,0.76,10,"primary",5,5,4,3,1
"LM0184","E57","STRA_SCHUNT","E88",NA,NA,"E57aLSZ",20.4,22.8,89.4736842105263,0.71,9,"primary",13,22,12,24,1
"LM0184","E57","STRA_SCHUNT","E88",NA,NA,"E57aLSU",20.95,22.8,91.8859649122807,0.59,8,"primary",43,33,43,42,1
"LM0184","E57","STRA_SCHUNT","E88",NA,NA,"E57aNRW",21.55,22.8,94.5175438596491,1.33,7,"primary",1,2,0,1,1
"LM0184","E57","STRA_SCHUNT","E88",NA,NA,"E57aOPZ",21.96,22.8,96.3157894736842,1.44,5,"primary",0,0,0,0,1
"LM0184","E57","STRA_SCHUNT","E88",NA,NA,"E57aETU",22.6,22.8,99.1228070175439,0,2,"primary",NA,NA,NA,NA,1
