labels,EH_ID,dpi,weight,weight_dpi0,Wchange,fecweight,,,,,,,,,,
GHN,LM0232,5,27.26,26.37,103.38,2.07,,,,,,,,,,
FPQ,LM0233,5,31.52,29.77,105.88,2.16,,,,,,,,,,
MOX,LM0239,5,19.60,19.41,100.98,2.81,,,,,,,,,,
CGT,LM0247,5,26.78,27.13,98.71,2.86,,,,,,,,,,
ADV,LM0251,5,23.42,23.16,101.12,1.34,,,,,,,,,,
JRW,LM0254,5,22.55,22.32,101.03,2.61,,,,,,,,,,
AOX,LM0256,5,30.71,29.15,105.35,2.27,,,,,,,,,,
CNO,LM0261,5,19.34,20.09,96.27,1.09,,,,,,,,,,
DIJ,LM0264,5,17.65,17.88,98.71,1.05,,,,,,,,,,
DKO,LM0266,5,21.39,23.94,89.35,2.18,,,,,,,,,,
ERS,LM0268,5,19.55,20.84,93.81,2.50,,,,,,,,,,
FHQ,LM0271,5,23.30,24.25,96.08,0.88,,,,,,,,,,
LNW,LM0227,6,22.94,23.86,96.14,0.88,,,,,,,,,,
LMZ,LM0228,6,22.29,21.23,104.99,1.05,,,,,,,,,,
GJT,LM0231,6,20.52,20.69,99.18,0.95,,,,,,,,,,
AGX,LM0234,6,32.61,32.76,99.54,1.35,,,,,,,,,,
CEO,LM0235,6,19.50,19.58,99.59,0.95,,,,,,,,,,
HKN,LM0236,6,27.05,26.25,103.05,1.40,,,,,,,,,,
EWY,LM0238,6,20.47,21.39,95.70,0.47,,,,,,,,,,
JKX,LM0240,6,21.60,20.45,105.62,1.89,,,,,,,,,,
FQX,LM0248,6,20.95,23.46,89.30,1.74,,,,,,,,,,
ANV,LM0249,6,23.77,26.10,91.07,1.30,,,,,,,,,,
GOW,LM0255,6,17.35,18.26,95.02,0.86,,,,,,,,,,
UVY,LM0257,6,21.03,22.75,92.44,0.96,,,,,,,,,,
KMS,LM0258,6,18.70,19.74,94.73,0.84,,,,,,,,,,
GHL,LM0259,6,28.77,28.89,99.58,1.57,,,,,,,,,,
FHK,LM0229,6,19.55,19.06,102.57,1.48,,,,,,,,,,
NPW,LM0232,6,26.56,26.37,100.72,1.11,,,,,,,,,,
GSV,LM0233,6,30.61,29.77,102.82,1.19,,,,,,,,,,
IQW,LM0239,6,18.80,19.41,96.86,3.15,,,,,,,,,,
ABO,LM0247,6,26.18,27.13,96.50,2.61,,,,,,,,,,
LNT,LM0251,6,23.09,23.16,99.70,1.06,,,,,,,,,,
DVW,LM0254,6,22.26,22.32,99.73,2.39,,,,,,,,,,
KLQ,LM0256,6,30.26,29.15,103.81,1.91,,,,,,,,,,
FGZ,LM0261,6,19.57,20.09,97.41,1.51,,,,,,,,,,
BEV,LM0264,6,18.08,17.88,101.12,0.95,,,,,,,,,,
FLY,LM0266,6,20.36,23.94,85.05,2.12,,,,,,,,,,
GHV,LM0268,6,18.85,20.84,90.45,1.53,,,,,,,,,,
PQZ,LM0271,6,22.66,24.25,93.44,3.69,,,,,,,,,,
AUZ,LM0227,7,23.24,23.86,97.40,1.68,,,,,,,,,,
NSX,LM0228,7,22.92,21.23,107.96,1.18,,,,,,,,,,
JRZ,LM0231,7,20.66,20.69,99.86,1.53,,,,,,,,,,
AHU,LM0234,7,33.04,32.76,100.85,1.71,,,,,,,,,,
AQY,LM0235,7,19.43,19.58,99.23,1.16,,,,,,,,,,
NRU,LM0236,7,28.03,26.25,106.78,1.42,,,,,,,,,,
NOY,LM0238,7,20.09,21.39,93.92,0.79,,,,,,,,,,
AVW,LM0240,7,22.16,20.45,108.36,1.04,,,,,,,,,,
KOX,LM0248,7,21.72,23.46,92.58,1.32,,,,,,,,,,
CLV,LM0249,7,24.55,26.10,94.06,1.12,,,,,,,,,,
NPY,LM0255,7,17.55,18.26,96.11,1.28,,,,,,,,,,
PVX,LM0257,7,21.77,22.75,95.69,1.11,,,,,,,,,,
HKX,LM0258,7,18.14,19.74,91.89,0.87,,,,,,,,,,
NUY,LM0259,7,29.44,28.89,101.90,1.38,,,,,,,,,,
NTU,LM0229,7,18.67,19.06,97.95,1.98,,,,,,,,,,
FGH,LM0232,7,27.02,26.37,102.46,1.67,,,,,,,,,,
IMQ,LM0233,7,31.24,29.77,104.94,1.51,,,,,,,,,,
LOT,LM0239,7,19.04,19.41,98.09,1.84,,,,,,,,,,
FPV,LM0247,7,26.75,27.13,98.60,2.88,,,,,,,,,,
