"Mouse_ID","weight","weightloss","fecweight","dpi","infection_isolate","sex","Neubauer1","Neubauer2","Neubauer3","Neubauer4","mean","dilution_ml","oocysts_number","OPG"
2,38.3,-3.5135135135135,2.55,6,"EfLab","female",NA,NA,NA,NA,NA,NA,NA,NA
3,43.6,-2.34741784037558,3.45,6,"EfLab","male",NA,NA,NA,NA,NA,NA,NA,NA
4,40.5,0.735294117647056,3.61,6,"EfLab","male",NA,NA,NA,NA,NA,NA,NA,NA
5,41.4,0,4.07,6,"EfLab","male",NA,NA,NA,NA,NA,NA,NA,NA
6,37.7,0.264550264550245,3.08,6,"EfLab","male",NA,NA,NA,NA,NA,NA,NA,NA
7,39.1,3.93120393120393,2.42,6,"E64","male",NA,NA,NA,NA,NA,NA,NA,NA
8,42.1,1.17370892018779,4,6,"E64","male",NA,NA,NA,NA,NA,NA,NA,NA
9,40.6,0.245700245700253,3.18,6,"E64","male",NA,NA,NA,NA,NA,NA,NA,NA
10,31,-1.97368421052633,3.67,6,"E64","female",NA,NA,NA,NA,NA,NA,NA,NA
11,32.1,5.58823529411764,2.21,6,"E64","female",NA,NA,NA,NA,NA,NA,NA,NA
12,29.1,-4.67625899280575,3.04,6,"E64","female",NA,NA,NA,NA,NA,NA,NA,NA
13,37.8,1.5625,3.48,6,"E88","male",NA,NA,NA,NA,NA,NA,NA,NA
15,41.1,1.20192307692307,2.72,6,"E88","male",NA,NA,NA,NA,NA,NA,NA,NA
16,36.4,-0.552486187845291,1.96,6,"E88","female",NA,NA,NA,NA,NA,NA,NA,NA
17,34.7,-0.289017341040476,1.75,6,"E88","female",NA,NA,NA,NA,NA,NA,NA,NA
18,35.1,-5.08982035928145,1.98,6,"E88","female",NA,NA,NA,NA,NA,NA,NA,NA
19,38.8,3.72208436724566,3.32,6,"E139","male",NA,NA,NA,NA,NA,NA,NA,NA
20,43.2,2.7027027027027,2.95,6,"E139","male",NA,NA,NA,NA,NA,NA,NA,NA
21,31.6,4.81927710843374,3.48,6,"E139","female",NA,NA,NA,NA,NA,NA,NA,NA
22,32,9.09090909090909,2.21,6,"E139","female",NA,NA,NA,NA,NA,NA,NA,NA
23,35.9,-1.12676056338028,2.81,6,"E139","female",NA,NA,NA,NA,NA,NA,NA,NA
1,32.1,0.619195046439613,2.2,7,"EfLab","female",NA,NA,NA,NA,NA,NA,NA,NA
2,37.8,-2.16216216216216,2.59,7,"EfLab","female",NA,NA,NA,NA,NA,NA,NA,NA
3,43.2,-1.40845070422535,4.6,7,"EfLab","male",NA,NA,NA,NA,NA,NA,NA,NA
4,39.5,3.18627450980391,3.12,7,"EfLab","male",NA,NA,NA,NA,NA,NA,NA,NA
5,41.1,0.724637681159412,2.71,7,"EfLab","male",NA,NA,NA,NA,NA,NA,NA,NA
6,37.1,1.85185185185184,2.75,7,"EfLab","male",NA,NA,NA,NA,NA,NA,NA,NA
7,39.5,2.94840294840295,4.15,7,"E64","male",NA,NA,NA,NA,NA,NA,NA,NA
8,42.9,-0.704225352112675,4.8,7,"E64","male",NA,NA,NA,NA,NA,NA,NA,NA
9,40.3,0.982800982801002,2.1,7,"E64","male",NA,NA,NA,NA,NA,NA,NA,NA
10,32.1,-5.5921052631579,3.91,7,"E64","female",NA,NA,NA,NA,NA,NA,NA,NA
11,32.2,5.29411764705882,2.85,7,"E64","female",NA,NA,NA,NA,NA,NA,NA,NA
12,29.1,-4.67625899280575,2.9,7,"E64","female",NA,NA,NA,NA,NA,NA,NA,NA
13,37.2,3.12499999999999,2.85,7,"E88","male",NA,NA,NA,NA,NA,NA,NA,NA
15,40.8,1.92307692307694,3.5,7,"E88","male",NA,NA,NA,NA,NA,NA,NA,NA
16,36.5,-0.828729281767937,3.58,7,"E88","female",NA,NA,NA,NA,NA,NA,NA,NA
17,34.1,1.44508670520231,2.59,7,"E88","female",NA,NA,NA,NA,NA,NA,NA,NA
18,35,-4.79041916167666,2.11,7,"E88","female",NA,NA,NA,NA,NA,NA,NA,NA
19,39.4,2.23325062034739,3.67,7,"E139","male",NA,NA,NA,NA,NA,NA,NA,NA
20,43.3,2.47747747747749,2.88,7,"E139","male",NA,NA,NA,NA,NA,NA,NA,NA
21,32,3.61445783132531,3,7,"E139","female",NA,NA,NA,NA,NA,NA,NA,NA
22,34.4,2.27272727272728,3.1,7,"E139","female",NA,NA,NA,NA,NA,NA,NA,NA
23,35.7,-0.56338028169014,2.98,7,"E139","female",NA,NA,NA,NA,NA,NA,NA,NA
1,30.7,4.95356037151702,1.64,8,"EfLab","female",NA,NA,NA,NA,NA,NA,NA,NA
2,37.3,-0.810810810810803,4.53,8,"EfLab","female",NA,NA,NA,NA,NA,NA,NA,NA
3,42.1,1.17370892018779,3.86,8,"EfLab","male",NA,NA,NA,NA,NA,NA,NA,NA
4,39,4.41176470588235,2.65,8,"EfLab","male",NA,NA,NA,NA,NA,NA,NA,NA
5,40,3.38164251207729,2.45,8,"EfLab","male",NA,NA,NA,NA,NA,NA,NA,NA
6,37.2,1.58730158730157,2.74,8,"EfLab","male",NA,NA,NA,NA,NA,NA,NA,NA
7,39.6,2.70270270270271,4.23,8,"E64","male",NA,NA,NA,NA,NA,NA,NA,NA
8,43,-0.938967136150226,4.6,8,"E64","male",NA,NA,NA,NA,NA,NA,NA,NA
9,40.4,0.737100737100749,2.89,8,"E64","male",NA,NA,NA,NA,NA,NA,NA,NA
10,31.8,-4.60526315789473,4.31,8,"E64","female",NA,NA,NA,NA,NA,NA,NA,NA
11,32.7,3.82352941176469,3.94,8,"E64","female",NA,NA,NA,NA,NA,NA,NA,NA
12,28.3,-1.79856115107915,3.21,8,"E64","female",NA,NA,NA,NA,NA,NA,NA,NA
13,36.8,4.16666666666667,3.46,8,"E88","male",NA,NA,NA,NA,NA,NA,NA,NA
15,41,1.4423076923077,2.55,8,"E88","male",NA,NA,NA,NA,NA,NA,NA,NA
16,35.9,0.82872928176797,4.26,8,"E88","female",NA,NA,NA,NA,NA,NA,NA,NA
17,34.9,-0.867052023121384,3.31,8,"E88","female",NA,NA,NA,NA,NA,NA,NA,NA
18,34.7,-3.89221556886228,2.97,8,"E88","female",NA,NA,NA,NA,NA,NA,NA,NA
19,39.2,2.72952853598013,3.42,8,"E139","male",NA,NA,NA,NA,NA,NA,NA,NA
20,42.8,3.60360360360361,4.53,8,"E139","male",NA,NA,NA,NA,NA,NA,NA,NA
21,31,6.62650602409639,3.09,8,"E139","female",NA,NA,NA,NA,NA,NA,NA,NA
22,34.7,1.42045454545454,2.46,8,"E139","female",NA,NA,NA,NA,NA,NA,NA,NA
23,35.7,-0.56338028169014,3.09,8,"E139","female",NA,NA,NA,NA,NA,NA,NA,NA
1,29.4,8.97832817337461,1.38,9,"EfLab","female",NA,NA,NA,NA,NA,NA,NA,NA
2,38.3,-3.5135135135135,4.75,9,"EfLab","female",NA,NA,NA,NA,NA,NA,NA,NA
3,41.3,3.05164319248827,4.35,9,"EfLab","male",NA,NA,NA,NA,NA,NA,NA,NA
4,39,4.41176470588235,4.88,9,"EfLab","male",NA,NA,NA,NA,NA,NA,NA,NA
5,40.1,3.14009661835748,4.25,9,"EfLab","male",NA,NA,NA,NA,NA,NA,NA,NA
6,36.2,4.23280423280422,4.07,9,"EfLab","male",NA,NA,NA,NA,NA,NA,NA,NA
7,39,4.17690417690418,3.54,9,"E64","male",NA,NA,NA,NA,NA,NA,NA,NA
8,43.8,-2.8169014084507,4.65,9,"E64","male",NA,NA,NA,NA,NA,NA,NA,NA
9,40.6,0.245700245700253,3.06,9,"E64","male",NA,NA,NA,NA,NA,NA,NA,NA
10,31.5,-3.61842105263159,2.84,9,"E64","female",NA,NA,NA,NA,NA,NA,NA,NA
11,33,2.94117647058824,2.98,9,"E64","female",NA,NA,NA,NA,NA,NA,NA,NA
12,28.4,-2.15827338129495,2.81,9,"E64","female",NA,NA,NA,NA,NA,NA,NA,NA
13,37.6,2.08333333333333,3.5,9,"E88","male",NA,NA,NA,NA,NA,NA,NA,NA
15,40.9,1.68269230769231,2.45,9,"E88","male",NA,NA,NA,NA,NA,NA,NA,NA
16,36.2,0,2.17,9,"E88","female",NA,NA,NA,NA,NA,NA,NA,NA
17,35.3,-2.02312138728322,3.98,9,"E88","female",NA,NA,NA,NA,NA,NA,NA,NA
18,34.9,-4.49101796407185,2.45,9,"E88","female",NA,NA,NA,NA,NA,NA,NA,NA
19,39.1,2.97766749379652,4.39,9,"E139","male",NA,NA,NA,NA,NA,NA,NA,NA
20,43.3,2.47747747747749,4.89,9,"E139","male",NA,NA,NA,NA,NA,NA,NA,NA
