Well,Sample Name,Detector,Task,Std_series,Ct,Ct_mean,Sd_Ct,Qty,Qty_mean,Sd_Qty,Date,Operator,Cycler,Oocyst_count,Parasite,Sample_type,Feces_weight,Qubit,NanoDrop,Extraction,Beads_weight,Tm
D11,Eimeria_10_3,Eimeria,Standard,B,21.58,21.56,1.027,2000,,,300620,Victor,ABI,2000,E_falciformis,Oocysts,,,,Glass_beads,,
D12,Eimeria_10_3,Eimeria,Standard,B,20.52,21.56,1.027,2000,,,300620,Victor,ABI,2000,E_falciformis,Oocysts,,,,Glass_beads,,
E1,Eimeria_10_2,Eimeria,Standard,A,26.51,25.74,1.058,200,,,300620,Victor,ABI,200,E_falciformis,Oocysts,,,,Glass_beads,,
E2,Eimeria_10_2,Eimeria,Standard,A,26.17,25.74,1.058,200,,,300620,Victor,ABI,200,E_falciformis,Oocysts,,,,Glass_beads,,
E3,Eimeria_10_2,Eimeria,Standard,A,24.53,25.74,1.058,200,,,300620,Victor,ABI,200,E_falciformis,Oocysts,,,,Glass_beads,,
E10,Eimeria_10_2,Eimeria,Standard,B,25.57,24.53,1.117,200,,,300620,Victor,ABI,200,E_falciformis,Oocysts,,,,Glass_beads,,
E11,Eimeria_10_2,Eimeria,Standard,B,24.67,24.53,1.117,200,,,300620,Victor,ABI,200,E_falciformis,Oocysts,,,,Glass_beads,,
E12,Eimeria_10_2,Eimeria,Standard,B,23.35,24.53,1.117,200,,,300620,Victor,ABI,200,E_falciformis,Oocysts,,,,Glass_beads,,
F1,Eimeria_10_1,Eimeria,Standard,A,29.86,28.99,1.062,20,,,300620,Victor,ABI,20,E_falciformis,Oocysts,,,,Glass_beads,,
F2,Eimeria_10_1,Eimeria,Standard,A,29.3,28.99,1.062,20,,,300620,Victor,ABI,20,E_falciformis,Oocysts,,,,Glass_beads,,
F3,Eimeria_10_1,Eimeria,Standard,A,27.81,28.99,1.062,20,,,300620,Victor,ABI,20,E_falciformis,Oocysts,,,,Glass_beads,,
F10,Eimeria_10_1,Eimeria,Standard,B,29,28.22,1.126,20,,,300620,Victor,ABI,20,E_falciformis,Oocysts,,,,Glass_beads,,
F11,Eimeria_10_1,Eimeria,Standard,B,28.73,28.22,1.126,20,,,300620,Victor,ABI,20,E_falciformis,Oocysts,,,,Glass_beads,,
F12,Eimeria_10_1,Eimeria,Standard,B,26.93,28.22,1.126,20,,,300620,Victor,ABI,20,E_falciformis,Oocysts,,,,Glass_beads,,
G1,Eimeria_10_0,Eimeria,Standard,A,32.75,31.55,1.359,2,,,300620,Victor,ABI,2,E_falciformis,Oocysts,,,,Glass_beads,,
G2,Eimeria_10_0,Eimeria,Standard,A,31.81,31.55,1.359,2,,,300620,Victor,ABI,2,E_falciformis,Oocysts,,,,Glass_beads,,
G3,Eimeria_10_0,Eimeria,Standard,A,30.08,31.55,1.359,2,,,300620,Victor,ABI,2,E_falciformis,Oocysts,,,,Glass_beads,,
G10,Eimeria_10_0,Eimeria,Standard,B,29.58,29.93,0.349,2,,,300620,Victor,ABI,2,E_falciformis,Oocysts,,,,Glass_beads,,
G11,Eimeria_10_0,Eimeria,Standard,B,30.28,29.93,0.349,2,,,300620,Victor,ABI,2,E_falciformis,Oocysts,,,,Glass_beads,,
G12,Eimeria_10_0,Eimeria,Standard,B,29.93,29.93,0.349,2,,,300620,Victor,ABI,2,E_falciformis,Oocysts,,,,Glass_beads,,
